timeline_id,project_id,stage_name,planned_duration_days,actual_duration_days,stage_status,start_date,end_date
TL-LG-CG-0006-COM,LG-CG-0006,Compensation,65,108,DELAYED,2024-05-05,2024-06-30
TL-LG-CG-0006-LEG,LG-CG-0006,Legal Resolution,88,103,IN_PROGRESS,2024-05-05,2024-06-30
TL-LG-CG-0006-R&R,LG-CG-0006,R&R,88,83,COMPLETED,2024-05-05,2024-06-30
TL-LG-CG-0006-POS,LG-CG-0006,Possession,79,97,IN_PROGRESS,2024-05-05,2024-06-30
TL-LG-CG-0006-FIN,LG-CG-0006,Final Handover,64,62,COMPLETED,2024-05-05,2024-06-30
TL-LG-GA-0007-LAN,LG-GA-0007,Land Identification,84,123,DELAYED,2023-02-05,2024-06-30
TL-LG-GA-0007-SUR,LG-GA-0007,Survey,67,65,COMPLETED,2023-02-05,2024-06-30
TL-LG-GA-0007-DOC,LG-GA-0007,Documentation,88,110,IN_PROGRESS,2023-02-05,2024-06-30
TL-LG-GA-0007-APP,LG-GA-0007,Approval,64,104,DELAYED,2023-02-05,2024-06-30
TL-LG-GA-0007-NOT,LG-GA-0007,Notification,60,55,COMPLETED,2023-02-05,2024-06-30
TL-LG-GA-0007-OBJ,LG-GA-0007,Objection/Hearing,59,97,DELAYED,2023-02-05,2024-06-30
TL-LG-GA-0007-COM,LG-GA-0007,Compensation,74,132,DELAYED,2023-02-05,2024-06-30
TL-LG-GA-0007-LEG,LG-GA-0007,Legal Resolution,77,119,DELAYED,2023-02-05,2024-06-30
TL-LG-GA-0007-R&R,LG-GA-0007,R&R,84,106,IN_PROGRESS,2023-02-05,2024-06-30
TL-LG-GA-0007-POS,LG-GA-0007,Possession,47,72,IN_PROGRESS,2023-02-05,2024-06-30
TL-LG-GA-0007-FIN,LG-GA-0007,Final Handover,67,65,COMPLETED,2023-02-05,2024-06-30
TL-LG-GJ-0008-LAN,LG-GJ-0008,Land Identification,37,96,DELAYED,2023-05-17,2024-06-30
TL-LG-GJ-0008-SUR,LG-GJ-0008,Survey,52,52,COMPLETED,2023-05-17,2024-06-30
TL-LG-GJ-0008-DOC,LG-GJ-0008,Documentation,32,35,IN_PROGRESS,2023-05-17,2024-06-30
TL-LG-GJ-0008-APP,LG-GJ-0008,Approval,51,74,IN_PROGRESS,2023-05-17,2024-06-30
TL-LG-GJ-0008-NOT,LG-GJ-0008,Notification,72,83,IN_PROGRESS,2023-05-17,2024-06-30
TL-LG-GJ-0008-OBJ,LG-GJ-0008,Objection/Hearing,58,70,IN_PROGRESS,2023-05-17,2024-06-30
TL-LG-GJ-0008-COM,LG-GJ-0008,Compensation,50,82,DELAYED,2023-05-17,2024-06-30
TL-LG-GJ-0008-LEG,LG-GJ-0008,Legal Resolution,86,134,DELAYED,2023-05-17,2024-06-30
TL-LG-GJ-0008-R&R,LG-GJ-0008,R&R,44,35,COMPLETED,2023-05-17,2024-06-30
TL-LG-GJ-0008-POS,LG-GJ-0008,Possession,77,80,IN_PROGRESS,2023-05-17,2024-06-30
TL-LG-GJ-0008-FIN,LG-GJ-0008,Final Handover,62,57,COMPLETED,2023-05-17,2024-06-30
TL-LG-HR-0009-LAN,LG-HR-0009,Land Identification,63,116,DELAYED,2021-05-26,2024-06-30
TL-LG-HR-0009-SUR,LG-HR-0009,Survey,38,71,DELAYED,2021-05-26,2024-06-30
TL-LG-HR-0009-DOC,LG-HR-0009,Documentation,62,90,IN_PROGRESS,2021-05-26,2024-06-30
TL-LG-HR-0009-APP,LG-HR-0009,Approval,41,59,IN_PROGRESS,2021-05-26,2024-06-30
TL-LG-HR-0009-NOT,LG-HR-0009,Notification,31,37,IN_PROGRESS,2021-05-26,2024-06-30
TL-LG-HR-0009-OBJ,LG-HR-0009,Objection/Hearing,40,90,DELAYED,2021-05-26,2024-06-30
TL-LG-HR-0009-COM,LG-HR-0009,Compensation,89,102,IN_PROGRESS,2021-05-26,2024-06-30
TL-LG-HR-0009-LEG,LG-HR-0009,Legal Resolution,61,98,DELAYED,2021-05-26,2024-06-30
TL-LG-HR-0009-R&R,LG-HR-0009,R&R,40,44,IN_PROGRESS,2021-05-26,2024-06-30
TL-LG-HR-0009-POS,LG-HR-0009,Possession,73,107,DELAYED,2021-05-26,2024-06-30
TL-LG-HR-0009-FIN,LG-HR-0009,Final Handover,83,94,IN_PROGRESS,2021-05-26,2024-06-30
TL-LG-HP-0010-LAN,LG-HP-0010,Land Identification,61,69,IN_PROGRESS,2022-01-25,2024-06-30
TL-LG-HP-0010-SUR,LG-HP-0010,Survey,45,43,COMPLETED,2022-01-25,2024-06-30
TL-LG-HP-0010-DOC,LG-HP-0010,Documentation,85,90,IN_PROGRESS,2022-01-25,2024-06-30
TL-LG-HP-0010-APP,LG-HP-0010,Approval,74,98,IN_PROGRESS,2022-01-25,2024-06-30
TL-LG-HP-0010-NOT,LG-HP-0010,Notification,44,70,IN_PROGRESS,2022-01-25,2024-06-30
TL-LG-HP-0010-OBJ,LG-HP-0010,Objection/Hearing,34,73,DELAYED,2022-01-25,2024-06-30
TL-LG-HP-0010-COM,LG-HP-0010,Compensation,54,73,IN_PROGRESS,2022-01-25,2024-06-30
TL-LG-HP-0010-LEG,LG-HP-0010,Legal Resolution,64,74,IN_PROGRESS,2022-01-25,2024-06-30
TL-LG-HP-0010-R&R,LG-HP-0010,R&R,56,105,DELAYED,2022-01-25,2024-06-30
TL-LG-HP-0010-POS,LG-HP-0010,Possession,58,94,DELAYED,2022-01-25,2024-06-30
TL-LG-HP-0010-FIN,LG-HP-0010,Final Handover,80,126,DELAYED,2022-01-25,2024-06-30
TL-LG-JH-0011-LAN,LG-JH-0011,Land Identification,38,87,DELAYED,2022-08-08,2024-06-30
TL-LG-JH-0011-SUR,LG-JH-0011,Survey,58,107,DELAYED,2022-08-08,2024-06-30
TL-LG-JH-0011-DOC,LG-JH-0011,Documentation,37,92,DELAYED,2022-08-08,2024-06-30
TL-LG-JH-0011-APP,LG-JH-0011,Approval,74,99,IN_PROGRESS,2022-08-08,2024-06-30
TL-LG-JH-0011-NOT,LG-JH-0011,Notification,56,49,COMPLETED,2022-08-08,2024-06-30
TL-LG-JH-0011-OBJ,LG-JH-0011,Objection/Hearing,52,66,IN_PROGRESS,2022-08-08,2024-06-30
TL-LG-JH-0011-COM,LG-JH-0011,Compensation,74,102,IN_PROGRESS,2022-08-08,2024-06-30
TL-LG-JH-0011-LEG,LG-JH-0011,Legal Resolution,90,130,DELAYED,2022-08-08,2024-06-30
TL-LG-JH-0011-R&R,LG-JH-0011,R&R,88,120,DELAYED,2022-08-08,2024-06-30
TL-LG-JH-0011-POS,LG-JH-0011,Possession,70,116,DELAYED,2022-08-08,2024-06-30
TL-LG-JH-0011-FIN,LG-JH-0011,Final Handover,48,45,COMPLETED,2022-08-08,2024-06-30
TL-LG-KA-0012-LAN,LG-KA-0012,Land Identification,69,107,DELAYED,2021-06-17,2024-06-30
TL-LG-KA-0012-SUR,LG-KA-0012,Survey,80,138,DELAYED,2021-06-17,2024-06-30
TL-LG-KA-0012-DOC,LG-KA-0012,Documentation,44,67,IN_PROGRESS,2021-06-17,2024-06-30
TL-LG-KA-0012-APP,LG-KA-0012,Approval,74,132,DELAYED,2021-06-17,2024-06-30
TL-LG-KA-0012-NOT,LG-KA-0012,Notification,57,111,DELAYED,2021-06-17,2024-06-30
TL-LG-KA-0012-OBJ,LG-KA-0012,Objection/Hearing,61,63,IN_PROGRESS,2021-06-17,2024-06-30
TL-LG-KA-0012-COM,LG-KA-0012,Compensation,57,84,IN_PROGRESS,2021-06-17,2024-06-30
TL-LG-KA-0012-LEG,LG-KA-0012,Legal Resolution,78,119,DELAYED,2021-06-17,2024-06-30
TL-LG-KA-0012-R&R,LG-KA-0012,R&R,80,90,IN_PROGRESS,2021-06-17,2024-06-30
TL-LG-KA-0012-POS,LG-KA-0012,Possession,69,75,IN_PROGRESS,2021-06-17,2024-06-30
TL-LG-KA-0012-FIN,LG-KA-0012,Final Handover,66,67,IN_PROGRESS,2021-06-17,2024-06-30
TL-LG-KL-0013-LAN,LG-KL-0013,Land Identification,78,131,DELAYED,2021-11-20,2024-06-30
TL-LG-KL-0013-SUR,LG-KL-0013,Survey,60,74,IN_PROGRESS,2021-11-20,2024-06-30
TL-LG-KL-0013-DOC,LG-KL-0013,Documentation,54,46,COMPLETED,2021-11-20,2024-06-30
TL-LG-KL-0013-APP,LG-KL-0013,Approval,50,70,IN_PROGRESS,2021-11-20,2024-06-30
TL-LG-KL-0013-NOT,LG-KL-0013,Notification,78,68,COMPLETED,2021-11-20,2024-06-30
TL-LG-KL-0013-OBJ,LG-KL-0013,Objection/Hearing,88,147,DELAYED,2021-11-20,2024-06-30
TL-LG-KL-0013-COM,LG-KL-0013,Compensation,88,86,COMPLETED,2021-11-20,2024-06-30
TL-LG-KL-0013-LEG,LG-KL-0013,Legal Resolution,35,26,COMPLETED,2021-11-20,2024-06-30
TL-LG-KL-0013-R&R,LG-KL-0013,R&R,31,25,COMPLETED,2021-11-20,2024-06-30
TL-LG-KL-0013-POS,LG-KL-0013,Possession,60,110,DELAYED,2021-11-20,2024-06-30
TL-LG-KL-0013-FIN,LG-KL-0013,Final Handover,64,84,IN_PROGRESS,2021-11-20,2024-06-30
TL-LG-MP-0014-LAN,LG-MP-0014,Land Identification,86,90,IN_PROGRESS,2021-04-01,2024-06-30
TL-LG-MP-0014-SUR,LG-MP-0014,Survey,83,139,DELAYED,2021-04-01,2024-06-30
TL-LG-MP-0014-DOC,LG-MP-0014,Documentation,83,93,IN_PROGRESS,2021-04-01,2024-06-30
TL-LG-MP-0014-APP,LG-MP-0014,Approval,76,118,DELAYED,2021-04-01,2024-06-30
TL-LG-MP-0014-NOT,LG-MP-0014,Notification,43,94,DELAYED,2021-04-01,2024-06-30
TL-LG-MP-0014-OBJ,LG-MP-0014,Objection/Hearing,70,92,IN_PROGRESS,2021-04-01,2024-06-30
TL-LG-MP-0014-COM,LG-MP-0014,Compensation,34,93,DELAYED,2021-04-01,2024-06-30
TL-LG-MP-0014-LEG,LG-MP-0014,Legal Resolution,61,57,COMPLETED,2021-04-01,2024-06-30
TL-LG-MP-0014-R&R,LG-MP-0014,R&R,43,56,IN_PROGRESS,2021-04-01,2024-06-30
TL-LG-MP-0014-POS,LG-MP-0014,Possession,41,71,IN_PROGRESS,2021-04-01,2024-06-30
TL-LG-MP-0014-FIN,LG-MP-0014,Final Handover,33,88,DELAYED,2021-04-01,2024-06-30
TL-LG-MH-0015-LAN,LG-MH-0015,Land Identification,35,50,IN_PROGRESS,2023-04-13,2024-06-30
TL-LG-MH-0015-SUR,LG-MH-0015,Survey,44,53,IN_PROGRESS,2023-04-13,2024-06-30
TL-LG-MH-0015-DOC,LG-MH-0015,Documentation,40,90,DELAYED,2023-04-13,2024-06-30
TL-LG-MH-0015-APP,LG-MH-0015,Approval,85,108,IN_PROGRESS,2023-04-13,2024-06-30
TL-LG-MH-0015-NOT,LG-MH-0015,Notification,71,98,IN_PROGRESS,2023-04-13,2024-06-30
TL-LG-MH-0015-OBJ,LG-MH-0015,Objection/Hearing,85,122,DELAYED,2023-04-13,2024-06-30
TL-LG-MH-0015-COM,LG-MH-0015,Compensation,46,80,DELAYED,2023-04-13,2024-06-30
TL-LG-MH-0015-LEG,LG-MH-0015,Legal Resolution,76,102,IN_PROGRESS,2023-04-13,2024-06-30
TL-LG-MH-0015-R&R,LG-MH-0015,R&R,79,105,IN_PROGRESS,2023-04-13,2024-06-30
TL-LG-MH-0015-POS,LG-MH-0015,Possession,88,139,DELAYED,2023-04-13,2024-06-30
TL-LG-MH-0015-FIN,LG-MH-0015,Final Handover,90,100,IN_PROGRESS,2023-04-13,2024-06-30
TL-LG-MN-0016-LAN,LG-MN-0016,Land Identification,58,114,DELAYED,2022-04-02,2024-06-30
TL-LG-MN-0016-SUR,LG-MN-0016,Survey,88,141,DELAYED,2022-04-02,2024-06-30
TL-LG-MN-0016-DOC,LG-MN-0016,Documentation,75,87,IN_PROGRESS,2022-04-02,2024-06-30
TL-LG-MN-0016-APP,LG-MN-0016,Approval,48,74,IN_PROGRESS,2022-04-02,2024-06-30
TL-LG-MN-0016-NOT,LG-MN-0016,Notification,81,127,DELAYED,2022-04-02,2024-06-30
TL-LG-MN-0016-OBJ,LG-MN-0016,Objection/Hearing,82,130,DELAYED,2022-04-02,2024-06-30
TL-LG-MN-0016-COM,LG-MN-0016,Compensation,89,88,COMPLETED,2022-04-02,2024-06-30
TL-LG-MN-0016-LEG,LG-MN-0016,Legal Resolution,59,88,IN_PROGRESS,2022-04-02,2024-06-30
TL-LG-MN-0016-R&R,LG-MN-0016,R&R,31,73,DELAYED,2022-04-02,2024-06-30
TL-LG-MN-0016-POS,LG-MN-0016,Possession,89,129,DELAYED,2022-04-02,2024-06-30
TL-LG-MN-0016-FIN,LG-MN-0016,Final Handover,65,104,DELAYED,2022-04-02,2024-06-30
TL-LG-ML-0017-LAN,LG-ML-0017,Land Identification,58,81,IN_PROGRESS,2023-11-14,2024-06-30
TL-LG-ML-0017-SUR,LG-ML-0017,Survey,38,28,COMPLETED,2023-11-14,2024-06-30
TL-LG-ML-0017-DOC,LG-ML-0017,Documentation,73,111,DELAYED,2023-11-14,2024-06-30
TL-LG-ML-0017-APP,LG-ML-0017,Approval,37,54,IN_PROGRESS,2023-11-14,2024-06-30
TL-LG-ML-0017-NOT,LG-ML-0017,Notification,60,104,DELAYED,2023-11-14,2024-06-30
TL-LG-ML-0017-OBJ,LG-ML-0017,Objection/Hearing,68,126,DELAYED,2023-11-14,2024-06-30
TL-LG-ML-0017-COM,LG-ML-0017,Compensation,85,96,IN_PROGRESS,2023-11-14,2024-06-30
TL-LG-ML-0017-LEG,LG-ML-0017,Legal Resolution,42,89,DELAYED,2023-11-14,2024-06-30
TL-LG-ML-0017-R&R,LG-ML-0017,R&R,54,54,COMPLETED,2023-11-14,2024-06-30
TL-LG-ML-0017-POS,LG-ML-0017,Possession,82,88,IN_PROGRESS,2023-11-14,2024-06-30
TL-LG-ML-0017-FIN,LG-ML-0017,Final Handover,50,66,IN_PROGRESS,2023-11-14,2024-06-30
TL-LG-MZ-0018-LAN,LG-MZ-0018,Land Identification,88,81,COMPLETED,2023-02-16,2024-06-30
TL-LG-MZ-0018-SUR,LG-MZ-0018,Survey,64,117,DELAYED,2023-02-16,2024-06-30
TL-LG-MZ-0018-DOC,LG-MZ-0018,Documentation,63,116,DELAYED,2023-02-16,2024-06-30
TL-LG-MZ-0018-APP,LG-MZ-0018,Approval,66,59,COMPLETED,2023-02-16,2024-06-30
TL-LG-MZ-0018-NOT,LG-MZ-0018,Notification,68,66,COMPLETED,2023-02-16,2024-06-30
TL-LG-MZ-0018-OBJ,LG-MZ-0018,Objection/Hearing,41,95,DELAYED,2023-02-16,2024-06-30
TL-LG-MZ-0018-COM,LG-MZ-0018,Compensation,34,46,IN_PROGRESS,2023-02-16,2024-06-30
TL-LG-MZ-0018-LEG,LG-MZ-0018,Legal Resolution,90,90,COMPLETED,2023-02-16,2024-06-30
TL-LG-MZ-0018-R&R,LG-MZ-0018,R&R,90,100,IN_PROGRESS,2023-02-16,2024-06-30
TL-LG-MZ-0018-POS,LG-MZ-0018,Possession,87,128,DELAYED,2023-02-16,2024-06-30
TL-LG-MZ-0018-FIN,LG-MZ-0018,Final Handover,43,73,IN_PROGRESS,2023-02-16,2024-06-30
TL-LG-NL-0019-LAN,LG-NL-0019,Land Identification,81,85,IN_PROGRESS,2024-10-09,2024-06-30
TL-LG-NL-0019-SUR,LG-NL-0019,Survey,53,98,DELAYED,2024-10-09,2024-06-30
TL-LG-NL-0019-DOC,LG-NL-0019,Documentation,60,59,COMPLETED,2024-10-09,2024-06-30
TL-LG-NL-0019-APP,LG-NL-0019,Approval,32,44,IN_PROGRESS,2024-10-09,2024-06-30
TL-LG-NL-0019-NOT,LG-NL-0019,Notification,87,126,DELAYED,2024-10-09,2024-06-30
TL-LG-NL-0019-OBJ,LG-NL-0019,Objection/Hearing,40,51,IN_PROGRESS,2024-10-09,2024-06-30
TL-LG-NL-0019-COM,LG-NL-0019,Compensation,75,106,DELAYED,2024-10-09,2024-06-30
TL-LG-NL-0019-LEG,LG-NL-0019,Legal Resolution,78,81,IN_PROGRESS,2024-10-09,2024-06-30
TL-LG-NL-0019-R&R,LG-NL-0019,R&R,68,83,IN_PROGRESS,2024-10-09,2024-06-30
TL-LG-NL-0019-POS,LG-NL-0019,Possession,42,72,IN_PROGRESS,2024-10-09,2024-06-30
TL-LG-NL-0019-FIN,LG-NL-0019,Final Handover,56,62,IN_PROGRESS,2024-10-09,2024-06-30
TL-LG-OD-0020-LAN,LG-OD-0020,Land Identification,81,135,DELAYED,2022-05-26,2024-06-30
TL-LG-OD-0020-SUR,LG-OD-0020,Survey,85,111,IN_PROGRESS,2022-05-26,2024-06-30
TL-LG-OD-0020-DOC,LG-OD-0020,Documentation,48,67,IN_PROGRESS,2022-05-26,2024-06-30
TL-LG-OD-0020-APP,LG-OD-0020,Approval,61,74,IN_PROGRESS,2022-05-26,2024-06-30
TL-LG-OD-0020-NOT,LG-OD-0020,Notification,81,140,DELAYED,2022-05-26,2024-06-30
TL-LG-OD-0020-OBJ,LG-OD-0020,Objection/Hearing,41,95,DELAYED,2022-05-26,2024-06-30
TL-LG-OD-0020-COM,LG-OD-0020,Compensation,46,39,COMPLETED,2022-05-26,2024-06-30
TL-LG-OD-0020-LEG,LG-OD-0020,Legal Resolution,76,78,IN_PROGRESS,2022-05-26,2024-06-30
TL-LG-OD-0020-R&R,LG-OD-0020,R&R,85,96,IN_PROGRESS,2022-05-26,2024-06-30
TL-LG-OD-0020-POS,LG-OD-0020,Possession,52,58,IN_PROGRESS,2022-05-26,2024-06-30
TL-LG-OD-0020-FIN,LG-OD-0020,Final Handover,33,28,COMPLETED,2022-05-26,2024-06-30
TL-LG-PB-0021-LAN,LG-PB-0021,Land Identification,46,67,IN_PROGRESS,2022-08-09,2024-06-30
TL-LG-PB-0021-SUR,LG-PB-0021,Survey,41,36,COMPLETED,2022-08-09,2024-06-30
TL-LG-PB-0021-DOC,LG-PB-0021,Documentation,66,64,COMPLETED,2022-08-09,2024-06-30
TL-LG-PB-0021-APP,LG-PB-0021,Approval,64,74,IN_PROGRESS,2022-08-09,2024-06-30
TL-LG-PB-0021-NOT,LG-PB-0021,Notification,62,67,IN_PROGRESS,2022-08-09,2024-06-30
TL-LG-PB-0021-OBJ,LG-PB-0021,Objection/Hearing,39,66,IN_PROGRESS,2022-08-09,2024-06-30
TL-LG-PB-0021-COM,LG-PB-0021,Compensation,60,100,DELAYED,2022-08-09,2024-06-30
TL-LG-PB-0021-LEG,LG-PB-0021,Legal Resolution,72,115,DELAYED,2022-08-09,2024-06-30
TL-LG-PB-0021-R&R,LG-PB-0021,R&R,57,106,DELAYED,2022-08-09,2024-06-30
TL-LG-PB-0021-POS,LG-PB-0021,Possession,62,78,IN_PROGRESS,2022-08-09,2024-06-30
TL-LG-PB-0021-FIN,LG-PB-0021,Final Handover,31,45,IN_PROGRESS,2022-08-09,2024-06-30
TL-LG-RJ-0022-LAN,LG-RJ-0022,Land Identification,36,88,DELAYED,2024-01-08,2024-06-30
TL-LG-RJ-0022-SUR,LG-RJ-0022,Survey,40,64,IN_PROGRESS,2024-01-08,2024-06-30
TL-LG-RJ-0022-DOC,LG-RJ-0022,Documentation,33,50,IN_PROGRESS,2024-01-08,2024-06-30
TL-LG-RJ-0022-APP,LG-RJ-0022,Approval,86,136,DELAYED,2024-01-08,2024-06-30
TL-LG-RJ-0022-NOT,LG-RJ-0022,Notification,52,52,COMPLETED,2024-01-08,2024-06-30
TL-LG-RJ-0022-OBJ,LG-RJ-0022,Objection/Hearing,43,95,DELAYED,2024-01-08,2024-06-30
TL-LG-RJ-0022-COM,LG-RJ-0022,Compensation,56,114,DELAYED,2024-01-08,2024-06-30
TL-LG-RJ-0022-LEG,LG-RJ-0022,Legal Resolution,90,113,IN_PROGRESS,2024-01-08,2024-06-30
TL-LG-RJ-0022-R&R,LG-RJ-0022,R&R,63,67,IN_PROGRESS,2024-01-08,2024-06-30
TL-LG-RJ-0022-POS,LG-RJ-0022,Possession,49,52,IN_PROGRESS,2024-01-08,2024-06-30
TL-LG-RJ-0022-FIN,LG-RJ-0022,Final Handover,75,113,DELAYED,2024-01-08,2024-06-30
TL-LG-SK-0023-LAN,LG-SK-0023,Land Identification,61,63,IN_PROGRESS,2022-11-01,2024-06-30
TL-LG-SK-0023-SUR,LG-SK-0023,Survey,65,92,IN_PROGRESS,2022-11-01,2024-06-30
TL-LG-SK-0023-DOC,LG-SK-0023,Documentation,82,113,DELAYED,2022-11-01,2024-06-30
TL-LG-SK-0023-APP,LG-SK-0023,Approval,34,43,IN_PROGRESS,2022-11-01,2024-06-30
