parcel_id,project_id,parcel_number,area_acres,ownership_type,verified_flag,dispute_flag
PCL-LG-MZ-0018-08,LG-MZ-0018,SY-174/8,106.14,Community,0,0
PCL-LG-NL-0019-01,LG-NL-0019,SY-669/1,187.56,Forest,0,0
PCL-LG-NL-0019-02,LG-NL-0019,SY-833/2,187.56,Community,1,1
PCL-LG-NL-0019-03,LG-NL-0019,SY-107/3,187.56,Community,0,0
PCL-LG-NL-0019-04,LG-NL-0019,SY-169/4,187.56,Government,0,1
PCL-LG-NL-0019-05,LG-NL-0019,SY-234/5,187.56,Private,1,0
PCL-LG-NL-0019-06,LG-NL-0019,SY-497/6,187.56,Forest,1,0
PCL-LG-NL-0019-07,LG-NL-0019,SY-425/7,187.56,Community,1,0
PCL-LG-OD-0020-01,LG-OD-0020,SY-220/1,195.4,Community,1,1
PCL-LG-OD-0020-02,LG-OD-0020,SY-164/2,195.4,Private,1,1
PCL-LG-OD-0020-03,LG-OD-0020,SY-847/3,195.4,Government,1,1
PCL-LG-PB-0021-01,LG-PB-0021,SY-964/1,275.17,Government,1,0
PCL-LG-PB-0021-02,LG-PB-0021,SY-286/2,275.17,Forest,1,1
PCL-LG-PB-0021-03,LG-PB-0021,SY-995/3,275.17,Community,1,0
PCL-LG-PB-0021-04,LG-PB-0021,SY-539/4,275.17,Government,1,0
PCL-LG-PB-0021-05,LG-PB-0021,SY-909/5,275.17,Forest,1,1
PCL-LG-PB-0021-06,LG-PB-0021,SY-540/6,275.17,Private,1,1
PCL-LG-PB-0021-07,LG-PB-0021,SY-820/7,275.17,Community,1,1
PCL-LG-RJ-0022-01,LG-RJ-0022,SY-980/1,203.1,Private,1,0
PCL-LG-RJ-0022-02,LG-RJ-0022,SY-131/2,203.1,Forest,1,0
PCL-LG-RJ-0022-03,LG-RJ-0022,SY-166/3,203.1,Government,1,0
PCL-LG-RJ-0022-04,LG-RJ-0022,SY-911/4,203.1,Community,1,1
PCL-LG-RJ-0022-05,LG-RJ-0022,SY-225/5,203.1,Community,1,0
PCL-LG-RJ-0022-06,LG-RJ-0022,SY-805/6,203.1,Private,1,0
PCL-LG-SK-0023-01,LG-SK-0023,SY-915/1,271.73,Community,1,1
PCL-LG-SK-0023-02,LG-SK-0023,SY-818/2,271.73,Private,0,0
PCL-LG-SK-0023-03,LG-SK-0023,SY-362/3,271.73,Private,1,0
PCL-LG-SK-0023-04,LG-SK-0023,SY-535/4,271.73,Forest,1,0
PCL-LG-SK-0023-05,LG-SK-0023,SY-679/5,271.73,Forest,1,0
PCL-LG-SK-0023-06,LG-SK-0023,SY-111/6,271.73,Forest,1,0
PCL-LG-SK-0023-07,LG-SK-0023,SY-947/7,271.73,Government,0,0
PCL-LG-SK-0023-08,LG-SK-0023,SY-448/8,271.73,Community,0,1
PCL-LG-TN-0024-01,LG-TN-0024,SY-325/1,204.53,Forest,1,0
PCL-LG-TN-0024-02,LG-TN-0024,SY-364/2,204.53,Government,1,0
PCL-LG-TN-0024-03,LG-TN-0024,SY-412/3,204.53,Government,1,0
PCL-LG-TN-0024-04,LG-TN-0024,SY-735/4,204.53,Forest,0,1
PCL-LG-TN-0024-05,LG-TN-0024,SY-553/5,204.53,Community,1,0
PCL-LG-TN-0024-06,LG-TN-0024,SY-968/6,204.53,Government,1,0
PCL-LG-TN-0024-07,LG-TN-0024,SY-515/7,204.53,Community,1,1
PCL-LG-TS-0025-01,LG-TS-0025,SY-299/1,180.12,Private,1,0
PCL-LG-TS-0025-02,LG-TS-0025,SY-977/2,180.12,Forest,0,0
PCL-LG-TS-0025-03,LG-TS-0025,SY-637/3,180.12,Community,1,0
PCL-LG-TS-0025-04,LG-TS-0025,SY-400/4,180.12,Community,1,1
PCL-LG-TS-0025-05,LG-TS-0025,SY-114/5,180.12,Government,0,0
PCL-LG-TR-0026-01,LG-TR-0026,SY-925/1,104.77,Community,0,0
PCL-LG-TR-0026-02,LG-TR-0026,SY-223/2,104.77,Community,0,0
PCL-LG-TR-0026-03,LG-TR-0026,SY-887/3,104.77,Community,0,0
PCL-LG-TR-0026-04,LG-TR-0026,SY-886/4,104.77,Government,1,1
PCL-LG-TR-0026-05,LG-TR-0026,SY-634/5,104.77,Government,1,0
PCL-LG-TR-0026-06,LG-TR-0026,SY-997/6,104.77,Community,0,1
PCL-LG-TR-0026-07,LG-TR-0026,SY-147/7,104.77,Private,0,0
PCL-LG-UP-0027-01,LG-UP-0027,SY-261/1,332.12,Community,0,1
PCL-LG-UP-0027-02,LG-UP-0027,SY-402/2,332.12,Private,1,0
PCL-LG-UP-0027-03,LG-UP-0027,SY-472/3,332.12,Community,1,0
PCL-LG-UP-0027-04,LG-UP-0027,SY-188/4,332.12,Government,1,0
PCL-LG-UP-0027-05,LG-UP-0027,SY-380/5,332.12,Government,1,0
PCL-LG-UP-0027-06,LG-UP-0027,SY-255/6,332.12,Forest,0,0
PCL-LG-UK-0028-01,LG-UK-0028,SY-633/1,817.43,Forest,1,1
PCL-LG-UK-0028-02,LG-UK-0028,SY-499/2,817.43,Private,0,0
PCL-LG-UK-0028-03,LG-UK-0028,SY-210/3,817.43,Forest,1,0
PCL-LG-WB-0029-01,LG-WB-0029,SY-108/1,516.05,Forest,1,0
PCL-LG-WB-0029-02,LG-WB-0029,SY-303/2,516.05,Private,1,1
PCL-LG-WB-0029-03,LG-WB-0029,SY-221/3,516.05,Forest,1,0
PCL-LG-WB-0029-04,LG-WB-0029,SY-117/4,516.05,Forest,1,0
PCL-LG-AN-0030-01,LG-AN-0030,SY-252/1,296.45,Government,1,0
PCL-LG-AN-0030-02,LG-AN-0030,SY-843/2,296.45,Private,1,1
PCL-LG-AN-0030-03,LG-AN-0030,SY-187/3,296.45,Government,1,0
PCL-LG-AN-0030-04,LG-AN-0030,SY-862/4,296.45,Government,1,0
PCL-LG-AN-0030-05,LG-AN-0030,SY-815/5,296.45,Private,1,0
PCL-LG-AN-0030-06,LG-AN-0030,SY-926/6,296.45,Community,1,0
PCL-LG-AN-0030-07,LG-AN-0030,SY-811/7,296.45,Government,0,0
PCL-LG-AN-0030-08,LG-AN-0030,SY-705/8,296.45,Government,1,0
PCL-LG-CH-0031-01,LG-CH-0031,SY-198/1,82.8,Private,0,1
PCL-LG-CH-0031-02,LG-CH-0031,SY-250/2,82.8,Government,1,0
PCL-LG-CH-0031-03,LG-CH-0031,SY-603/3,82.8,Private,1,1
PCL-LG-CH-0031-04,LG-CH-0031,SY-115/4,82.8,Private,0,0
PCL-LG-DH-0032-01,LG-DH-0032,SY-266/1,54.76,Community,1,0
PCL-LG-DH-0032-02,LG-DH-0032,SY-631/2,54.76,Community,1,1
PCL-LG-DH-0032-03,LG-DH-0032,SY-440/3,54.76,Forest,0,0
PCL-LG-DH-0032-04,LG-DH-0032,SY-389/4,54.76,Forest,1,0
PCL-LG-DH-0032-05,LG-DH-0032,SY-318/5,54.76,Forest,1,0
PCL-LG-DL-0033-01,LG-DL-0033,SY-875/1,94.51,Community,1,0
PCL-LG-DL-0033-02,LG-DL-0033,SY-418/2,94.51,Forest,1,0
PCL-LG-DL-0033-03,LG-DL-0033,SY-754/3,94.51,Forest,1,0
PCL-LG-DL-0033-04,LG-DL-0033,SY-219/4,94.51,Private,0,1
PCL-LG-DL-0033-05,LG-DL-0033,SY-795/5,94.51,Government,1,0
PCL-LG-DL-0033-06,LG-DL-0033,SY-147/6,94.51,Government,1,0
PCL-LG-DL-0033-07,LG-DL-0033,SY-474/7,94.51,Government,1,1
PCL-LG-DL-0033-08,LG-DL-0033,SY-583/8,94.51,Government,1,0
PCL-LG-JK-0034-01,LG-JK-0034,SY-506/1,20.12,Community,0,0
PCL-LG-JK-0034-02,LG-JK-0034,SY-487/2,20.12,Private,1,1
PCL-LG-JK-0034-03,LG-JK-0034,SY-659/3,20.12,Community,1,0
PCL-LG-JK-0034-04,LG-JK-0034,SY-823/4,20.12,Community,1,1
PCL-LG-JK-0034-05,LG-JK-0034,SY-781/5,20.12,Government,1,1
PCL-LG-JK-0034-06,LG-JK-0034,SY-583/6,20.12,Forest,1,0
PCL-LG-LA-0035-01,LG-LA-0035,SY-962/1,64.62,Government,0,1
PCL-LG-LA-0035-02,LG-LA-0035,SY-468/2,64.62,Government,1,0
PCL-LG-LA-0035-03,LG-LA-0035,SY-895/3,64.62,Government,0,0
PCL-LG-LA-0035-04,LG-LA-0035,SY-197/4,64.62,Private,0,0
PCL-LG-LA-0035-05,LG-LA-0035,SY-828/5,64.62,Private,1,0
PCL-LG-LA-0035-06,LG-LA-0035,SY-325/6,64.62,Private,1,0
PCL-LG-LA-0035-07,LG-LA-0035,SY-924/7,64.62,Community,1,0
PCL-LG-LA-0035-08,LG-LA-0035,SY-393/8,64.62,Forest,1,1
PCL-LG-LD-0036-01,LG-LD-0036,SY-491/1,207.27,Forest,1,1
PCL-LG-LD-0036-02,LG-LD-0036,SY-572/2,207.27,Forest,1,0
PCL-LG-LD-0036-03,LG-LD-0036,SY-318/3,207.27,Private,0,0
PCL-LG-LD-0036-04,LG-LD-0036,SY-930/4,207.27,Private,1,0
PCL-LG-LD-0036-05,LG-LD-0036,SY-332/5,207.27,Government,1,1
PCL-LG-LD-0036-06,LG-LD-0036,SY-561/6,207.27,Government,0,1
PCL-LG-LD-0036-07,LG-LD-0036,SY-578/7,207.27,Private,1,0
PCL-LG-PY-0037-01,LG-PY-0037,SY-864/1,400.1,Government,1,0
PCL-LG-PY-0037-02,LG-PY-0037,SY-401/2,400.1,Forest,0,0
PCL-LG-PY-0037-03,LG-PY-0037,SY-856/3,400.1,Forest,0,1
PCL-LG-AP-0038-01,LG-AP-0038,SY-851/1,152.53,Private,0,1
PCL-LG-AP-0038-02,LG-AP-0038,SY-513/2,152.53,Private,1,0
PCL-LG-AP-0038-03,LG-AP-0038,SY-475/3,152.53,Government,0,1
PCL-LG-AR-0039-01,LG-AR-0039,SY-322/1,46.2,Community,0,0
PCL-LG-AR-0039-02,LG-AR-0039,SY-627/2,46.2,Government,0,0
PCL-LG-AR-0039-03,LG-AR-0039,SY-697/3,46.2,Private,1,0
PCL-LG-AR-0039-04,LG-AR-0039,SY-220/4,46.2,Government,1,0
PCL-LG-AR-0039-05,LG-AR-0039,SY-334/5,46.2,Forest,1,1
PCL-LG-AS-0040-01,LG-AS-0040,SY-549/1,696.83,Private,1,0
PCL-LG-AS-0040-02,LG-AS-0040,SY-311/2,696.83,Private,1,1
PCL-LG-AS-0040-03,LG-AS-0040,SY-999/3,696.83,Government,0,1
PCL-LG-BR-0041-01,LG-BR-0041,SY-417/1,347.45,Community,0,1
PCL-LG-BR-0041-02,LG-BR-0041,SY-979/2,347.45,Community,1,0
PCL-LG-BR-0041-03,LG-BR-0041,SY-570/3,347.45,Private,1,0
PCL-LG-BR-0041-04,LG-BR-0041,SY-494/4,347.45,Community,1,0
PCL-LG-BR-0041-05,LG-BR-0041,SY-112/5,347.45,Private,0,0
PCL-LG-BR-0041-06,LG-BR-0041,SY-834/6,347.45,Government,1,1
PCL-LG-CG-0042-01,LG-CG-0042,SY-223/1,78.85,Government,1,0
PCL-LG-CG-0042-02,LG-CG-0042,SY-694/2,78.85,Government,0,1
PCL-LG-CG-0042-03,LG-CG-0042,SY-268/3,78.85,Community,1,0
PCL-LG-CG-0042-04,LG-CG-0042,SY-236/4,78.85,Community,1,1
PCL-LG-GA-0043-01,LG-GA-0043,SY-713/1,554.83,Government,1,0
PCL-LG-GA-0043-02,LG-GA-0043,SY-406/2,554.83,Forest,0,1
PCL-LG-GA-0043-03,LG-GA-0043,SY-270/3,554.83,Private,0,0
PCL-LG-GA-0043-04,LG-GA-0043,SY-775/4,554.83,Community,1,0
PCL-LG-GJ-0044-01,LG-GJ-0044,SY-460/1,282.51,Government,1,0
PCL-LG-GJ-0044-02,LG-GJ-0044,SY-307/2,282.51,Forest,1,0
PCL-LG-GJ-0044-03,LG-GJ-0044,SY-448/3,282.51,Forest,1,0
PCL-LG-GJ-0044-04,LG-GJ-0044,SY-633/4,282.51,Forest,0,0
PCL-LG-GJ-0044-05,LG-GJ-0044,SY-200/5,282.51,Government,1,0
PCL-LG-GJ-0044-06,LG-GJ-0044,SY-221/6,282.51,Private,0,1
PCL-LG-GJ-0044-07,LG-GJ-0044,SY-340/7,282.51,Community,1,0
PCL-LG-HR-0045-01,LG-HR-0045,SY-119/1,248.19,Forest,1,0
PCL-LG-HR-0045-02,LG-HR-0045,SY-358/2,248.19,Private,1,1
PCL-LG-HR-0045-03,LG-HR-0045,SY-520/3,248.19,Forest,1,0
PCL-LG-HR-0045-04,LG-HR-0045,SY-855/4,248.19,Forest,1,0
PCL-LG-HR-0045-05,LG-HR-0045,SY-175/5,248.19,Government,0,1
PCL-LG-HR-0045-06,LG-HR-0045,SY-872/6,248.19,Government,1,0
PCL-LG-HR-0045-07,LG-HR-0045,SY-881/7,248.19,Community,1,1
PCL-LG-HR-0045-08,LG-HR-0045,SY-503/8,248.19,Forest,0,0
PCL-LG-HP-0046-01,LG-HP-0046,SY-509/1,288.48,Community,0,1
PCL-LG-HP-0046-02,LG-HP-0046,SY-604/2,288.48,Community,0,0
PCL-LG-HP-0046-03,LG-HP-0046,SY-681/3,288.48,Government,1,1
PCL-LG-HP-0046-04,LG-HP-0046,SY-535/4,288.48,Private,1,0
PCL-LG-HP-0046-05,LG-HP-0046,SY-191/5,288.48,Community,1,1
PCL-LG-HP-0046-06,LG-HP-0046,SY-174/6,288.48,Forest,1,1
PCL-LG-JH-0047-01,LG-JH-0047,SY-660/1,612.53,Forest,1,0
PCL-LG-JH-0047-02,LG-JH-0047,SY-905/2,612.53,Community,1,0
PCL-LG-JH-0047-03,LG-JH-0047,SY-305/3,612.53,Private,0,0
PCL-LG-KA-0048-01,LG-KA-0048,SY-472/1,807.53,Private,1,0
PCL-LG-KA-0048-02,LG-KA-0048,SY-176/2,807.53,Private,1,1
PCL-LG-KA-0048-03,LG-KA-0048,SY-208/3,807.53,Forest,1,1
PCL-LG-KL-0049-01,LG-KL-0049,SY-415/1,727.07,Forest,1,1
PCL-LG-KL-0049-02,LG-KL-0049,SY-303/2,727.07,Community,1,0
PCL-LG-KL-0049-03,LG-KL-0049,SY-733/3,727.07,Government,1,0
PCL-LG-MP-0050-01,LG-MP-0050,SY-718/1,102.76,Private,1,0
PCL-LG-MP-0050-02,LG-MP-0050,SY-984/2,102.76,Community,1,0
PCL-LG-MP-0050-03,LG-MP-0050,SY-895/3,102.76,Forest,0,1
PCL-LG-MP-0050-04,LG-MP-0050,SY-720/4,102.76,Private,1,1
PCL-LG-MP-0050-05,LG-MP-0050,SY-919/5,102.76,Private,1,0
PCL-LG-MP-0050-06,LG-MP-0050,SY-329/6,102.76,Private,0,0
PCL-LG-MP-0050-07,LG-MP-0050,SY-727/7,102.76,Community,0,1
PCL-LG-MH-0051-01,LG-MH-0051,SY-496/1,318.9,Community,1,0
PCL-LG-MH-0051-02,LG-MH-0051,SY-698/2,318.9,Community,1,0
PCL-LG-MH-0051-03,LG-MH-0051,SY-920/3,318.9,Government,1,0
PCL-LG-MH-0051-04,LG-MH-0051,SY-285/4,318.9,Community,1,0
PCL-LG-MN-0052-01,LG-MN-0052,SY-277/1,139.99,Private,1,1
PCL-LG-MN-0052-02,LG-MN-0052,SY-917/2,139.99,Community,0,0
PCL-LG-MN-0052-03,LG-MN-0052,SY-373/3,139.99,Forest,0,0
PCL-LG-MN-0052-04,LG-MN-0052,SY-780/4,139.99,Forest,1,1
PCL-LG-MN-0052-05,LG-MN-0052,SY-554/5,139.99,Government,1,0
PCL-LG-MN-0052-06,LG-MN-0052,SY-578/6,139.99,Private,1,0
PCL-LG-MN-0052-07,LG-MN-0052,SY-797/7,139.99,Forest,1,1
PCL-LG-MN-0052-08,LG-MN-0052,SY-733/8,139.99,Private,0,1
PCL-LG-ML-0053-01,LG-ML-0053,SY-310/1,396.78,Government,0,0
PCL-LG-ML-0053-02,LG-ML-0053,SY-936/2,396.78,Community,1,0
PCL-LG-ML-0053-03,LG-ML-0053,SY-620/3,396.78,Community,1,0
PCL-LG-ML-0053-04,LG-ML-0053,SY-874/4,396.78,Forest,0,0
PCL-LG-ML-0053-05,LG-ML-0053,SY-455/5,396.78,Community,0,1
PCL-LG-ML-0053-06,LG-ML-0053,SY-400/6,396.78,Government,1,0
PCL-LG-MZ-0054-01,LG-MZ-0054,SY-378/1,190.68,Community,1,0
PCL-LG-MZ-0054-02,LG-MZ-0054,SY-491/2,190.68,Government,1,0
PCL-LG-MZ-0054-03,LG-MZ-0054,SY-505/3,190.68,Community,0,0
PCL-LG-MZ-0054-04,LG-MZ-0054,SY-708/4,190.68,Community,1,1
PCL-LG-MZ-0054-05,LG-MZ-0054,SY-442/5,190.68,Community,0,0
PCL-LG-NL-0055-01,LG-NL-0055,SY-365/1,93.86,Forest,0,1
PCL-LG-NL-0055-02,LG-NL-0055,SY-180/2,93.86,Forest,1,1
PCL-LG-NL-0055-03,LG-NL-0055,SY-928/3,93.86,Government,1,0
PCL-LG-NL-0055-04,LG-NL-0055,SY-358/4,93.86,Forest,1,1
PCL-LG-NL-0055-05,LG-NL-0055,SY-753/5,93.86,Government,1,0
PCL-LG-NL-0055-06,LG-NL-0055,SY-893/6,93.86,Forest,1,0
PCL-LG-NL-0055-07,LG-NL-0055,SY-607/7,93.86,Government,1,1
PCL-LG-OD-0056-01,LG-OD-0056,SY-379/1,188.49,Community,1,0
PCL-LG-OD-0056-02,LG-OD-0056,SY-757/2,188.49,Forest,1,0
PCL-LG-OD-0056-03,LG-OD-0056,SY-342/3,188.49,Community,1,0
PCL-LG-OD-0056-04,LG-OD-0056,SY-667/4,188.49,Private,0,1
PCL-LG-OD-0056-05,LG-OD-0056,SY-107/5,188.49,Forest,1,1
PCL-LG-OD-0056-06,LG-OD-0056,SY-321/6,188.49,Government,1,0
PCL-LG-OD-0056-07,LG-OD-0056,SY-694/7,188.49,Government,1,1
PCL-LG-OD-0056-08,LG-OD-0056,SY-721/8,188.49,Private,1,0
PCL-LG-PB-0057-01,LG-PB-0057,SY-488/1,238.81,Forest,1,1
PCL-LG-PB-0057-02,LG-PB-0057,SY-383/2,238.81,Private,0,0
PCL-LG-PB-0057-03,LG-PB-0057,SY-569/3,238.81,Government,1,0
PCL-LG-PB-0057-04,LG-PB-0057,SY-189/4,238.81,Forest,1,1
PCL-LG-PB-0057-05,LG-PB-0057,SY-495/5,238.81,Government,1,1
PCL-LG-PB-0057-06,LG-PB-0057,SY-363/6,238.81,Private,1,0
PCL-LG-PB-0057-07,LG-PB-0057,SY-146/7,238.81,Government,0,0
PCL-LG-RJ-0058-01,LG-RJ-0058,SY-335/1,135.89,Community,0,0
PCL-LG-RJ-0058-02,LG-RJ-0058,SY-306/2,135.89,Forest,0,0
PCL-LG-RJ-0058-03,LG-RJ-0058,SY-387/3,135.89,Community,1,1
PCL-LG-RJ-0058-04,LG-RJ-0058,SY-907/4,135.89,Community,0,1
PCL-LG-RJ-0058-05,LG-RJ-0058,SY-138/5,135.89,Government,1,0
PCL-LG-RJ-0058-06,LG-RJ-0058,SY-597/6,135.89,Government,0,0
PCL-LG-RJ-0058-07,LG-RJ-0058,SY-214/7,135.89,Forest,1,0
PCL-LG-SK-0059-01,LG-SK-0059,SY-876/1,296.09,Forest,1,0
PCL-LG-SK-0059-02,LG-SK-0059,SY-998/2,296.09,Private,1,0
PCL-LG-SK-0059-03,LG-SK-0059,SY-743/3,296.09,Community,0,0
PCL-LG-SK-0059-04,LG-SK-0059,SY-594/4,296.09,Private,1,0
PCL-LG-SK-0059-05,LG-SK-0059,SY-501/5,296.09,Forest,1,1
PCL-LG-SK-0059-06,LG-SK-0059,SY-572/6,296.09,Community,0,0
PCL-LG-SK-0059-07,LG-SK-0059,SY-630/7,296.09,Government,1,0
