admin_id,project_id,nodal_officer_assigned,dept_workload_score,sla_compliance_percentage,bottleneck_score
ADM-AS-0076,LG-AS-0076,Officer-AS-76,7.0,32.8,84.1
ADM-BR-0077,LG-BR-0077,Officer-BR-77,5.1,38.3,77.2
ADM-CG-0078,LG-CG-0078,Officer-CG-78,8.1,81.1,23.6
ADM-GA-0079,LG-GA-0079,Officer-GA-79,5.4,72.3,34.6
ADM-GJ-0080,LG-GJ-0080,Officer-GJ-80,9.4,57.2,53.5
ADM-HR-0081,LG-HR-0081,Officer-HR-81,6.4,72.0,35.1
ADM-HP-0082,LG-HP-0082,Officer-HP-82,3.3,44.8,69.0
ADM-JH-0083,LG-JH-0083,Officer-JH-83,6.1,47.5,65.6
ADM-KA-0084,LG-KA-0084,Officer-KA-84,3.6,55.5,55.7
ADM-KL-0085,LG-KL-0085,Officer-KL-85,9.1,90.8,11.5
ADM-MP-0086,LG-MP-0086,Officer-MP-86,6.0,73.3,33.4
ADM-MH-0087,LG-MH-0087,Officer-MH-87,7.8,73.7,32.9
ADM-MN-0088,LG-MN-0088,Officer-MN-88,8.3,38.8,76.5
ADM-ML-0089,LG-ML-0089,Officer-ML-89,5.1,40.2,74.8
ADM-MZ-0090,LG-MZ-0090,Officer-MZ-90,5.9,47.4,65.7
ADM-NL-0091,LG-NL-0091,Officer-NL-91,3.3,43.4,70.8
ADM-OD-0092,LG-OD-0092,Officer-OD-92,4.2,91.3,10.8
ADM-PB-0093,LG-PB-0093,Officer-PB-93,4.7,40.7,74.1
ADM-RJ-0094,LG-RJ-0094,Officer-RJ-94,5.4,57.1,53.6
ADM-SK-0095,LG-SK-0095,Officer-SK-95,4.0,80.6,24.3
ADM-TN-0096,LG-TN-0096,Officer-TN-96,6.5,63.6,45.5
ADM-TS-0097,LG-TS-0097,Officer-TS-97,7.2,56.1,54.9
ADM-TR-0098,LG-TR-0098,Officer-TR-98,3.9,74.6,31.7
ADM-UP-0099,LG-UP-0099,Officer-UP-99,5.6,80.5,24.4
ADM-UK-0100,LG-UK-0100,Officer-UK-100,3.2,59.8,50.3
ADM-WB-0101,LG-WB-0101,Officer-WB-101,8.5,60.1,49.9
ADM-AN-0102,LG-AN-0102,Officer-AN-102,5.2,53.1,58.7
ADM-CH-0103,LG-CH-0103,Officer-CH-103,2.2,30.3,87.1
ADM-DH-0104,LG-DH-0104,Officer-DH-104,8.5,42.7,71.6
ADM-DL-0105,LG-DL-0105,Officer-DL-105,9.2,64.1,44.9
ADM-JK-0106,LG-JK-0106,Officer-JK-106,6.4,60.1,49.9
ADM-LA-0107,LG-LA-0107,Officer-LA-107,7.9,41.4,73.3
ADM-LD-0108,LG-LD-0108,Officer-LD-108,2.7,57.9,52.6
ADM-PY-0109,LG-PY-0109,Officer-PY-109,6.2,84.6,19.2
ADM-AP-0110,LG-AP-0110,Officer-AP-110,8.4,53.8,57.8
ADM-AR-0111,LG-AR-0111,Officer-AR-111,2.5,73.4,33.3
ADM-AS-0112,LG-AS-0112,Officer-AS-112,9.2,56.5,54.4
ADM-BR-0113,LG-BR-0113,Officer-BR-113,8.7,76.3,29.6
ADM-CG-0114,LG-CG-0114,Officer-CG-114,3.3,73.7,32.9
ADM-GA-0115,LG-GA-0115,Officer-GA-115,5.4,56.9,53.9
ADM-GJ-0116,LG-GJ-0116,Officer-GJ-116,6.0,42.6,71.8
ADM-HR-0117,LG-HR-0117,Officer-HR-117,8.4,42.9,71.4
ADM-HP-0118,LG-HP-0118,Officer-HP-118,8.1,76.6,29.3
ADM-JH-0119,LG-JH-0119,Officer-JH-119,8.2,64.9,43.9
ADM-KA-0120,LG-KA-0120,Officer-KA-120,5.0,37.4,78.3
ADM-KL-0121,LG-KL-0121,Officer-KL-121,7.4,73.3,33.4
ADM-MP-0122,LG-MP-0122,Officer-MP-122,9.0,45.5,68.1
ADM-MH-0123,LG-MH-0123,Officer-MH-123,7.4,74.9,31.4
ADM-MN-0124,LG-MN-0124,Officer-MN-124,9.3,41.3,73.4
ADM-ML-0125,LG-ML-0125,Officer-ML-125,3.1,72.7,34.1
ADM-MZ-0126,LG-MZ-0126,Officer-MZ-126,8.6,92.0,10.0
ADM-NL-0127,LG-NL-0127,Officer-NL-127,5.2,26.0,92.5
ADM-OD-0128,LG-OD-0128,Officer-OD-128,7.0,82.2,22.3
ADM-PB-0129,LG-PB-0129,Officer-PB-129,6.2,68.6,39.2
ADM-RJ-0130,LG-RJ-0130,Officer-RJ-130,6.3,80.5,24.3
ADM-SK-0131,LG-SK-0131,Officer-SK-131,5.0,89.0,13.7
ADM-TN-0132,LG-TN-0132,Officer-TN-132,6.9,90.0,12.5
ADM-TS-0133,LG-TS-0133,Officer-TS-133,9.3,51.2,61.1
ADM-TR-0134,LG-TR-0134,Officer-TR-134,5.4,49.5,63.1
ADM-UP-0135,LG-UP-0135,Officer-UP-135,3.7,70.8,36.5
ADM-UK-0136,LG-UK-0136,Officer-UK-136,3.6,72.7,34.2
ADM-WB-0137,LG-WB-0137,Officer-WB-137,7.7,69.5,38.1
ADM-AN-0138,LG-AN-0138,Officer-AN-138,5.5,62.3,47.2
ADM-CH-0139,LG-CH-0139,Officer-CH-139,8.5,64.4,44.5
ADM-DH-0140,LG-DH-0140,Officer-DH-140,5.2,60.8,49.0
ADM-DL-0141,LG-DL-0141,Officer-DL-141,2.3,89.4,13.2
ADM-JK-0142,LG-JK-0142,Officer-JK-142,6.9,89.4,13.3
ADM-LA-0143,LG-LA-0143,Officer-LA-143,8.2,78.1,27.4
ADM-LD-0144,LG-LD-0144,Officer-LD-144,6.3,30.2,87.2
ADM-PY-0145,LG-PY-0145,Officer-PY-145,6.9,83.5,20.6
ADM-AP-0146,LG-AP-0146,Officer-AP-146,5.6,40.7,74.2
ADM-AR-0147,LG-AR-0147,Officer-AR-147,7.4,29.9,87.6
ADM-AS-0148,LG-AS-0148,Officer-AS-148,2.6,69.4,38.3
ADM-BR-0149,LG-BR-0149,Officer-BR-149,7.8,62.9,46.4
ADM-CG-0150,LG-CG-0150,Officer-CG-150,8.2,61.6,48.0
ADM-GA-0151,LG-GA-0151,Officer-GA-151,4.9,41.0,73.7
ADM-GJ-0152,LG-GJ-0152,Officer-GJ-152,6.9,69.7,37.8
ADM-HR-0153,LG-HR-0153,Officer-HR-153,3.1,53.7,57.9
ADM-HP-0154,LG-HP-0154,Officer-HP-154,3.7,49.8,62.8
ADM-JH-0155,LG-JH-0155,Officer-JH-155,7.3,86.7,16.6
ADM-KA-0156,LG-KA-0156,Officer-KA-156,4.2,72.8,34.0
ADM-KL-0157,LG-KL-0157,Officer-KL-157,8.7,43.5,70.6
ADM-MP-0158,LG-MP-0158,Officer-MP-158,2.4,56.5,54.4
ADM-MH-0159,LG-MH-0159,Officer-MH-159,9.0,62.0,47.5
ADM-MN-0160,LG-MN-0160,Officer-MN-160,9.1,32.9,83.8
ADM-ML-0161,LG-ML-0161,Officer-ML-161,7.4,40.1,74.9
ADM-MZ-0162,LG-MZ-0162,Officer-MZ-162,3.0,72.6,34.2
ADM-NL-0163,LG-NL-0163,Officer-NL-163,3.6,54.8,56.5
ADM-OD-0164,LG-OD-0164,Officer-OD-164,2.3,59.9,50.2
ADM-PB-0165,LG-PB-0165,Officer-PB-165,4.8,31.3,85.8
ADM-RJ-0166,LG-RJ-0166,Officer-RJ-166,5.1,45.7,67.9
ADM-SK-0167,LG-SK-0167,Officer-SK-167,8.5,72.4,34.5
ADM-TN-0168,LG-TN-0168,Officer-TN-168,6.5,54.3,57.2
ADM-TS-0169,LG-TS-0169,Officer-TS-169,3.9,60.2,49.7
ADM-TR-0170,LG-TR-0170,Officer-TR-170,9.4,67.5,40.7
ADM-UP-0171,LG-UP-0171,Officer-UP-171,9.2,40.8,74.0
ADM-UK-0172,LG-UK-0172,Officer-UK-172,3.5,72.7,34.1
ADM-WB-0173,LG-WB-0173,Officer-WB-173,6.1,84.0,20.0
ADM-AN-0174,LG-AN-0174,Officer-AN-174,6.2,73.1,33.7
ADM-CH-0175,LG-CH-0175,Officer-CH-175,9.0,55.8,55.2
ADM-DH-0176,LG-DH-0176,Officer-DH-176,6.1,43.5,70.6
ADM-DL-0177,LG-DL-0177,Officer-DL-177,9.3,28.0,90.0
ADM-JK-0178,LG-JK-0178,Officer-JK-178,9.3,71.8,35.3
ADM-LA-0179,LG-LA-0179,Officer-LA-179,3.9,51.2,61.0
ADM-LD-0180,LG-LD-0180,Officer-LD-180,2.6,81.2,23.5
ADM-PY-0181,LG-PY-0181,Officer-PY-181,3.4,79.1,26.1
ADM-AP-0182,LG-AP-0182,Officer-AP-182,3.7,72.1,34.9
ADM-AR-0183,LG-AR-0183,Officer-AR-183,5.6,65.2,43.5
ADM-AS-0184,LG-AS-0184,Officer-AS-184,4.8,91.8,10.2
ADM-BR-0185,LG-BR-0185,Officer-BR-185,6.6,59.8,50.2
ADM-CG-0186,LG-CG-0186,Officer-CG-186,7.9,87.7,15.4
ADM-GA-0187,LG-GA-0187,Officer-GA-187,7.1,44.2,69.8
ADM-GJ-0188,LG-GJ-0188,Officer-GJ-188,3.2,36.1,79.9
ADM-HR-0189,LG-HR-0189,Officer-HR-189,3.9,64.8,44.0
ADM-HP-0190,LG-HP-0190,Officer-HP-190,3.4,83.0,21.2
ADM-JH-0191,LG-JH-0191,Officer-JH-191,3.4,65.5,43.1
ADM-KA-0192,LG-KA-0192,Officer-KA-192,2.5,84.8,19.0
ADM-KL-0193,LG-KL-0193,Officer-KL-193,6.9,62.5,46.9
ADM-MP-0194,LG-MP-0194,Officer-MP-194,6.5,44.1,69.9
ADM-MH-0195,LG-MH-0195,Officer-MH-195,2.6,70.7,36.6
ADM-MN-0196,LG-MN-0196,Officer-MN-196,2.3,28.6,89.3
ADM-ML-0197,LG-ML-0197,Officer-ML-197,3.0,64.6,44.3
ADM-MZ-0198,LG-MZ-0198,Officer-MZ-198,2.3,91.5,10.6
ADM-NL-0199,LG-NL-0199,Officer-NL-199,9.4,52.7,59.2
ADM-OD-0200,LG-OD-0200,Officer-OD-200,9.3,68.8,39.0
ADM-PB-0201,LG-PB-0201,Officer-PB-201,3.9,36.9,78.9
ADM-RJ-0202,LG-RJ-0202,Officer-RJ-202,3.0,24.6,94.3
ADM-SK-0203,LG-SK-0203,Officer-SK-203,7.6,77.5,28.2
ADM-TN-0204,LG-TN-0204,Officer-TN-204,8.4,90.4,12.0
ADM-TS-0205,LG-TS-0205,Officer-TS-205,2.3,42.1,72.3
ADM-TR-0206,LG-TR-0206,Officer-TR-206,5.0,77.3,28.4
ADM-UP-0207,LG-UP-0207,Officer-UP-207,6.4,44.9,68.9
ADM-UK-0208,LG-UK-0208,Officer-UK-208,6.2,72.5,34.4
ADM-WB-0209,LG-WB-0209,Officer-WB-209,5.6,66.8,41.5
ADM-AN-0210,LG-AN-0210,Officer-AN-210,9.5,75.2,31.0
ADM-CH-0211,LG-CH-0211,Officer-CH-211,2.4,44.9,68.9
ADM-DH-0212,LG-DH-0212,Officer-DH-212,2.0,48.1,64.9
ADM-DL-0213,LG-DL-0213,Officer-DL-213,7.4,81.9,22.7
ADM-JK-0214,LG-JK-0214,Officer-JK-214,6.3,75.7,30.4
ADM-LA-0215,LG-LA-0215,Officer-LA-215,5.4,44.7,69.1
ADM-LD-0216,LG-LD-0216,Officer-LD-216,7.4,74.5,31.8
ADM-PY-0217,LG-PY-0217,Officer-PY-217,2.9,41.7,72.8
ADM-AP-0218,LG-AP-0218,Officer-AP-218,3.3,91.4,10.7
ADM-AR-0219,LG-AR-0219,Officer-AR-219,9.1,73.6,33.0
ADM-AS-0220,LG-AS-0220,Officer-AS-220,4.3,69.0,38.7
ADM-BR-0221,LG-BR-0221,Officer-BR-221,5.3,54.8,56.6
ADM-CG-0222,LG-CG-0222,Officer-CG-222,7.4,36.2,79.7
ADM-GA-0223,LG-GA-0223,Officer-GA-223,3.0,49.7,62.9
ADM-GJ-0224,LG-GJ-0224,Officer-GJ-224,5.8,89.3,13.4
ADM-HR-0225,LG-HR-0225,Officer-HR-225,2.6,61.9,47.6
ADM-HP-0226,LG-HP-0226,Officer-HP-226,6.7,40.6,74.2
ADM-JH-0227,LG-JH-0227,Officer-JH-227,7.3,73.8,32.8
ADM-KA-0228,LG-KA-0228,Officer-KA-228,5.6,55.1,56.1
ADM-KL-0229,LG-KL-0229,Officer-KL-229,4.0,91.2,11.0
ADM-MP-0230,LG-MP-0230,Officer-MP-230,2.2,75.8,30.3
ADM-MH-0231,LG-MH-0231,Officer-MH-231,2.6,57.3,53.4
ADM-MN-0232,LG-MN-0232,Officer-MN-232,2.1,57.7,52.8
ADM-ML-0233,LG-ML-0233,Officer-ML-233,7.1,60.3,49.6
ADM-MZ-0234,LG-MZ-0234,Officer-MZ-234,3.4,74.1,32.4
ADM-NL-0235,LG-NL-0235,Officer-NL-235,2.3,78.9,26.3
ADM-OD-0236,LG-OD-0236,Officer-OD-236,6.3,71.6,35.5
ADM-PB-0237,LG-PB-0237,Officer-PB-237,3.3,45.9,67.6
ADM-RJ-0238,LG-RJ-0238,Officer-RJ-238,2.0,88.4,14.5
ADM-SK-0239,LG-SK-0239,Officer-SK-239,3.6,82.5,21.9
ADM-TN-0240,LG-TN-0240,Officer-TN-240,8.7,58.0,52.5
ADM-TS-0241,LG-TS-0241,Officer-TS-241,4.6,55.0,56.2
ADM-TR-0242,LG-TR-0242,Officer-TR-242,7.8,41.7,72.8
ADM-UP-0243,LG-UP-0243,Officer-UP-243,7.8,88.8,14.0
ADM-UK-0244,LG-UK-0244,Officer-UK-244,2.4,76.2,29.7
ADM-WB-0245,LG-WB-0245,Officer-WB-245,2.5,24.8,94.0
ADM-AN-0246,LG-AN-0246,Officer-AN-246,2.8,54.7,56.6
ADM-CH-0247,LG-CH-0247,Officer-CH-247,7.2,57.1,53.7
ADM-DH-0248,LG-DH-0248,Officer-DH-248,2.3,47.4,65.7
ADM-DL-0249,LG-DL-0249,Officer-DL-249,8.7,66.0,42.5
ADM-JK-0250,LG-JK-0250,Officer-JK-250,2.6,90.9,11.4
ADM-LA-0251,LG-LA-0251,Officer-LA-251,4.2,69.8,37.7
ADM-LD-0252,LG-LD-0252,Officer-LD-252,8.2,38.5,76.8
ADM-PY-0253,LG-PY-0253,Officer-PY-253,5.6,62.2,47.2
ADM-AP-0254,LG-AP-0254,Officer-AP-254,6.0,86.5,16.8
ADM-AR-0255,LG-AR-0255,Officer-AR-255,2.8,53.7,57.9
ADM-AS-0256,LG-AS-0256,Officer-AS-256,3.6,61.1,48.6
ADM-BR-0257,LG-BR-0257,Officer-BR-257,3.1,60.9,48.9
ADM-CG-0258,LG-CG-0258,Officer-CG-258,7.2,88.6,14.3
ADM-GA-0259,LG-GA-0259,Officer-GA-259,6.5,51.4,60.8
ADM-GJ-0260,LG-GJ-0260,Officer-GJ-260,9.3,33.5,83.1
ADM-HR-0261,LG-HR-0261,Officer-HR-261,5.7,49.5,63.1
ADM-HP-0262,LG-HP-0262,Officer-HP-262,6.1,65.6,43.0
ADM-JH-0263,LG-JH-0263,Officer-JH-263,8.4,61.7,47.9
ADM-KA-0264,LG-KA-0264,Officer-KA-264,2.4,79.5,25.6
ADM-KL-0265,LG-KL-0265,Officer-KL-265,2.8,64.2,44.7
ADM-MP-0266,LG-MP-0266,Officer-MP-266,2.5,77.1,28.6
ADM-MH-0267,LG-MH-0267,Officer-MH-267,7.4,58.4,52.0
ADM-MN-0268,LG-MN-0268,Officer-MN-268,8.0,51.9,60.1
ADM-ML-0269,LG-ML-0269,Officer-ML-269,9.1,51.0,61.3
ADM-MZ-0270,LG-MZ-0270,Officer-MZ-270,5.3,43.1,71.1
ADM-NL-0271,LG-NL-0271,Officer-NL-271,4.7,46.3,67.1
ADM-OD-0272,LG-OD-0272,Officer-OD-272,2.6,83.2,21.0
ADM-PB-0273,LG-PB-0273,Officer-PB-273,5.0,91.5,10.7
ADM-RJ-0274,LG-RJ-0274,Officer-RJ-274,8.6,46.5,66.9
ADM-SK-0275,LG-SK-0275,Officer-SK-275,5.9,89.0,13.7
ADM-TN-0276,LG-TN-0276,Officer-TN-276,3.8,44.4,69.5
ADM-TS-0277,LG-TS-0277,Officer-TS-277,5.8,50.7,61.7
ADM-TR-0278,LG-TR-0278,Officer-TR-278,4.1,41.7,72.9
ADM-UP-0279,LG-UP-0279,Officer-UP-279,5.3,55.4,55.7
ADM-UK-0280,LG-UK-0280,Officer-UK-280,3.8,87.8,15.3
ADM-WB-0281,LG-WB-0281,Officer-WB-281,9.5,86.6,16.7
ADM-AN-0282,LG-AN-0282,Officer-AN-282,9.2,42.2,72.2
ADM-CH-0283,LG-CH-0283,Officer-CH-283,5.9,76.9,28.9
ADM-DH-0284,LG-DH-0284,Officer-DH-284,7.0,75.0,31.2
ADM-DL-0285,LG-DL-0285,Officer-DL-285,7.6,78.6,26.8
ADM-JK-0286,LG-JK-0286,Officer-JK-286,3.4,40.4,74.5
ADM-LA-0287,LG-LA-0287,Officer-LA-287,3.8,74.0,32.6
ADM-LD-0288,LG-LD-0288,Officer-LD-288,4.4,46.5,66.8
ADM-PY-0289,LG-PY-0289,Officer-PY-289,7.3,73.8,32.7
ADM-AP-0290,LG-AP-0290,Officer-AP-290,8.6,49.3,63.3
ADM-AR-0291,LG-AR-0291,Officer-AR-291,6.2,58.5,51.8
ADM-AS-0292,LG-AS-0292,Officer-AS-292,3.3,40.5,74.4
ADM-BR-0293,LG-BR-0293,Officer-BR-293,4.4,55.5,55.6
ADM-CG-0294,LG-CG-0294,Officer-CG-294,5.0,32.9,83.8
ADM-GA-0295,LG-GA-0295,Officer-GA-295,6.8,81.2,23.5
ADM-GJ-0296,LG-GJ-0296,Officer-GJ-296,4.1,80.6,24.3
ADM-HR-0297,LG-HR-0297,Officer-HR-297,4.0,89.4,13.3
ADM-HP-0298,LG-HP-0298,Officer-HP-298,6.3,75.3,30.8
ADM-JH-0299,LG-JH-0299,Officer-JH-299,8.8,76.0,30.1
ADM-KA-0300,LG-KA-0300,Officer-KA-300,6.8,45.3,68.4
ADM-KL-0301,LG-KL-0301,Officer-KL-301,3.4,27.9,90.2
ADM-MP-0302,LG-MP-0302,Officer-MP-302,4.4,55.6,55.5
ADM-MH-0303,LG-MH-0303,Officer-MH-303,6.2,31.3,85.8
ADM-MN-0304,LG-MN-0304,Officer-MN-304,6.5,34.7,81.6
ADM-ML-0305,LG-ML-0305,Officer-ML-305,9.4,65.9,42.6
ADM-MZ-0306,LG-MZ-0306,Officer-MZ-306,4.8,45.6,68.0
ADM-NL-0307,LG-NL-0307,Officer-NL-307,9.4,52.3,59.7
ADM-OD-0308,LG-OD-0308,Officer-OD-308,9.0,87.4,15.7
ADM-PB-0309,LG-PB-0309,Officer-PB-309,5.2,67.0,41.2
ADM-RJ-0310,LG-RJ-0310,Officer-RJ-310,5.3,42.7,71.7
ADM-SK-0311,LG-SK-0311,Officer-SK-311,5.5,68.4,39.5
ADM-TN-0312,LG-TN-0312,Officer-TN-312,3.0,80.5,24.3
ADM-TS-0313,LG-TS-0313,Officer-TS-313,3.4,59.3,50.9
ADM-TR-0314,LG-TR-0314,Officer-TR-314,7.8,87.5,15.6
ADM-UP-0315,LG-UP-0315,Officer-UP-315,2.2,72.0,34.9
ADM-UK-0316,LG-UK-0316,Officer-UK-316,4.8,74.4,32.0
ADM-WB-0317,LG-WB-0317,Officer-WB-317,4.9,74.3,32.1
ADM-AN-0318,LG-AN-0318,Officer-AN-318,6.1,67.0,41.3
ADM-CH-0319,LG-CH-0319,Officer-CH-319,2.7,70.7,36.6
ADM-DH-0320,LG-DH-0320,Officer-DH-320,6.3,91.8,10.2
ADM-DL-0321,LG-DL-0321,Officer-DL-321,6.3,72.2,34.7
ADM-JK-0322,LG-JK-0322,Officer-JK-322,4.9,53.8,57.8
ADM-LA-0323,LG-LA-0323,Officer-LA-323,8.4,78.8,26.5
ADM-LD-0324,LG-LD-0324,Officer-LD-324,5.0,46.6,66.7
ADM-PY-0325,LG-PY-0325,Officer-PY-325,9.1,46.1,67.4
ADM-AP-0326,LG-AP-0326,Officer-AP-326,2.5,37.5,78.2
ADM-AR-0327,LG-AR-0327,Officer-AR-327,2.1,39.2,76.1
ADM-AS-0328,LG-AS-0328,Officer-AS-328,2.0,79.3,25.9
ADM-BR-0329,LG-BR-0329,Officer-BR-329,5.0,49.3,63.3
ADM-CG-0330,LG-CG-0330,Officer-CG-330,9.2,87.6,15.5
ADM-GA-0331,LG-GA-0331,Officer-GA-331,7.5,87.4,15.8
ADM-GJ-0332,LG-GJ-0332,Officer-GJ-332,3.7,28.3,89.7
ADM-HR-0333,LG-HR-0333,Officer-HR-333,2.6,52.9,58.8
ADM-HP-0334,LG-HP-0334,Officer-HP-334,8.4,83.2,21.0
ADM-JH-0335,LG-JH-0335,Officer-JH-335,5.7,74.8,31.5
ADM-KA-0336,LG-KA-0336,Officer-KA-336,7.0,45.6,68.0
ADM-KL-0337,LG-KL-0337,Officer-KL-337,7.5,67.5,40.6
ADM-MP-0338,LG-MP-0338,Officer-MP-338,7.3,49.3,63.4
ADM-MH-0339,LG-MH-0339,Officer-MH-339,5.6,38.1,77.3
ADM-MN-0340,LG-MN-0340,Officer-MN-340,2.4,69.3,38.4
ADM-ML-0341,LG-ML-0341,Officer-ML-341,8.6,62.8,46.5
ADM-MZ-0342,LG-MZ-0342,Officer-MZ-342,9.5,41.1,73.6
ADM-NL-0343,LG-NL-0343,Officer-NL-343,3.0,84.3,19.6
ADM-OD-0344,LG-OD-0344,Officer-OD-344,4.8,73.7,32.9
ADM-PB-0345,LG-PB-0345,Officer-PB-345,5.4,47.4,65.8
