outcome_id,project_id,delay_flag,delay_days
OUT-CH-0103,LG-CH-0103,1,477
OUT-DH-0104,LG-DH-0104,1,196
OUT-DL-0105,LG-DL-0105,1,110
OUT-JK-0106,LG-JK-0106,1,85
OUT-LA-0107,LG-LA-0107,1,425
OUT-LD-0108,LG-LD-0108,0,12
OUT-PY-0109,LG-PY-0109,0,9
OUT-AP-0110,LG-AP-0110,1,141
OUT-AR-0111,LG-AR-0111,1,89
OUT-AS-0112,LG-AS-0112,1,70
OUT-BR-0113,LG-BR-0113,0,8
OUT-CG-0114,LG-CG-0114,0,0
OUT-GA-0115,LG-GA-0115,1,130
OUT-GJ-0116,LG-GJ-0116,1,205
OUT-HR-0117,LG-HR-0117,1,135
OUT-HP-0118,LG-HP-0118,0,14
OUT-JH-0119,LG-JH-0119,0,14
OUT-KA-0120,LG-KA-0120,1,486
OUT-KL-0121,LG-KL-0121,0,20
OUT-MP-0122,LG-MP-0122,1,256
OUT-MH-0123,LG-MH-0123,0,16
OUT-MN-0124,LG-MN-0124,1,473
OUT-ML-0125,LG-ML-0125,0,1
OUT-MZ-0126,LG-MZ-0126,0,12
OUT-NL-0127,LG-NL-0127,1,423
OUT-OD-0128,LG-OD-0128,0,1
OUT-PB-0129,LG-PB-0129,0,8
OUT-RJ-0130,LG-RJ-0130,0,7
OUT-SK-0131,LG-SK-0131,0,8
OUT-TN-0132,LG-TN-0132,0,9
OUT-TS-0133,LG-TS-0133,1,245
OUT-TR-0134,LG-TR-0134,1,164
OUT-UP-0135,LG-UP-0135,1,23
OUT-UK-0136,LG-UK-0136,0,8
OUT-WB-0137,LG-WB-0137,1,103
OUT-AN-0138,LG-AN-0138,1,84
OUT-CH-0139,LG-CH-0139,1,44
OUT-DH-0140,LG-DH-0140,0,15
OUT-DL-0141,LG-DL-0141,0,12
OUT-JK-0142,LG-JK-0142,0,0
OUT-LA-0143,LG-LA-0143,0,0
OUT-LD-0144,LG-LD-0144,1,419
OUT-PY-0145,LG-PY-0145,0,3
OUT-AP-0146,LG-AP-0146,1,280
OUT-AR-0147,LG-AR-0147,1,592
OUT-AS-0148,LG-AS-0148,0,16
OUT-BR-0149,LG-BR-0149,1,66
OUT-CG-0150,LG-CG-0150,1,98
OUT-GA-0151,LG-GA-0151,1,250
OUT-GJ-0152,LG-GJ-0152,0,6
OUT-HR-0153,LG-HR-0153,1,171
OUT-HP-0154,LG-HP-0154,1,133
OUT-JH-0155,LG-JH-0155,0,5
OUT-KA-0156,LG-KA-0156,0,11
OUT-KL-0157,LG-KL-0157,1,513
OUT-MP-0158,LG-MP-0158,0,4
OUT-MH-0159,LG-MH-0159,1,84
OUT-MN-0160,LG-MN-0160,1,313
OUT-ML-0161,LG-ML-0161,1,260
OUT-MZ-0162,LG-MZ-0162,0,7
OUT-NL-0163,LG-NL-0163,1,124
OUT-OD-0164,LG-OD-0164,0,14
OUT-PB-0165,LG-PB-0165,1,384
OUT-RJ-0166,LG-RJ-0166,1,158
OUT-SK-0167,LG-SK-0167,0,9
OUT-TN-0168,LG-TN-0168,1,253
OUT-TS-0169,LG-TS-0169,1,95
OUT-TR-0170,LG-TR-0170,1,129
OUT-UP-0171,LG-UP-0171,1,174
OUT-UK-0172,LG-UK-0172,0,1
OUT-WB-0173,LG-WB-0173,0,12
OUT-AN-0174,LG-AN-0174,0,8
OUT-CH-0175,LG-CH-0175,1,183
OUT-DH-0176,LG-DH-0176,1,140
OUT-DL-0177,LG-DL-0177,1,526
OUT-JK-0178,LG-JK-0178,1,129
OUT-LA-0179,LG-LA-0179,1,221
OUT-LD-0180,LG-LD-0180,0,9
OUT-PY-0181,LG-PY-0181,0,8
OUT-AP-0182,LG-AP-0182,0,3
OUT-AR-0183,LG-AR-0183,1,87
OUT-AS-0184,LG-AS-0184,0,13
OUT-BR-0185,LG-BR-0185,0,2
OUT-CG-0186,LG-CG-0186,0,13
OUT-GA-0187,LG-GA-0187,1,170
OUT-GJ-0188,LG-GJ-0188,1,254
OUT-HR-0189,LG-HR-0189,1,113
OUT-HP-0190,LG-HP-0190,0,8
OUT-JH-0191,LG-JH-0191,0,4
OUT-KA-0192,LG-KA-0192,0,13
OUT-KL-0193,LG-KL-0193,0,5
OUT-MP-0194,LG-MP-0194,1,235
OUT-MH-0195,LG-MH-0195,0,8
OUT-MN-0196,LG-MN-0196,1,574
OUT-ML-0197,LG-ML-0197,1,53
OUT-MZ-0198,LG-MZ-0198,0,9
OUT-NL-0199,LG-NL-0199,1,172
OUT-OD-0200,LG-OD-0200,0,9
OUT-PB-0201,LG-PB-0201,1,370
OUT-RJ-0202,LG-RJ-0202,1,479
OUT-SK-0203,LG-SK-0203,0,10
OUT-TN-0204,LG-TN-0204,0,15
OUT-TS-0205,LG-TS-0205,1,203
OUT-TR-0206,LG-TR-0206,0,12
OUT-UP-0207,LG-UP-0207,1,220
OUT-UK-0208,LG-UK-0208,0,5
OUT-WB-0209,LG-WB-0209,0,19
OUT-AN-0210,LG-AN-0210,0,9
OUT-CH-0211,LG-CH-0211,1,204
OUT-DH-0212,LG-DH-0212,1,246
OUT-DL-0213,LG-DL-0213,0,10
OUT-JK-0214,LG-JK-0214,0,1
OUT-LA-0215,LG-LA-0215,1,128
OUT-LD-0216,LG-LD-0216,0,9
OUT-PY-0217,LG-PY-0217,1,171
OUT-AP-0218,LG-AP-0218,0,1
OUT-AR-0219,LG-AR-0219,0,14
OUT-AS-0220,LG-AS-0220,0,12
OUT-BR-0221,LG-BR-0221,1,149
OUT-CG-0222,LG-CG-0222,1,350
OUT-GA-0223,LG-GA-0223,1,217
OUT-GJ-0224,LG-GJ-0224,0,13
OUT-HR-0225,LG-HR-0225,1,108
OUT-HP-0226,LG-HP-0226,1,194
OUT-JH-0227,LG-JH-0227,0,4
OUT-KA-0228,LG-KA-0228,1,149
OUT-KL-0229,LG-KL-0229,0,11
OUT-MP-0230,LG-MP-0230,0,14
OUT-MH-0231,LG-MH-0231,1,118
OUT-MN-0232,LG-MN-0232,0,1
OUT-ML-0233,LG-ML-0233,0,12
OUT-MZ-0234,LG-MZ-0234,0,11
OUT-NL-0235,LG-NL-0235,0,14
OUT-OD-0236,LG-OD-0236,1,63
OUT-PB-0237,LG-PB-0237,1,160
OUT-RJ-0238,LG-RJ-0238,0,15
OUT-SK-0239,LG-SK-0239,0,5
OUT-TN-0240,LG-TN-0240,0,10
OUT-TS-0241,LG-TS-0241,1,148
OUT-TR-0242,LG-TR-0242,1,121
OUT-UP-0243,LG-UP-0243,0,14
OUT-UK-0244,LG-UK-0244,0,2
OUT-WB-0245,LG-WB-0245,1,365
OUT-AN-0246,LG-AN-0246,1,193
OUT-CH-0247,LG-CH-0247,1,94
OUT-DH-0248,LG-DH-0248,1,164
OUT-DL-0249,LG-DL-0249,1,60
OUT-JK-0250,LG-JK-0250,0,6
OUT-LA-0251,LG-LA-0251,0,6
OUT-LD-0252,LG-LD-0252,1,534
OUT-PY-0253,LG-PY-0253,0,3
OUT-AP-0254,LG-AP-0254,0,13
OUT-AR-0255,LG-AR-0255,1,252
OUT-AS-0256,LG-AS-0256,0,4
OUT-BR-0257,LG-BR-0257,0,18
OUT-CG-0258,LG-CG-0258,0,0
OUT-GA-0259,LG-GA-0259,1,141
OUT-GJ-0260,LG-GJ-0260,1,311
OUT-HR-0261,LG-HR-0261,1,250
OUT-HP-0262,LG-HP-0262,1,45
OUT-JH-0263,LG-JH-0263,0,18
OUT-KA-0264,LG-KA-0264,0,12
OUT-KL-0265,LG-KL-0265,1,93
OUT-MP-0266,LG-MP-0266,0,2
OUT-MH-0267,LG-MH-0267,1,47
OUT-MN-0268,LG-MN-0268,1,223
OUT-ML-0269,LG-ML-0269,1,136
OUT-MZ-0270,LG-MZ-0270,1,228
OUT-NL-0271,LG-NL-0271,1,181
OUT-OD-0272,LG-OD-0272,0,10
OUT-PB-0273,LG-PB-0273,0,1
OUT-RJ-0274,LG-RJ-0274,1,192
OUT-SK-0275,LG-SK-0275,0,11
OUT-TN-0276,LG-TN-0276,1,227
OUT-TS-0277,LG-TS-0277,1,240
OUT-TR-0278,LG-TR-0278,1,315
OUT-UP-0279,LG-UP-0279,1,161
OUT-UK-0280,LG-UK-0280,0,0
OUT-WB-0281,LG-WB-0281,0,0
OUT-AN-0282,LG-AN-0282,1,333
OUT-CH-0283,LG-CH-0283,0,11
OUT-DH-0284,LG-DH-0284,0,16
OUT-DL-0285,LG-DL-0285,0,8
OUT-JK-0286,LG-JK-0286,1,221
OUT-LA-0287,LG-LA-0287,0,14
OUT-LD-0288,LG-LD-0288,1,179
OUT-PY-0289,LG-PY-0289,0,10
OUT-AP-0290,LG-AP-0290,1,197
OUT-AR-0291,LG-AR-0291,0,14
OUT-AS-0292,LG-AS-0292,1,182
OUT-BR-0293,LG-BR-0293,1,122
OUT-CG-0294,LG-CG-0294,1,410
OUT-GA-0295,LG-GA-0295,0,6
OUT-GJ-0296,LG-GJ-0296,0,0
OUT-HR-0297,LG-HR-0297,0,6
OUT-HP-0298,LG-HP-0298,1,35
OUT-JH-0299,LG-JH-0299,0,1
OUT-KA-0300,LG-KA-0300,1,191
OUT-KL-0301,LG-KL-0301,1,455
OUT-MP-0302,LG-MP-0302,1,196
OUT-MH-0303,LG-MH-0303,1,387
OUT-MN-0304,LG-MN-0304,1,584
OUT-ML-0305,LG-ML-0305,1,101
OUT-MZ-0306,LG-MZ-0306,1,257
OUT-NL-0307,LG-NL-0307,1,212
OUT-OD-0308,LG-OD-0308,0,8
OUT-PB-0309,LG-PB-0309,1,44
OUT-RJ-0310,LG-RJ-0310,1,253
OUT-SK-0311,LG-SK-0311,1,49
OUT-TN-0312,LG-TN-0312,0,8
OUT-TS-0313,LG-TS-0313,1,64
OUT-TR-0314,LG-TR-0314,0,7
OUT-UP-0315,LG-UP-0315,0,8
OUT-UK-0316,LG-UK-0316,0,2
OUT-WB-0317,LG-WB-0317,0,6
OUT-AN-0318,LG-AN-0318,1,47
OUT-CH-0319,LG-CH-0319,1,30
OUT-DH-0320,LG-DH-0320,0,9
OUT-DL-0321,LG-DL-0321,0,14
OUT-JK-0322,LG-JK-0322,1,220
OUT-LA-0323,LG-LA-0323,0,2
OUT-LD-0324,LG-LD-0324,1,190
OUT-PY-0325,LG-PY-0325,1,237
OUT-AP-0326,LG-AP-0326,1,334
OUT-AR-0327,LG-AR-0327,1,321
OUT-AS-0328,LG-AS-0328,0,3
OUT-BR-0329,LG-BR-0329,1,203
OUT-CG-0330,LG-CG-0330,0,9
OUT-GA-0331,LG-GA-0331,0,0
OUT-GJ-0332,LG-GJ-0332,1,516
OUT-HR-0333,LG-HR-0333,1,172
OUT-HP-0334,LG-HP-0334,0,13
OUT-JH-0335,LG-JH-0335,0,11
OUT-KA-0336,LG-KA-0336,1,183
OUT-KL-0337,LG-KL-0337,1,108
OUT-MP-0338,LG-MP-0338,1,193
OUT-MH-0339,LG-MH-0339,1,313
OUT-MN-0340,LG-MN-0340,1,124
OUT-ML-0341,LG-ML-0341,1,104
OUT-MZ-0342,LG-MZ-0342,1,315
OUT-NL-0343,LG-NL-0343,0,8
OUT-OD-0344,LG-OD-0344,0,2
OUT-PB-0345,LG-PB-0345,1,200
OUT-RJ-0346,LG-RJ-0346,0,1
OUT-SK-0347,LG-SK-0347,1,78
OUT-TN-0348,LG-TN-0348,1,513
OUT-TS-0349,LG-TS-0349,0,3
OUT-TR-0350,LG-TR-0350,0,16
OUT-UP-0351,LG-UP-0351,1,228
OUT-UK-0352,LG-UK-0352,0,19
OUT-WB-0353,LG-WB-0353,1,538
OUT-AN-0354,LG-AN-0354,0,12
OUT-CH-0355,LG-CH-0355,0,4
OUT-DH-0356,LG-DH-0356,1,296
OUT-DL-0357,LG-DL-0357,1,109
OUT-JK-0358,LG-JK-0358,1,81
OUT-LA-0359,LG-LA-0359,0,15
OUT-LD-0360,LG-LD-0360,0,6
OUT-PY-0361,LG-PY-0361,1,148
OUT-AP-0362,LG-AP-0362,0,8
OUT-AR-0363,LG-AR-0363,1,87
OUT-AS-0364,LG-AS-0364,0,3
OUT-BR-0365,LG-BR-0365,0,3
OUT-CG-0366,LG-CG-0366,1,335
OUT-GA-0367,LG-GA-0367,1,84
OUT-GJ-0368,LG-GJ-0368,0,11
OUT-HR-0369,LG-HR-0369,0,8
OUT-HP-0370,LG-HP-0370,0,9
OUT-JH-0371,LG-JH-0371,0,3
OUT-KA-0372,LG-KA-0372,0,0
OUT-KL-0373,LG-KL-0373,0,10
OUT-MP-0374,LG-MP-0374,1,229
OUT-MH-0375,LG-MH-0375,1,218
OUT-MN-0376,LG-MN-0376,1,182
OUT-ML-0377,LG-ML-0377,0,5
OUT-MZ-0378,LG-MZ-0378,0,9
OUT-NL-0379,LG-NL-0379,1,228
OUT-OD-0380,LG-OD-0380,0,1
OUT-PB-0381,LG-PB-0381,1,30
OUT-RJ-0382,LG-RJ-0382,1,144
OUT-SK-0383,LG-SK-0383,1,270
OUT-TN-0384,LG-TN-0384,0,7
OUT-TS-0385,LG-TS-0385,0,17
OUT-TR-0386,LG-TR-0386,1,140
OUT-UP-0387,LG-UP-0387,0,18
OUT-UK-0388,LG-UK-0388,1,47
OUT-WB-0389,LG-WB-0389,1,56
OUT-AN-0390,LG-AN-0390,0,14
OUT-CH-0391,LG-CH-0391,0,11
OUT-DH-0392,LG-DH-0392,1,508
OUT-DL-0393,LG-DL-0393,0,7
OUT-JK-0394,LG-JK-0394,1,246
OUT-LA-0395,LG-LA-0395,0,11
OUT-LD-0396,LG-LD-0396,1,115
OUT-PY-0397,LG-PY-0397,1,100
OUT-AP-0398,LG-AP-0398,0,0
OUT-AR-0399,LG-AR-0399,1,25
OUT-AS-0400,LG-AS-0400,0,2
OUT-BR-0401,LG-BR-0401,1,177
OUT-CG-0402,LG-CG-0402,1,234
OUT-GA-0403,LG-GA-0403,0,15
OUT-GJ-0404,LG-GJ-0404,1,238
OUT-HR-0405,LG-HR-0405,0,9
OUT-HP-0406,LG-HP-0406,0,7
OUT-JH-0407,LG-JH-0407,0,15
OUT-KA-0408,LG-KA-0408,1,235
OUT-KL-0409,LG-KL-0409,1,169
OUT-MP-0410,LG-MP-0410,0,11
OUT-MH-0411,LG-MH-0411,0,1
OUT-MN-0412,LG-MN-0412,0,6
OUT-ML-0413,LG-ML-0413,1,465
OUT-MZ-0414,LG-MZ-0414,1,135
OUT-NL-0415,LG-NL-0415,1,249
OUT-OD-0416,LG-OD-0416,1,214
OUT-PB-0417,LG-PB-0417,1,84
OUT-RJ-0418,LG-RJ-0418,1,249
OUT-SK-0419,LG-SK-0419,1,465
OUT-TN-0420,LG-TN-0420,0,18
OUT-TS-0421,LG-TS-0421,1,232
OUT-TR-0422,LG-TR-0422,1,99
OUT-UP-0423,LG-UP-0423,1,463
OUT-UK-0424,LG-UK-0424,1,532
OUT-WB-0425,LG-WB-0425,0,1
OUT-AN-0426,LG-AN-0426,1,233
OUT-CH-0427,LG-CH-0427,1,268
OUT-DH-0428,LG-DH-0428,1,128
OUT-DL-0429,LG-DL-0429,0,12
OUT-JK-0430,LG-JK-0430,1,233
OUT-LA-0431,LG-LA-0431,0,3
OUT-LD-0432,LG-LD-0432,0,11
OUT-PY-0433,LG-PY-0433,0,10
OUT-AP-0434,LG-AP-0434,1,44
OUT-AR-0435,LG-AR-0435,0,13
OUT-AS-0436,LG-AS-0436,0,13
OUT-BR-0437,LG-BR-0437,1,116
OUT-CG-0438,LG-CG-0438,1,61
OUT-GA-0439,LG-GA-0439,0,3
OUT-GJ-0440,LG-GJ-0440,1,246
OUT-HR-0441,LG-HR-0441,1,122
OUT-HP-0442,LG-HP-0442,1,81
OUT-JH-0443,LG-JH-0443,1,315
OUT-KA-0444,LG-KA-0444,0,18
OUT-KL-0445,LG-KL-0445,1,178
OUT-MP-0446,LG-MP-0446,0,12
OUT-MH-0447,LG-MH-0447,0,14
OUT-MN-0448,LG-MN-0448,1,439
OUT-ML-0449,LG-ML-0449,0,10
OUT-MZ-0450,LG-MZ-0450,1,474
OUT-NL-0451,LG-NL-0451,1,80
OUT-OD-0452,LG-OD-0452,0,7
OUT-PB-0453,LG-PB-0453,0,12
OUT-RJ-0454,LG-RJ-0454,1,110
OUT-SK-0455,LG-SK-0455,0,19
OUT-TN-0456,LG-TN-0456,1,390
OUT-TS-0457,LG-TS-0457,0,8
OUT-TR-0458,LG-TR-0458,0,6
OUT-UP-0459,LG-UP-0459,1,127
OUT-UK-0460,LG-UK-0460,1,129
OUT-WB-0461,LG-WB-0461,0,14
OUT-AN-0462,LG-AN-0462,1,80
OUT-CH-0463,LG-CH-0463,0,2
OUT-DH-0464,LG-DH-0464,1,240
OUT-DL-0465,LG-DL-0465,0,7
OUT-JK-0466,LG-JK-0466,0,11
OUT-LA-0467,LG-LA-0467,0,5
OUT-LD-0468,LG-LD-0468,0,10
OUT-PY-0469,LG-PY-0469,0,7
OUT-AP-0470,LG-AP-0470,1,58
OUT-AR-0471,LG-AR-0471,0,10
OUT-AS-0472,LG-AS-0472,1,24
OUT-BR-0473,LG-BR-0473,0,7
OUT-CG-0474,LG-CG-0474,1,48
OUT-GA-0475,LG-GA-0475,1,22
OUT-GJ-0476,LG-GJ-0476,1,600
OUT-HR-0477,LG-HR-0477,1,232
OUT-HP-0478,LG-HP-0478,1,237
OUT-JH-0479,LG-JH-0479,0,9
OUT-KA-0480,LG-KA-0480,0,11
OUT-KL-0481,LG-KL-0481,0,14
OUT-MP-0482,LG-MP-0482,0,1
OUT-MH-0483,LG-MH-0483,0,17
OUT-MN-0484,LG-MN-0484,1,55
OUT-ML-0485,LG-ML-0485,1,33
OUT-MZ-0486,LG-MZ-0486,1,205
OUT-NL-0487,LG-NL-0487,1,203
OUT-OD-0488,LG-OD-0488,0,14
OUT-PB-0489,LG-PB-0489,1,118
OUT-RJ-0490,LG-RJ-0490,1,257
OUT-SK-0491,LG-SK-0491,1,583
OUT-TN-0492,LG-TN-0492,0,6
OUT-TS-0493,LG-TS-0493,1,23
OUT-TR-0494,LG-TR-0494,0,2
OUT-UP-0495,LG-UP-0495,1,390
OUT-UK-0496,LG-UK-0496,1,34
OUT-WB-0497,LG-WB-0497,0,7
OUT-AN-0498,LG-AN-0498,0,4
OUT-CH-0499,LG-CH-0499,1,132
OUT-DH-0500,LG-DH-0500,1,43
OUT-DL-0501,LG-DL-0501,0,2
OUT-JK-0502,LG-JK-0502,0,17
OUT-LA-0503,LG-LA-0503,0,13
OUT-LD-0504,LG-LD-0504,1,253
OUT-PY-0505,LG-PY-0505,1,48
OUT-AP-0506,LG-AP-0506,1,48
OUT-AR-0507,LG-AR-0507,0,12
OUT-AS-0508,LG-AS-0508,0,11
OUT-BR-0509,LG-BR-0509,1,201
OUT-CG-0510,LG-CG-0510,1,453
OUT-GA-0511,LG-GA-0511,0,15
OUT-GJ-0512,LG-GJ-0512,1,383
OUT-HR-0513,LG-HR-0513,1,111
OUT-HP-0514,LG-HP-0514,1,127
OUT-JH-0515,LG-JH-0515,1,113
OUT-KA-0516,LG-KA-0516,1,31
OUT-KL-0517,LG-KL-0517,0,11
OUT-MP-0518,LG-MP-0518,0,3
OUT-MH-0519,LG-MH-0519,0,12
OUT-MN-0520,LG-MN-0520,1,75
OUT-ML-0521,LG-ML-0521,1,218
OUT-MZ-0522,LG-MZ-0522,0,10
OUT-NL-0523,LG-NL-0523,0,20
OUT-OD-0524,LG-OD-0524,0,17
OUT-PB-0525,LG-PB-0525,1,159
OUT-RJ-0526,LG-RJ-0526,1,148
OUT-SK-0527,LG-SK-0527,0,15
OUT-TN-0528,LG-TN-0528,1,230
OUT-TS-0529,LG-TS-0529,1,182
OUT-TR-0530,LG-TR-0530,1,86
OUT-UP-0531,LG-UP-0531,0,1
OUT-UK-0532,LG-UK-0532,0,5
OUT-WB-0533,LG-WB-0533,1,105
OUT-AN-0534,LG-AN-0534,1,213
OUT-CH-0535,LG-CH-0535,1,69
OUT-DH-0536,LG-DH-0536,0,0
OUT-DL-0537,LG-DL-0537,0,3
OUT-JK-0538,LG-JK-0538,1,167
OUT-LA-0539,LG-LA-0539,1,184
OUT-LD-0540,LG-LD-0540,1,67
OUT-PY-0541,LG-PY-0541,1,158
OUT-AP-0542,LG-AP-0542,0,1
OUT-AR-0543,LG-AR-0543,1,214
OUT-AS-0544,LG-AS-0544,1,183
OUT-BR-0545,LG-BR-0545,0,10
OUT-CG-0546,LG-CG-0546,1,195
OUT-GA-0547,LG-GA-0547,1,214
OUT-GJ-0548,LG-GJ-0548,0,11
OUT-HR-0549,LG-HR-0549,1,242
OUT-HP-0550,LG-HP-0550,0,11
OUT-JH-0551,LG-JH-0551,0,5
OUT-KA-0552,LG-KA-0552,0,15
OUT-KL-0553,LG-KL-0553,1,580
OUT-MP-0554,LG-MP-0554,1,546
OUT-MH-0555,LG-MH-0555,0,9
OUT-MN-0556,LG-MN-0556,0,11
OUT-ML-0557,LG-ML-0557,1,116
OUT-MZ-0558,LG-MZ-0558,1,178
OUT-NL-0559,LG-NL-0559,0,2
OUT-OD-0560,LG-OD-0560,0,10
OUT-PB-0561,LG-PB-0561,1,217
OUT-RJ-0562,LG-RJ-0562,1,28
OUT-SK-0563,LG-SK-0563,1,25
OUT-TN-0564,LG-TN-0564,1,91
OUT-TS-0565,LG-TS-0565,1,368
OUT-TR-0566,LG-TR-0566,1,533
OUT-UP-0567,LG-UP-0567,1,70
OUT-UK-0568,LG-UK-0568,1,127
OUT-WB-0569,LG-WB-0569,0,10
OUT-AN-0570,LG-AN-0570,0,5
OUT-CH-0571,LG-CH-0571,0,6
OUT-DH-0572,LG-DH-0572,0,3
OUT-DL-0573,LG-DL-0573,0,17
OUT-JK-0574,LG-JK-0574,0,6
OUT-LA-0575,LG-LA-0575,0,12
OUT-LD-0576,LG-LD-0576,1,66
OUT-PY-0577,LG-PY-0577,0,7
OUT-AP-0578,LG-AP-0578,0,4
OUT-AR-0579,LG-AR-0579,1,137
OUT-AS-0580,LG-AS-0580,1,34
OUT-BR-0581,LG-BR-0581,1,172
OUT-CG-0582,LG-CG-0582,0,3
OUT-GA-0583,LG-GA-0583,1,159
OUT-GJ-0584,LG-GJ-0584,1,357
OUT-HR-0585,LG-HR-0585,1,554
OUT-HP-0586,LG-HP-0586,0,11
OUT-JH-0587,LG-JH-0587,1,551
OUT-KA-0588,LG-KA-0588,1,127
OUT-KL-0589,LG-KL-0589,0,14
OUT-MP-0590,LG-MP-0590,1,129
OUT-MH-0591,LG-MH-0591,1,220
OUT-MN-0592,LG-MN-0592,1,226
OUT-ML-0593,LG-ML-0593,1,87
OUT-MZ-0594,LG-MZ-0594,1,187
OUT-NL-0595,LG-NL-0595,1,247
OUT-OD-0596,LG-OD-0596,1,332
OUT-PB-0597,LG-PB-0597,1,250
OUT-RJ-0598,LG-RJ-0598,0,11
OUT-SK-0599,LG-SK-0599,1,481
OUT-TN-0600,LG-TN-0600,0,9
OUT-TS-0601,LG-TS-0601,0,16
OUT-TR-0602,LG-TR-0602,1,145
