dispute_id,project_id,total_cases,court_district_cases,court_high_cases,court_supreme_cases,pending_cases,resolved_cases,stay_orders_count
LGL-BR-0077,LG-BR-0077,29,17,8,4,27,2,5
LGL-CG-0078,LG-CG-0078,4,2,1,1,1,3,0
LGL-GA-0079,LG-GA-0079,6,3,1,2,5,1,1
LGL-GJ-0080,LG-GJ-0080,15,9,4,2,7,8,1
LGL-HR-0081,LG-HR-0081,10,6,3,1,2,8,0
LGL-HP-0082,LG-HP-0082,17,10,5,2,9,8,3
LGL-JH-0083,LG-JH-0083,16,9,4,3,11,5,1
LGL-KA-0084,LG-KA-0084,13,7,3,3,6,7,1
LGL-KL-0085,LG-KL-0085,9,5,2,2,2,7,0
LGL-MP-0086,LG-MP-0086,4,2,1,1,2,2,1
LGL-MH-0087,LG-MH-0087,9,5,2,2,2,7,0
LGL-MN-0088,LG-MN-0088,36,21,10,5,30,6,8
LGL-ML-0089,LG-ML-0089,16,9,4,3,14,2,2
LGL-MZ-0090,LG-MZ-0090,19,11,5,3,12,7,1
LGL-NL-0091,LG-NL-0091,22,13,6,3,14,8,7
LGL-OD-0092,LG-OD-0092,5,3,1,1,1,4,0
LGL-PB-0093,LG-PB-0093,14,8,4,2,9,5,1
LGL-RJ-0094,LG-RJ-0094,8,4,2,2,5,3,1
LGL-SK-0095,LG-SK-0095,5,3,1,1,2,3,0
LGL-TN-0096,LG-TN-0096,14,8,4,2,4,10,0
LGL-TS-0097,LG-TS-0097,8,4,2,2,4,4,0
LGL-TR-0098,LG-TR-0098,7,4,2,1,1,6,0
LGL-UP-0099,LG-UP-0099,10,6,3,1,2,8,0
LGL-UK-0100,LG-UK-0100,10,6,3,1,7,3,1
LGL-WB-0101,LG-WB-0101,11,6,3,2,3,8,0
LGL-AN-0102,LG-AN-0102,18,10,5,3,8,10,2
LGL-CH-0103,LG-CH-0103,26,15,7,4,24,2,6
LGL-DH-0104,LG-DH-0104,15,9,4,2,14,1,1
LGL-DL-0105,LG-DL-0105,13,7,3,3,3,10,0
LGL-JK-0106,LG-JK-0106,13,7,3,3,7,6,1
LGL-LA-0107,LG-LA-0107,23,13,6,4,22,1,8
LGL-LD-0108,LG-LD-0108,6,3,1,2,2,4,1
LGL-PY-0109,LG-PY-0109,5,3,1,1,2,3,0
LGL-AP-0110,LG-AP-0110,22,13,6,3,12,10,2
LGL-AR-0111,LG-AR-0111,10,6,3,1,2,8,0
LGL-AS-0112,LG-AS-0112,4,2,1,1,2,2,1
LGL-BR-0113,LG-BR-0113,4,2,1,1,1,3,0
LGL-CG-0114,LG-CG-0114,12,7,3,2,4,8,0
LGL-GA-0115,LG-GA-0115,8,4,2,2,3,5,0
LGL-GJ-0116,LG-GJ-0116,19,11,5,3,12,7,1
LGL-HR-0117,LG-HR-0117,10,6,3,1,7,3,3
LGL-HP-0118,LG-HP-0118,6,3,1,2,1,5,0
LGL-JH-0119,LG-JH-0119,6,3,1,2,3,3,0
LGL-KA-0120,LG-KA-0120,26,15,7,4,16,10,2
LGL-KL-0121,LG-KL-0121,14,8,4,2,5,9,1
LGL-MP-0122,LG-MP-0122,16,9,4,3,15,1,1
LGL-MH-0123,LG-MH-0123,11,6,3,2,5,6,1
LGL-MN-0124,LG-MN-0124,32,19,9,4,24,8,6
LGL-ML-0125,LG-ML-0125,8,4,2,2,2,6,0
LGL-MZ-0126,LG-MZ-0126,8,4,2,2,1,7,0
LGL-NL-0127,LG-NL-0127,34,20,10,4,24,10,3
LGL-OD-0128,LG-OD-0128,7,4,2,1,0,7,0
LGL-PB-0129,LG-PB-0129,12,7,3,2,7,5,1
LGL-RJ-0130,LG-RJ-0130,4,2,1,1,2,2,0
LGL-SK-0131,LG-SK-0131,3,1,0,2,1,2,0
LGL-TN-0132,LG-TN-0132,6,3,1,2,0,6,0
LGL-TS-0133,LG-TS-0133,12,7,3,2,10,2,2
LGL-TR-0134,LG-TR-0134,18,10,5,3,14,4,1
LGL-UP-0135,LG-UP-0135,8,4,2,2,5,3,1
LGL-UK-0136,LG-UK-0136,9,5,2,2,2,7,0
LGL-WB-0137,LG-WB-0137,10,6,3,1,5,5,0
LGL-AN-0138,LG-AN-0138,9,5,2,2,6,3,0
LGL-CH-0139,LG-CH-0139,9,5,2,2,2,7,1
LGL-DH-0140,LG-DH-0140,9,5,2,2,7,2,0
LGL-DL-0141,LG-DL-0141,5,3,1,1,0,5,0
LGL-JK-0142,LG-JK-0142,3,1,0,2,0,3,0
LGL-LA-0143,LG-LA-0143,3,1,0,2,1,2,0
LGL-LD-0144,LG-LD-0144,18,10,5,3,17,1,2
LGL-PY-0145,LG-PY-0145,2,1,0,1,1,1,0
LGL-AP-0146,LG-AP-0146,30,18,9,3,27,3,8
LGL-AR-0147,LG-AR-0147,22,13,6,3,13,9,2
LGL-AS-0148,LG-AS-0148,10,6,3,1,3,7,0
LGL-BR-0149,LG-BR-0149,6,3,1,2,2,4,1
LGL-CG-0150,LG-CG-0150,5,3,1,1,3,2,1
LGL-GA-0151,LG-GA-0151,16,9,4,3,13,3,1
LGL-GJ-0152,LG-GJ-0152,12,7,3,2,7,5,1
LGL-HR-0153,LG-HR-0153,15,9,4,2,12,3,1
LGL-HP-0154,LG-HP-0154,15,9,4,2,10,5,3
LGL-JH-0155,LG-JH-0155,6,3,1,2,1,5,0
LGL-KA-0156,LG-KA-0156,7,4,2,1,3,4,0
LGL-KL-0157,LG-KL-0157,23,13,6,4,15,8,5
LGL-MP-0158,LG-MP-0158,8,4,2,2,2,6,0
LGL-MH-0159,LG-MH-0159,12,7,3,2,7,5,0
LGL-MN-0160,LG-MN-0160,45,27,13,5,35,10,7
LGL-ML-0161,LG-ML-0161,17,10,5,2,15,2,1
LGL-MZ-0162,LG-MZ-0162,13,7,3,3,6,7,1
LGL-NL-0163,LG-NL-0163,15,9,4,2,14,1,1
LGL-OD-0164,LG-OD-0164,16,9,4,3,6,10,0
LGL-PB-0165,LG-PB-0165,42,25,12,5,32,10,4
LGL-RJ-0166,LG-RJ-0166,14,8,4,2,8,6,2
LGL-SK-0167,LG-SK-0167,6,3,1,2,2,4,0
LGL-TN-0168,LG-TN-0168,24,14,7,3,15,9,1
LGL-TS-0169,LG-TS-0169,12,7,3,2,2,10,1
LGL-TR-0170,LG-TR-0170,13,7,3,3,3,10,1
LGL-UP-0171,LG-UP-0171,13,7,3,3,7,6,3
LGL-UK-0172,LG-UK-0172,5,3,1,1,2,3,0
LGL-WB-0173,LG-WB-0173,4,2,1,1,0,4,0
LGL-AN-0174,LG-AN-0174,12,7,3,2,2,10,0
LGL-CH-0175,LG-CH-0175,18,10,5,3,11,7,2
LGL-DH-0176,LG-DH-0176,17,10,5,2,9,8,1
LGL-DL-0177,LG-DL-0177,25,15,7,3,19,6,8
LGL-JK-0178,LG-JK-0178,14,8,4,2,6,8,1
LGL-LA-0179,LG-LA-0179,17,10,5,2,14,3,3
LGL-LD-0180,LG-LD-0180,9,5,2,2,0,9,0
LGL-PY-0181,LG-PY-0181,8,4,2,2,2,6,0
LGL-AP-0182,LG-AP-0182,3,1,0,2,0,3,0
LGL-AR-0183,LG-AR-0183,15,9,4,2,6,9,1
LGL-AS-0184,LG-AS-0184,11,6,3,2,1,10,0
LGL-BR-0185,LG-BR-0185,11,6,3,2,6,5,1
LGL-CG-0186,LG-CG-0186,8,4,2,2,0,8,0
LGL-GA-0187,LG-GA-0187,11,6,3,2,9,2,2
LGL-GJ-0188,LG-GJ-0188,22,13,6,3,12,10,3
LGL-HR-0189,LG-HR-0189,9,5,2,2,2,7,0
LGL-HP-0190,LG-HP-0190,10,6,3,1,2,8,0
LGL-JH-0191,LG-JH-0191,5,3,1,1,4,1,1
LGL-KA-0192,LG-KA-0192,1,0,0,1,0,1,0
LGL-KL-0193,LG-KL-0193,14,8,4,2,5,9,0
LGL-MP-0194,LG-MP-0194,21,12,6,3,14,7,1
LGL-MH-0195,LG-MH-0195,4,2,1,1,2,2,0
LGL-MN-0196,LG-MN-0196,32,19,9,4,25,7,5
LGL-ML-0197,LG-ML-0197,14,8,4,2,5,9,0
LGL-MZ-0198,LG-MZ-0198,6,3,1,2,0,6,0
LGL-NL-0199,LG-NL-0199,12,7,3,2,7,5,2
LGL-OD-0200,LG-OD-0200,14,8,4,2,7,7,1
LGL-PB-0201,LG-PB-0201,44,26,13,5,35,9,3
LGL-RJ-0202,LG-RJ-0202,23,13,6,4,19,4,5
LGL-SK-0203,LG-SK-0203,7,4,2,1,0,7,0
LGL-TN-0204,LG-TN-0204,10,6,3,1,0,10,0
LGL-TS-0205,LG-TS-0205,11,6,3,2,7,4,1
LGL-TR-0206,LG-TR-0206,1,0,0,1,0,1,0
LGL-UP-0207,LG-UP-0207,15,9,4,2,7,8,1
LGL-UK-0208,LG-UK-0208,9,5,2,2,2,7,0
LGL-WB-0209,LG-WB-0209,7,4,2,1,3,4,0
LGL-AN-0210,LG-AN-0210,2,1,0,1,0,2,0
LGL-CH-0211,LG-CH-0211,23,13,6,4,14,9,1
LGL-DH-0212,LG-DH-0212,25,15,7,3,15,10,2
LGL-DL-0213,LG-DL-0213,3,1,0,2,1,2,0
LGL-JK-0214,LG-JK-0214,7,4,2,1,2,5,0
LGL-LA-0215,LG-LA-0215,17,10,5,2,15,2,1
LGL-LD-0216,LG-LD-0216,3,1,0,2,0,3,0
LGL-PY-0217,LG-PY-0217,15,9,4,2,10,5,1
LGL-AP-0218,LG-AP-0218,2,1,0,1,1,1,0
LGL-AR-0219,LG-AR-0219,7,4,2,1,2,5,0
LGL-AS-0220,LG-AS-0220,7,4,2,1,5,2,1
LGL-BR-0221,LG-BR-0221,22,13,6,3,14,8,3
LGL-CG-0222,LG-CG-0222,22,13,6,3,16,6,7
LGL-GA-0223,LG-GA-0223,17,10,5,2,10,7,1
LGL-GJ-0224,LG-GJ-0224,11,6,3,2,1,10,0
LGL-HR-0225,LG-HR-0225,13,7,3,3,4,9,0
LGL-HP-0226,LG-HP-0226,23,13,6,4,13,10,3
LGL-JH-0227,LG-JH-0227,6,3,1,2,0,6,0
LGL-KA-0228,LG-KA-0228,16,9,4,3,8,8,1
LGL-KL-0229,LG-KL-0229,8,4,2,2,1,7,0
LGL-MP-0230,LG-MP-0230,11,6,3,2,6,5,0
LGL-MH-0231,LG-MH-0231,13,7,3,3,7,6,0
LGL-MN-0232,LG-MN-0232,16,9,4,3,6,10,1
LGL-ML-0233,LG-ML-0233,13,7,3,3,5,8,1
LGL-MZ-0234,LG-MZ-0234,10,6,3,1,2,8,0
LGL-NL-0235,LG-NL-0235,9,5,2,2,0,9,0
LGL-OD-0236,LG-OD-0236,9,5,2,2,2,7,0
LGL-PB-0237,LG-PB-0237,23,13,6,4,15,8,1
LGL-RJ-0238,LG-RJ-0238,2,1,0,1,0,2,0
LGL-SK-0239,LG-SK-0239,1,0,0,1,0,1,0
LGL-TN-0240,LG-TN-0240,9,5,2,2,5,4,1
LGL-TS-0241,LG-TS-0241,17,10,5,2,9,8,2
LGL-TR-0242,LG-TR-0242,10,6,3,1,9,1,1
LGL-UP-0243,LG-UP-0243,10,6,3,1,0,10,0
LGL-UK-0244,LG-UK-0244,8,4,2,2,2,6,0
LGL-WB-0245,LG-WB-0245,32,19,9,4,27,5,7
LGL-AN-0246,LG-AN-0246,9,5,2,2,7,2,1
LGL-CH-0247,LG-CH-0247,8,4,2,2,2,6,0
LGL-DH-0248,LG-DH-0248,16,9,4,3,13,3,1
LGL-DL-0249,LG-DL-0249,13,7,3,3,4,9,0
LGL-JK-0250,LG-JK-0250,4,2,1,1,0,4,0
LGL-LA-0251,LG-LA-0251,13,7,3,3,5,8,1
LGL-LD-0252,LG-LD-0252,34,20,10,4,24,10,2
LGL-PY-0253,LG-PY-0253,10,6,3,1,2,8,1
LGL-AP-0254,LG-AP-0254,8,4,2,2,2,6,0
LGL-AR-0255,LG-AR-0255,19,11,5,3,11,8,1
LGL-AS-0256,LG-AS-0256,8,4,2,2,5,3,1
LGL-BR-0257,LG-BR-0257,7,4,2,1,4,3,0
LGL-CG-0258,LG-CG-0258,2,1,0,1,0,2,0
LGL-GA-0259,LG-GA-0259,16,9,4,3,14,2,1
LGL-GJ-0260,LG-GJ-0260,40,24,12,4,33,7,5
LGL-HR-0261,LG-HR-0261,20,12,6,2,12,8,2
LGL-HP-0262,LG-HP-0262,14,8,4,2,6,8,0
LGL-JH-0263,LG-JH-0263,13,7,3,3,4,9,0
LGL-KA-0264,LG-KA-0264,8,4,2,2,2,6,0
LGL-KL-0265,LG-KL-0265,16,9,4,3,6,10,1
LGL-MP-0266,LG-MP-0266,12,7,3,2,2,10,0
LGL-MH-0267,LG-MH-0267,14,8,4,2,6,8,1
LGL-MN-0268,LG-MN-0268,15,9,4,2,12,3,2
LGL-ML-0269,LG-ML-0269,20,12,6,2,13,7,1
LGL-MZ-0270,LG-MZ-0270,13,7,3,3,11,2,2
LGL-NL-0271,LG-NL-0271,18,10,5,3,11,7,2
LGL-OD-0272,LG-OD-0272,7,4,2,1,0,7,0
LGL-PB-0273,LG-PB-0273,5,3,1,1,2,3,0
LGL-RJ-0274,LG-RJ-0274,20,12,6,2,13,7,3
LGL-SK-0275,LG-SK-0275,11,6,3,2,1,10,0
LGL-TN-0276,LG-TN-0276,12,7,3,2,9,3,3
LGL-TS-0277,LG-TS-0277,20,12,6,2,10,10,1
LGL-TR-0278,LG-TR-0278,27,16,8,3,22,5,7
LGL-UP-0279,LG-UP-0279,13,7,3,3,6,7,1
LGL-UK-0280,LG-UK-0280,11,6,3,2,1,10,0
LGL-WB-0281,LG-WB-0281,3,1,0,2,2,1,0
LGL-AN-0282,LG-AN-0282,24,14,7,3,17,7,3
LGL-CH-0283,LG-CH-0283,8,4,2,2,1,7,0
LGL-DH-0284,LG-DH-0284,11,6,3,2,4,7,0
LGL-DL-0285,LG-DL-0285,4,2,1,1,1,3,0
LGL-JK-0286,LG-JK-0286,17,10,5,2,15,2,3
LGL-LA-0287,LG-LA-0287,9,5,2,2,1,8,0
LGL-LD-0288,LG-LD-0288,19,11,5,3,10,9,1
LGL-PY-0289,LG-PY-0289,9,5,2,2,1,8,0
LGL-AP-0290,LG-AP-0290,18,10,5,3,9,9,1
LGL-AR-0291,LG-AR-0291,4,2,1,1,2,2,1
LGL-AS-0292,LG-AS-0292,19,11,5,3,11,8,1
LGL-BR-0293,LG-BR-0293,22,13,6,3,13,9,3
LGL-CG-0294,LG-CG-0294,22,13,6,3,21,1,5
LGL-GA-0295,LG-GA-0295,11,6,3,2,2,9,0
LGL-GJ-0296,LG-GJ-0296,6,3,1,2,2,4,0
LGL-HR-0297,LG-HR-0297,6,3,1,2,0,6,0
LGL-HP-0298,LG-HP-0298,13,7,3,3,6,7,0
LGL-JH-0299,LG-JH-0299,14,8,4,2,4,10,0
LGL-KA-0300,LG-KA-0300,12,7,3,2,9,3,2
LGL-KL-0301,LG-KL-0301,42,25,12,5,34,8,8
LGL-MP-0302,LG-MP-0302,14,8,4,2,8,6,1
LGL-MH-0303,LG-MH-0303,39,23,11,5,29,10,5
LGL-MN-0304,LG-MN-0304,26,15,7,4,25,1,6
LGL-ML-0305,LG-ML-0305,11,6,3,2,3,8,1
LGL-MZ-0306,LG-MZ-0306,21,12,6,3,13,8,2
LGL-NL-0307,LG-NL-0307,23,13,6,4,15,8,3
LGL-OD-0308,LG-OD-0308,1,0,0,1,0,1,0
LGL-PB-0309,LG-PB-0309,13,7,3,3,3,10,0
LGL-RJ-0310,LG-RJ-0310,11,6,3,2,9,2,1
LGL-SK-0311,LG-SK-0311,17,10,5,2,7,10,0
LGL-TN-0312,LG-TN-0312,10,6,3,1,2,8,0
LGL-TS-0313,LG-TS-0313,10,6,3,1,6,4,0
LGL-TR-0314,LG-TR-0314,5,3,1,1,1,4,0
LGL-UP-0315,LG-UP-0315,13,7,3,3,7,6,1
LGL-UK-0316,LG-UK-0316,5,3,1,1,2,3,0
LGL-WB-0317,LG-WB-0317,8,4,2,2,0,8,0
LGL-AN-0318,LG-AN-0318,13,7,3,3,6,7,0
LGL-CH-0319,LG-CH-0319,13,7,3,3,4,9,1
LGL-DH-0320,LG-DH-0320,8,4,2,2,2,6,0
LGL-DL-0321,LG-DL-0321,14,8,4,2,5,9,1
LGL-JK-0322,LG-JK-0322,19,11,5,3,15,4,1
LGL-LA-0323,LG-LA-0323,7,4,2,1,1,6,0
LGL-LD-0324,LG-LD-0324,16,9,4,3,13,3,1
LGL-PY-0325,LG-PY-0325,18,10,5,3,15,3,1
LGL-AP-0326,LG-AP-0326,23,13,6,4,14,9,8
LGL-AR-0327,LG-AR-0327,32,19,9,4,27,5,5
LGL-AS-0328,LG-AS-0328,5,3,1,1,0,5,0
LGL-BR-0329,LG-BR-0329,11,6,3,2,7,4,3
LGL-CG-0330,LG-CG-0330,10,6,3,1,2,8,0
LGL-GA-0331,LG-GA-0331,11,6,3,2,1,10,0
LGL-GJ-0332,LG-GJ-0332,42,25,12,5,35,7,4
LGL-HR-0333,LG-HR-0333,9,5,2,2,6,3,1
LGL-HP-0334,LG-HP-0334,9,5,2,2,1,8,0
LGL-JH-0335,LG-JH-0335,7,4,2,1,0,7,0
LGL-KA-0336,LG-KA-0336,14,8,4,2,13,1,3
LGL-KL-0337,LG-KL-0337,15,9,4,2,6,9,0
LGL-MP-0338,LG-MP-0338,16,9,4,3,13,3,1
LGL-MH-0339,LG-MH-0339,37,22,11,4,31,6,2
LGL-MN-0340,LG-MN-0340,11,6,3,2,5,6,1
LGL-ML-0341,LG-ML-0341,13,7,3,3,7,6,0
LGL-MZ-0342,LG-MZ-0342,37,22,11,4,35,2,5
LGL-NL-0343,LG-NL-0343,5,3,1,1,0,5,0
LGL-OD-0344,LG-OD-0344,15,9,4,2,5,10,1
LGL-PB-0345,LG-PB-0345,20,12,6,2,15,5,3
LGL-RJ-0346,LG-RJ-0346,8,4,2,2,5,3,0
LGL-SK-0347,LG-SK-0347,13,7,3,3,3,10,1
LGL-TN-0348,LG-TN-0348,23,13,6,4,13,10,2
LGL-TS-0349,LG-TS-0349,3,1,0,2,1,2,0
LGL-TR-0350,LG-TR-0350,15,9,4,2,6,9,0
LGL-UP-0351,LG-UP-0351,7,4,2,1,6,1,1
LGL-UK-0352,LG-UK-0352,12,7,3,2,2,10,0
LGL-WB-0353,LG-WB-0353,41,24,12,5,32,9,7
LGL-AN-0354,LG-AN-0354,6,3,1,2,4,2,0
LGL-CH-0355,LG-CH-0355,12,7,3,2,7,5,1
LGL-DH-0356,LG-DH-0356,23,13,6,4,21,2,7
LGL-DL-0357,LG-DL-0357,13,7,3,3,7,6,0
LGL-JK-0358,LG-JK-0358,11,6,3,2,7,4,0
LGL-LA-0359,LG-LA-0359,11,6,3,2,2,9,0
LGL-LD-0360,LG-LD-0360,5,3,1,1,0,5,0
LGL-PY-0361,LG-PY-0361,13,7,3,3,12,1,3
LGL-AP-0362,LG-AP-0362,6,3,1,2,2,4,0
LGL-AR-0363,LG-AR-0363,7,4,2,1,3,4,1
LGL-AS-0364,LG-AS-0364,6,3,1,2,1,5,0
LGL-BR-0365,LG-BR-0365,4,2,1,1,0,4,0
LGL-CG-0366,LG-CG-0366,37,22,11,4,34,3,2
LGL-GA-0367,LG-GA-0367,12,7,3,2,3,9,0
LGL-GJ-0368,LG-GJ-0368,6,3,1,2,0,6,0
LGL-HR-0369,LG-HR-0369,12,7,3,2,2,10,0
LGL-HP-0370,LG-HP-0370,6,3,1,2,3,3,0
LGL-JH-0371,LG-JH-0371,13,7,3,3,7,6,0
LGL-KA-0372,LG-KA-0372,2,1,0,1,1,1,0
LGL-KL-0373,LG-KL-0373,7,4,2,1,0,7,0
LGL-MP-0374,LG-MP-0374,18,10,5,3,13,5,3
LGL-MH-0375,LG-MH-0375,19,11,5,3,12,7,3
LGL-MN-0376,LG-MN-0376,14,8,4,2,10,4,2
LGL-ML-0377,LG-ML-0377,3,1,0,2,0,3,0
LGL-MZ-0378,LG-MZ-0378,8,4,2,2,1,7,0
LGL-NL-0379,LG-NL-0379,13,7,3,3,11,2,3
LGL-OD-0380,LG-OD-0380,9,5,2,2,4,5,0
LGL-PB-0381,LG-PB-0381,7,4,2,1,5,2,1
LGL-RJ-0382,LG-RJ-0382,12,7,3,2,9,3,3
LGL-SK-0383,LG-SK-0383,31,18,9,4,26,5,7
LGL-TN-0384,LG-TN-0384,11,6,3,2,3,8,0
LGL-TS-0385,LG-TS-0385,14,8,4,2,6,8,1
LGL-TR-0386,LG-TR-0386,18,10,5,3,10,8,2
LGL-UP-0387,LG-UP-0387,11,6,3,2,5,6,1
LGL-UK-0388,LG-UK-0388,6,3,1,2,2,4,0
LGL-WB-0389,LG-WB-0389,10,6,3,1,3,7,1
LGL-AN-0390,LG-AN-0390,2,1,0,1,0,2,0
LGL-CH-0391,LG-CH-0391,16,9,4,3,7,9,0
LGL-DH-0392,LG-DH-0392,34,20,10,4,24,10,4
LGL-DL-0393,LG-DL-0393,10,6,3,1,6,4,1
LGL-JK-0394,LG-JK-0394,11,6,3,2,7,4,1
LGL-LA-0395,LG-LA-0395,12,7,3,2,2,10,0
LGL-LD-0396,LG-LD-0396,10,6,3,1,3,7,1
LGL-PY-0397,LG-PY-0397,12,7,3,2,4,8,1
LGL-AP-0398,LG-AP-0398,4,2,1,1,0,4,0
LGL-AR-0399,LG-AR-0399,12,7,3,2,5,7,1
LGL-AS-0400,LG-AS-0400,9,5,2,2,2,7,0
LGL-BR-0401,LG-BR-0401,13,7,3,3,9,4,1
LGL-CG-0402,LG-CG-0402,16,9,4,3,7,9,1
LGL-GA-0403,LG-GA-0403,6,3,1,2,2,4,1
LGL-GJ-0404,LG-GJ-0404,10,6,3,1,8,2,3
LGL-HR-0405,LG-HR-0405,7,4,2,1,4,3,1
LGL-HP-0406,LG-HP-0406,7,4,2,1,2,5,0
LGL-JH-0407,LG-JH-0407,1,0,0,1,0,1,0
LGL-KA-0408,LG-KA-0408,20,12,6,2,14,6,1
LGL-KL-0409,LG-KL-0409,16,9,4,3,9,7,3
LGL-MP-0410,LG-MP-0410,3,1,0,2,2,1,0
LGL-MH-0411,LG-MH-0411,7,4,2,1,1,6,0
LGL-MN-0412,LG-MN-0412,11,6,3,2,4,7,1
LGL-ML-0413,LG-ML-0413,28,16,8,4,25,3,5
LGL-MZ-0414,LG-MZ-0414,17,10,5,2,7,10,2
LGL-NL-0415,LG-NL-0415,16,9,4,3,15,1,1
LGL-OD-0416,LG-OD-0416,21,12,6,3,14,7,1
LGL-PB-0417,LG-PB-0417,12,7,3,2,3,9,1
LGL-RJ-0418,LG-RJ-0418,16,9,4,3,7,9,3
