rr_id,project_id,families_eligible,families_rehabilitated,families_pending,site_readiness_percentage,grant_disbursed_cr
RR-UP-0063,LG-UP-0063,739,561,178,76.0,144.07
RR-UK-0064,LG-UK-0064,166,34,132,20.9,5.62
RR-WB-0065,LG-WB-0065,1977,1196,781,60.5,148.32
RR-AN-0066,LG-AN-0066,445,330,115,74.2,52.47
RR-CH-0067,LG-CH-0067,138,64,74,46.6,10.3
RR-DH-0068,LG-DH-0068,1818,232,1586,12.8,15.38
RR-DL-0069,LG-DL-0069,1629,1074,555,65.9,137.0
RR-JK-0070,LG-JK-0070,1460,948,512,65.0,90.3
RR-LA-0071,LG-LA-0071,356,276,80,77.6,47.86
RR-LD-0072,LG-LD-0072,141,50,91,36.1,22.86
RR-PY-0073,LG-PY-0073,980,744,236,75.9,113.88
RR-AP-0074,LG-AP-0074,1068,747,321,70.0,194.44
RR-AR-0075,LG-AR-0075,1843,1452,391,78.8,199.69
RR-AS-0076,LG-AS-0076,2446,852,1594,34.8,65.6
RR-BR-0077,LG-BR-0077,1004,296,708,29.5,45.18
RR-CG-0078,LG-CG-0078,926,793,133,85.7,267.73
RR-GA-0079,LG-GA-0079,50,30,20,61.7,6.84
RR-GJ-0080,LG-GJ-0080,1525,1125,400,73.8,68.21
RR-HR-0081,LG-HR-0081,1748,1338,410,76.6,214.71
RR-HP-0082,LG-HP-0082,251,92,159,36.8,15.87
RR-JH-0083,LG-JH-0083,1599,630,969,39.5,159.11
RR-KA-0084,LG-KA-0084,492,197,295,40.2,49.72
RR-KL-0085,LG-KL-0085,1963,1657,306,84.4,208.79
RR-MP-0086,LG-MP-0086,598,474,124,79.4,93.86
RR-MH-0087,LG-MH-0087,1028,809,219,78.7,237.64
RR-MN-0088,LG-MN-0088,526,87,439,16.6,6.13
RR-ML-0089,LG-ML-0089,1420,562,858,39.6,106.34
RR-MZ-0090,LG-MZ-0090,416,147,269,35.4,26.17
RR-NL-0091,LG-NL-0091,463,184,279,39.8,26.57
RR-OD-0092,LG-OD-0092,2527,2476,51,98.0,355.2
RR-PB-0093,LG-PB-0093,956,416,540,43.5,57.34
RR-RJ-0094,LG-RJ-0094,1098,738,360,67.2,65.16
RR-SK-0095,LG-SK-0095,351,344,7,98.1,75.39
RR-TN-0096,LG-TN-0096,787,621,166,79.0,103.75
RR-TS-0097,LG-TS-0097,1362,1071,291,78.6,202.56
RR-TR-0098,LG-TR-0098,223,202,21,90.7,21.56
RR-UP-0099,LG-UP-0099,1259,1137,122,90.4,220.36
RR-UK-0100,LG-UK-0100,1997,1325,672,66.4,119.55
RR-WB-0101,LG-WB-0101,745,488,257,65.6,97.55
RR-AN-0102,LG-AN-0102,912,346,566,37.9,69.65
RR-CH-0103,LG-CH-0103,532,133,399,25.2,31.72
RR-DH-0104,LG-DH-0104,561,335,226,59.7,120.7
RR-DL-0105,LG-DL-0105,543,387,156,71.4,62.94
RR-JK-0106,LG-JK-0106,741,500,241,67.5,99.66
RR-LA-0107,LG-LA-0107,1489,275,1214,18.5,43.8
RR-LD-0108,LG-LD-0108,1393,905,488,65.0,132.49
RR-PY-0109,LG-PY-0109,67,64,3,96.1,12.14
RR-AP-0110,LG-AP-0110,693,409,284,59.1,124.55
RR-AR-0111,LG-AR-0111,1065,849,216,79.7,241.96
RR-AS-0112,LG-AS-0112,1117,687,430,61.6,76.4
RR-BR-0113,LG-BR-0113,984,974,10,99.1,161.13
RR-CG-0114,LG-CG-0114,1470,1144,326,77.9,141.85
RR-GA-0115,LG-GA-0115,565,429,136,76.1,48.88
RR-GJ-0116,LG-GJ-0116,987,402,585,40.8,69.9
RR-HR-0117,LG-HR-0117,688,257,431,37.4,108.05
RR-HP-0118,LG-HP-0118,451,371,80,82.4,46.04
RR-JH-0119,LG-JH-0119,1248,986,262,79.0,121.9
RR-KA-0120,LG-KA-0120,1980,735,1245,37.2,76.63
RR-KL-0121,LG-KL-0121,269,164,105,61.2,56.17
RR-MP-0122,LG-MP-0122,462,274,188,59.3,41.35
RR-MH-0123,LG-MH-0123,1879,1193,686,63.5,56.35
RR-MN-0124,LG-MN-0124,85,11,74,13.0,1.95
RR-ML-0125,LG-ML-0125,1736,1524,212,87.8,205.31
RR-MZ-0126,LG-MZ-0126,1876,1597,279,85.1,178.66
RR-NL-0127,LG-NL-0127,164,52,112,32.0,11.44
RR-OD-0128,LG-OD-0128,108,94,14,87.9,15.16
RR-PB-0129,LG-PB-0129,263,167,96,63.7,45.93
RR-RJ-0130,LG-RJ-0130,1733,1624,109,93.7,224.74
RR-SK-0131,LG-SK-0131,1672,1405,267,84.0,124.91
RR-TN-0132,LG-TN-0132,1701,1675,26,98.5,188.2
RR-TS-0133,LG-TS-0133,888,315,573,35.5,34.71
RR-TR-0134,LG-TR-0134,582,213,369,36.6,91.69
RR-UP-0135,LG-UP-0135,1560,1043,517,66.9,78.44
RR-UK-0136,LG-UK-0136,2537,2438,99,96.1,216.72
RR-WB-0137,LG-WB-0137,81,54,27,66.7,6.96
RR-AN-0138,LG-AN-0138,1630,1089,541,66.9,200.62
RR-CH-0139,LG-CH-0139,826,504,322,61.1,159.19
RR-DH-0140,LG-DH-0140,2724,1636,1088,60.1,88.02
RR-DL-0141,LG-DL-0141,1300,1220,80,93.9,204.47
RR-JK-0142,LG-JK-0142,2661,2250,411,84.6,304.31
RR-LA-0143,LG-LA-0143,516,461,55,89.5,205.91
RR-LD-0144,LG-LD-0144,130,34,96,26.4,5.83
RR-PY-0145,LG-PY-0145,1994,1738,256,87.2,339.86
RR-AP-0146,LG-AP-0146,844,191,653,22.7,32.27
RR-AR-0147,LG-AR-0147,1665,297,1368,17.8,55.52
RR-AS-0148,LG-AS-0148,1689,1267,422,75.0,74.83
RR-BR-0149,LG-BR-0149,465,361,104,77.8,114.24
RR-CG-0150,LG-CG-0150,323,202,121,62.8,17.81
RR-GA-0151,LG-GA-0151,2444,1179,1265,48.3,161.51
RR-GJ-0152,LG-GJ-0152,2754,2116,638,76.9,144.86
RR-HR-0153,LG-HR-0153,1542,741,801,48.1,153.88
RR-HP-0154,LG-HP-0154,656,338,318,51.6,62.89
RR-JH-0155,LG-JH-0155,2279,1841,438,80.8,100.86
RR-KA-0156,LG-KA-0156,1678,1181,497,70.4,110.49
RR-KL-0157,LG-KL-0157,202,35,167,17.7,7.42
RR-MP-0158,LG-MP-0158,2420,1712,708,70.8,214.34
RR-MH-0159,LG-MH-0159,1521,1142,379,75.1,162.16
RR-MN-0160,LG-MN-0160,215,45,170,21.2,13.54
RR-ML-0161,LG-ML-0161,935,526,409,56.3,36.86
RR-MZ-0162,LG-MZ-0162,253,192,61,76.2,18.63
RR-NL-0163,LG-NL-0163,534,222,312,41.6,24.62
RR-OD-0164,LG-OD-0164,474,347,127,73.3,96.34
RR-PB-0165,LG-PB-0165,562,73,489,13.1,11.99
RR-RJ-0166,LG-RJ-0166,1085,424,661,39.1,33.34
RR-SK-0167,LG-SK-0167,252,154,98,61.1,14.89
RR-TN-0168,LG-TN-0168,2073,844,1229,40.7,105.0
RR-TS-0169,LG-TS-0169,248,160,88,64.6,20.28
RR-TR-0170,LG-TR-0170,1196,815,381,68.2,42.1
RR-UP-0171,LG-UP-0171,391,159,232,40.7,34.48
RR-UK-0172,LG-UK-0172,1603,1492,111,93.1,151.0
RR-WB-0173,LG-WB-0173,111,90,21,81.7,7.71
RR-AN-0174,LG-AN-0174,1322,1076,246,81.4,130.07
RR-CH-0175,LG-CH-0175,2416,1422,994,58.9,98.96
RR-DH-0176,LG-DH-0176,2168,1212,956,55.9,142.29
RR-DL-0177,LG-DL-0177,1490,406,1084,27.3,53.94
RR-JK-0178,LG-JK-0178,1091,734,357,67.3,101.74
RR-LA-0179,LG-LA-0179,1510,800,710,53.0,110.68
RR-LD-0180,LG-LD-0180,751,687,64,91.5,63.97
RR-PY-0181,LG-PY-0181,1839,1578,261,85.8,170.49
RR-AP-0182,LG-AP-0182,2190,2089,101,95.4,140.47
RR-AR-0183,LG-AR-0183,607,380,227,62.7,74.11
RR-AS-0184,LG-AS-0184,466,461,5,98.9,116.03
RR-BR-0185,LG-BR-0185,433,284,149,65.7,26.92
RR-CG-0186,LG-CG-0186,33,26,7,81.8,5.19
RR-GA-0187,LG-GA-0187,459,249,210,54.3,24.62
RR-GJ-0188,LG-GJ-0188,586,198,388,33.8,36.26
RR-HR-0189,LG-HR-0189,1046,729,317,69.8,172.08
RR-HP-0190,LG-HP-0190,1022,850,172,83.2,130.17
RR-JH-0191,LG-JH-0191,1621,1180,441,72.8,122.1
RR-KA-0192,LG-KA-0192,1246,1113,133,89.4,106.98
RR-KL-0193,LG-KL-0193,1422,1071,351,75.3,152.78
RR-MP-0194,LG-MP-0194,1673,742,931,44.4,59.34
RR-MH-0195,LG-MH-0195,392,271,121,69.2,23.35
RR-MN-0196,LG-MN-0196,860,326,534,37.9,67.35
RR-ML-0197,LG-ML-0197,166,103,63,62.6,10.9
RR-MZ-0198,LG-MZ-0198,347,299,48,86.4,73.67
RR-NL-0199,LG-NL-0199,2035,941,1094,46.3,41.76
RR-OD-0200,LG-OD-0200,239,175,64,73.3,66.37
RR-PB-0201,LG-PB-0201,628,66,562,10.6,7.72
RR-RJ-0202,LG-RJ-0202,366,62,304,17.2,6.07
RR-SK-0203,LG-SK-0203,2933,2532,401,86.4,356.75
RR-TN-0204,LG-TN-0204,775,655,120,84.6,236.91
RR-TS-0205,LG-TS-0205,127,73,54,58.2,5.74
RR-TR-0206,LG-TR-0206,1498,1353,145,90.4,155.18
RR-UP-0207,LG-UP-0207,924,503,421,54.5,64.89
RR-UK-0208,LG-UK-0208,611,575,36,94.1,92.04
RR-WB-0209,LG-WB-0209,669,484,185,72.5,194.21
RR-AN-0210,LG-AN-0210,1216,1180,36,97.1,323.54
RR-CH-0211,LG-CH-0211,1177,498,679,42.3,114.73
RR-DH-0212,LG-DH-0212,1540,895,645,58.2,143.7
RR-DL-0213,LG-DL-0213,2408,2306,102,95.8,163.71
RR-JK-0214,LG-JK-0214,519,508,11,97.9,137.81
RR-LA-0215,LG-LA-0215,1339,758,581,56.6,237.28
RR-LD-0216,LG-LD-0216,327,283,44,86.8,46.07
RR-PY-0217,LG-PY-0217,275,135,140,49.4,63.3
RR-AP-0218,LG-AP-0218,342,310,32,90.8,29.85
RR-AR-0219,LG-AR-0219,906,748,158,82.6,175.63
RR-AS-0220,LG-AS-0220,939,722,217,76.9,113.87
RR-BR-0221,LG-BR-0221,1638,670,968,40.9,48.98
RR-CG-0222,LG-CG-0222,750,108,642,14.5,8.56
RR-GA-0223,LG-GA-0223,2269,927,1342,40.9,140.54
RR-GJ-0224,LG-GJ-0224,512,509,3,99.5,24.76
RR-HR-0225,LG-HR-0225,426,338,88,79.6,62.03
RR-HP-0226,LG-HP-0226,1355,722,633,53.3,113.03
RR-JH-0227,LG-JH-0227,281,266,15,94.8,110.59
RR-KA-0228,LG-KA-0228,2880,1423,1457,49.4,183.66
RR-KL-0229,LG-KL-0229,1122,1113,9,99.2,191.01
RR-MP-0230,LG-MP-0230,1894,1391,503,73.5,170.63
RR-MH-0231,LG-MH-0231,728,473,255,65.1,66.82
RR-MN-0232,LG-MN-0232,704,453,251,64.4,21.7
RR-ML-0233,LG-ML-0233,905,695,210,76.9,209.19
RR-MZ-0234,LG-MZ-0234,1583,1326,257,83.8,116.32
RR-NL-0235,LG-NL-0235,160,140,20,88.1,20.18
RR-OD-0236,LG-OD-0236,569,397,172,69.9,56.54
RR-PB-0237,LG-PB-0237,904,346,558,38.3,34.04
RR-RJ-0238,LG-RJ-0238,1771,1633,138,92.2,92.14
RR-SK-0239,LG-SK-0239,2570,2408,162,93.7,208.16
RR-TN-0240,LG-TN-0240,106,72,34,68.4,12.82
RR-TS-0241,LG-TS-0241,459,175,284,38.2,14.27
RR-TR-0242,LG-TR-0242,280,120,160,43.2,19.73
RR-UP-0243,LG-UP-0243,598,480,118,80.3,38.78
RR-UK-0244,LG-UK-0244,534,485,49,90.8,148.26
RR-WB-0245,LG-WB-0245,837,319,518,38.2,41.86
RR-AN-0246,LG-AN-0246,1628,932,696,57.3,81.45
RR-CH-0247,LG-CH-0247,900,696,204,77.4,34.4
RR-DH-0248,LG-DH-0248,1296,654,642,50.5,80.21
RR-DL-0249,LG-DL-0249,404,316,88,78.4,32.59
RR-JK-0250,LG-JK-0250,352,312,40,88.9,35.53
RR-LA-0251,LG-LA-0251,308,185,123,60.2,53.07
RR-LD-0252,LG-LD-0252,324,33,291,10.2,2.72
RR-PY-0253,LG-PY-0253,1217,831,386,68.3,126.48
RR-AP-0254,LG-AP-0254,2525,2088,437,82.7,280.06
RR-AR-0255,LG-AR-0255,1613,780,833,48.4,77.72
RR-AS-0256,LG-AS-0256,1205,764,441,63.4,39.27
RR-BR-0257,LG-BR-0257,70,42,28,61.3,3.92
RR-CG-0258,LG-CG-0258,332,313,19,94.3,30.38
RR-GA-0259,LG-GA-0259,2478,1174,1304,47.4,108.66
RR-GJ-0260,LG-GJ-0260,790,238,552,30.2,27.79
RR-HR-0261,LG-HR-0261,1796,842,954,46.9,108.28
RR-HP-0262,LG-HP-0262,1945,1462,483,75.2,60.92
RR-JH-0263,LG-JH-0263,2705,1888,817,69.8,174.31
RR-KA-0264,LG-KA-0264,964,883,81,91.7,119.2
RR-KL-0265,LG-KL-0265,818,534,284,65.3,127.5
RR-MP-0266,LG-MP-0266,975,858,117,88.0,146.73
RR-MH-0267,LG-MH-0267,1772,1301,471,73.4,218.1
RR-MN-0268,LG-MN-0268,620,344,276,55.6,54.68
RR-ML-0269,LG-ML-0269,544,197,347,36.4,34.75
RR-MZ-0270,LG-MZ-0270,1390,775,615,55.8,122.92
RR-NL-0271,LG-NL-0271,708,251,457,35.5,65.25
RR-OD-0272,LG-OD-0272,1120,1088,32,97.2,167.49
RR-PB-0273,LG-PB-0273,1968,1864,104,94.8,259.14
RR-RJ-0274,LG-RJ-0274,333,127,206,38.3,25.47
RR-SK-0275,LG-SK-0275,2683,2478,205,92.4,273.06
RR-TN-0276,LG-TN-0276,289,116,173,40.4,36.3
RR-TS-0277,LG-TS-0277,31,11,20,37.4,3.76
RR-TR-0278,LG-TR-0278,1946,504,1442,25.9,47.15
RR-UP-0279,LG-UP-0279,501,193,308,38.7,46.0
RR-UK-0280,LG-UK-0280,308,281,27,91.3,25.91
RR-WB-0281,LG-WB-0281,883,791,92,89.6,60.48
RR-AN-0282,LG-AN-0282,2211,861,1350,39.0,124.6
RR-CH-0283,LG-CH-0283,1909,1742,167,91.3,109.46
RR-DH-0284,LG-DH-0284,1184,834,350,70.5,97.58
RR-DL-0285,LG-DL-0285,608,557,51,91.7,181.77
RR-JK-0286,LG-JK-0286,414,195,219,47.2,40.51
RR-LA-0287,LG-LA-0287,497,439,58,88.4,49.18
RR-LD-0288,LG-LD-0288,340,160,180,47.2,40.25
RR-PY-0289,LG-PY-0289,289,244,45,84.6,28.63
RR-AP-0290,LG-AP-0290,2039,1022,1017,50.1,124.31
RR-AR-0291,LG-AR-0291,1224,953,271,77.9,111.5
RR-AS-0292,LG-AS-0292,1007,383,624,38.1,86.54
RR-BR-0293,LG-BR-0293,829,454,375,54.9,97.4
RR-CG-0294,LG-CG-0294,1707,376,1331,22.1,68.19
RR-GA-0295,LG-GA-0295,2232,2178,54,97.6,144.69
RR-GJ-0296,LG-GJ-0296,1198,1183,15,98.8,223.4
RR-HR-0297,LG-HR-0297,691,565,126,81.8,128.46
RR-HP-0298,LG-HP-0298,1244,919,325,73.9,147.43
RR-JH-0299,LG-JH-0299,1419,903,516,63.7,231.6
RR-KA-0300,LG-KA-0300,919,399,520,43.5,56.29
RR-KL-0301,LG-KL-0301,1421,520,901,36.6,89.16
RR-MP-0302,LG-MP-0302,322,162,160,50.4,10.8
RR-MH-0303,LG-MH-0303,533,63,470,12.0,6.96
RR-MN-0304,LG-MN-0304,222,52,170,23.6,10.27
RR-ML-0305,LG-ML-0305,1126,873,253,77.6,160.86
RR-MZ-0306,LG-MZ-0306,962,466,496,48.5,135.53
RR-NL-0307,LG-NL-0307,1352,575,777,42.6,35.23
RR-OD-0308,LG-OD-0308,221,188,33,85.2,52.1
RR-PB-0309,LG-PB-0309,1326,869,457,65.6,95.9
RR-RJ-0310,LG-RJ-0310,700,327,373,46.8,39.83
RR-SK-0311,LG-SK-0311,868,617,251,71.2,33.3
RR-TN-0312,LG-TN-0312,1493,1430,63,95.8,173.03
RR-TS-0313,LG-TS-0313,890,544,346,61.1,29.76
RR-TR-0314,LG-TR-0314,1730,1459,271,84.4,145.11
RR-UP-0315,LG-UP-0315,1075,654,421,60.9,25.94
RR-UK-0316,LG-UK-0316,986,981,5,99.5,162.03
RR-WB-0317,LG-WB-0317,1590,1542,48,97.0,148.48
RR-AN-0318,LG-AN-0318,609,390,219,64.1,94.03
RR-CH-0319,LG-CH-0319,206,124,82,60.5,31.72
RR-DH-0320,LG-DH-0320,317,300,17,94.8,75.67
RR-DL-0321,LG-DL-0321,1095,830,265,75.8,112.48
RR-JK-0322,LG-JK-0322,2139,1052,1087,49.2,96.71
RR-LA-0323,LG-LA-0323,109,93,16,85.7,10.57
RR-LD-0324,LG-LD-0324,996,498,498,50.1,115.45
RR-PY-0325,LG-PY-0325,396,179,217,45.4,68.34
RR-AP-0326,LG-AP-0326,606,79,527,13.2,35.83
RR-AR-0327,LG-AR-0327,2009,242,1767,12.0,9.38
RR-AS-0328,LG-AS-0328,237,210,27,88.8,12.95
RR-BR-0329,LG-BR-0329,1092,428,664,39.2,39.06
RR-CG-0330,LG-CG-0330,264,230,34,87.4,30.63
RR-GA-0331,LG-GA-0331,752,659,93,87.6,62.76
RR-GJ-0332,LG-GJ-0332,548,76,472,14.0,9.17
RR-HR-0333,LG-HR-0333,2040,1157,883,56.7,171.15
RR-HP-0334,LG-HP-0334,298,262,36,88.0,44.91
RR-JH-0335,LG-JH-0335,488,479,9,98.3,60.64
RR-KA-0336,LG-KA-0336,1022,533,489,52.2,80.23
RR-KL-0337,LG-KL-0337,538,378,160,70.4,28.54
RR-MP-0338,LG-MP-0338,1607,601,1006,37.4,35.68
RR-MH-0339,LG-MH-0339,707,254,453,36.1,73.29
RR-MN-0340,LG-MN-0340,1697,1275,422,75.1,86.46
RR-ML-0341,LG-ML-0341,1085,730,355,67.4,125.96
RR-MZ-0342,LG-MZ-0342,1014,190,824,18.8,14.74
RR-NL-0343,LG-NL-0343,968,954,14,98.6,76.48
RR-OD-0344,LG-OD-0344,2489,1895,594,76.2,201.65
RR-PB-0345,LG-PB-0345,157,63,94,40.6,14.08
RR-RJ-0346,LG-RJ-0346,961,765,196,79.6,112.14
RR-SK-0347,LG-SK-0347,797,493,304,61.9,77.28
RR-TN-0348,LG-TN-0348,1003,207,796,20.7,28.3
RR-TS-0349,LG-TS-0349,662,566,96,85.5,95.17
RR-TR-0350,LG-TR-0350,1188,809,379,68.1,54.17
RR-UP-0351,LG-UP-0351,44,26,18,59.5,1.7
RR-UK-0352,LG-UK-0352,291,176,115,60.7,38.86
RR-WB-0353,LG-WB-0353,733,132,601,18.1,49.74
RR-AN-0354,LG-AN-0354,98,75,23,77.4,21.17
RR-CH-0355,LG-CH-0355,1905,1324,581,69.5,149.84
RR-DH-0356,LG-DH-0356,696,248,448,35.7,31.66
RR-DL-0357,LG-DL-0357,1640,1116,524,68.1,227.34
RR-JK-0358,LG-JK-0358,246,188,58,76.6,30.23
RR-LA-0359,LG-LA-0359,2378,1990,388,83.7,76.39
RR-LD-0360,LG-LD-0360,766,634,132,82.8,159.84
RR-PY-0361,LG-PY-0361,2844,1511,1333,53.1,135.32
RR-AP-0362,LG-AP-0362,923,832,91,90.2,104.29
RR-AR-0363,LG-AR-0363,547,330,217,60.4,18.57
RR-AS-0364,LG-AS-0364,392,330,62,84.2,57.66
RR-BR-0365,LG-BR-0365,960,938,22,97.7,109.03
RR-CG-0366,LG-CG-0366,594,221,373,37.3,48.86
RR-GA-0367,LG-GA-0367,1871,1123,748,60.1,64.7
RR-GJ-0368,LG-GJ-0368,83,82,1,99.8,9.69
RR-HR-0369,LG-HR-0369,2127,1746,381,82.1,178.06
RR-HP-0370,LG-HP-0370,1093,780,313,71.4,48.97
RR-JH-0371,LG-JH-0371,228,142,86,62.6,27.61
RR-KA-0372,LG-KA-0372,378,310,68,82.1,94.46
RR-KL-0373,LG-KL-0373,1495,1463,32,97.9,207.82
RR-MP-0374,LG-MP-0374,2404,1320,1084,54.9,64.54
RR-MH-0375,LG-MH-0375,1005,476,529,47.4,75.95
RR-MN-0376,LG-MN-0376,1647,635,1012,38.6,26.3
RR-ML-0377,LG-ML-0377,894,717,177,80.2,38.51
RR-MZ-0378,LG-MZ-0378,114,103,11,91.1,35.72
RR-NL-0379,LG-NL-0379,778,397,381,51.0,112.53
RR-OD-0380,LG-OD-0380,493,392,101,79.5,155.63
RR-PB-0381,LG-PB-0381,2271,1628,643,71.7,165.96
RR-RJ-0382,LG-RJ-0382,1194,599,595,50.2,154.07
RR-SK-0383,LG-SK-0383,461,173,288,37.7,17.83
RR-TN-0384,LG-TN-0384,882,556,326,63.1,45.98
RR-TS-0385,LG-TS-0385,195,125,70,64.3,29.57
RR-TR-0386,LG-TR-0386,1465,745,720,50.9,123.97
RR-UP-0387,LG-UP-0387,1367,1069,298,78.3,315.27
RR-UK-0388,LG-UK-0388,1804,1351,453,74.9,205.04
RR-WB-0389,LG-WB-0389,1164,798,366,68.6,98.44
RR-AN-0390,LG-AN-0390,84,78,6,93.4,13.59
RR-CH-0391,LG-CH-0391,2361,1418,943,60.1,107.58
RR-DH-0392,LG-DH-0392,1020,260,760,25.5,66.0
RR-DL-0393,LG-DL-0393,89,53,36,60.5,24.26
RR-JK-0394,LG-JK-0394,911,351,560,38.5,80.04
RR-LA-0395,LG-LA-0395,1105,1018,87,92.1,259.8
RR-LD-0396,LG-LD-0396,1299,850,449,65.5,77.09
RR-PY-0397,LG-PY-0397,306,221,85,72.5,13.65
RR-AP-0398,LG-AP-0398,413,394,19,95.6,96.07
RR-AR-0399,LG-AR-0399,166,126,40,76.3,36.7
RR-AS-0400,LG-AS-0400,94,92,2,98.4,3.74
RR-BR-0401,LG-BR-0401,1013,563,450,55.6,87.43
RR-CG-0402,LG-CG-0402,871,374,497,43.0,125.04
RR-GA-0403,LG-GA-0403,272,166,106,61.2,14.75
RR-GJ-0404,LG-GJ-0404,367,156,211,42.7,39.3
RR-HR-0405,LG-HR-0405,794,491,303,62.0,42.65
RR-HP-0406,LG-HP-0406,1194,1122,72,94.0,101.08
RR-JH-0407,LG-JH-0407,211,182,29,86.6,25.4
RR-KA-0408,LG-KA-0408,1093,588,505,53.9,43.63
RR-KL-0409,LG-KL-0409,299,160,139,53.5,7.47
RR-MP-0410,LG-MP-0410,1400,1154,246,82.5,224.76
RR-MH-0411,LG-MH-0411,444,355,89,80.1,26.77
RR-MN-0412,LG-MN-0412,250,179,71,71.9,40.36
RR-ML-0413,LG-ML-0413,2066,467,1599,22.6,49.41
RR-MZ-0414,LG-MZ-0414,1241,618,623,49.9,38.67
RR-NL-0415,LG-NL-0415,456,218,238,48.0,15.44
RR-OD-0416,LG-OD-0416,1843,864,979,46.9,127.26
RR-PB-0417,LG-PB-0417,443,343,100,77.6,141.34
RR-RJ-0418,LG-RJ-0418,1336,629,707,47.1,121.67
RR-SK-0419,LG-SK-0419,170,29,141,17.1,1.45
RR-TN-0420,LG-TN-0420,1362,878,484,64.5,135.74
RR-TS-0421,LG-TS-0421,482,243,239,50.5,32.22
RR-TR-0422,LG-TR-0422,138,84,54,61.5,16.34
