doc_id,project_id,total_records,records_verified,records_pending,title_clearance_percentage
DOC-TR-0098,LG-TR-0098,228,213,15,93.8
DOC-UP-0099,LG-UP-0099,1257,1139,118,90.7
DOC-UK-0100,LG-UK-0100,1726,1407,319,81.6
DOC-WB-0101,LG-WB-0101,767,575,192,75.1
DOC-AN-0102,LG-AN-0102,996,715,281,71.8
DOC-CH-0103,LG-CH-0103,489,228,261,46.8
DOC-DH-0104,LG-DH-0104,468,348,120,74.4
DOC-DL-0105,LG-DL-0105,579,502,77,86.8
DOC-JK-0106,LG-JK-0106,612,517,95,84.5
DOC-LA-0107,LG-LA-0107,1598,915,683,57.3
DOC-LD-0108,LG-LD-0108,1263,1113,150,88.1
DOC-PY-0109,LG-PY-0109,118,109,9,92.6
DOC-AP-0110,LG-AP-0110,649,405,244,62.5
DOC-AR-0111,LG-AR-0111,818,691,127,84.6
DOC-AS-0112,LG-AS-0112,1055,815,240,77.3
DOC-BR-0113,LG-BR-0113,860,757,103,88.1
DOC-CG-0114,LG-CG-0114,1124,904,220,80.5
DOC-GA-0115,LG-GA-0115,608,538,70,88.5
DOC-GJ-0116,LG-GJ-0116,935,562,373,60.1
DOC-HR-0117,LG-HR-0117,785,624,161,79.5
DOC-HP-0118,LG-HP-0118,379,354,25,93.6
DOC-JH-0119,LG-JH-0119,969,764,205,78.9
DOC-KA-0120,LG-KA-0120,1502,940,562,62.6
DOC-KL-0121,LG-KL-0121,268,212,56,79.4
DOC-MP-0122,LG-MP-0122,432,290,142,67.1
DOC-MH-0123,LG-MH-0123,2052,1596,456,77.8
DOC-MN-0124,LG-MN-0124,140,102,38,73.0
DOC-ML-0125,LG-ML-0125,1527,1472,55,96.4
DOC-MZ-0126,LG-MZ-0126,1979,1906,73,96.3
DOC-NL-0127,LG-NL-0127,220,101,119,46.0
DOC-OD-0128,LG-OD-0128,167,151,16,90.9
DOC-PB-0129,LG-PB-0129,242,191,51,79.0
DOC-RJ-0130,LG-RJ-0130,1550,1461,89,94.3
DOC-SK-0131,LG-SK-0131,1855,1852,3,99.9
DOC-TN-0132,LG-TN-0132,1596,1549,47,97.1
DOC-TS-0133,LG-TS-0133,913,634,279,69.5
DOC-TR-0134,LG-TR-0134,560,427,133,76.4
DOC-UP-0135,LG-UP-0135,1538,1194,344,77.7
DOC-UK-0136,LG-UK-0136,2518,2283,235,90.7
DOC-WB-0137,LG-WB-0137,138,117,21,85.3
DOC-AN-0138,LG-AN-0138,1618,1354,264,83.7
DOC-CH-0139,LG-CH-0139,701,574,127,82.0
DOC-DH-0140,LG-DH-0140,3031,2353,678,77.7
DOC-DL-0141,LG-DL-0141,1454,1407,47,96.8
DOC-JK-0142,LG-JK-0142,2277,2225,52,97.7
DOC-LA-0143,LG-LA-0143,433,387,46,89.5
DOC-LD-0144,LG-LD-0144,151,82,69,54.3
DOC-PY-0145,LG-PY-0145,1810,1782,28,98.5
DOC-AP-0146,LG-AP-0146,915,489,426,53.5
DOC-AR-0147,LG-AR-0147,1789,973,816,54.4
DOC-AS-0148,LG-AS-0148,1899,1565,334,82.4
DOC-BR-0149,LG-BR-0149,468,351,117,75.0
DOC-CG-0150,LG-CG-0150,304,232,72,76.6
DOC-GA-0151,LG-GA-0151,2336,1464,872,62.7
DOC-GJ-0152,LG-GJ-0152,2817,2287,530,81.2
DOC-HR-0153,LG-HR-0153,1488,977,511,65.7
DOC-HP-0154,LG-HP-0154,670,433,237,64.8
DOC-JH-0155,LG-JH-0155,1913,1801,112,94.2
DOC-KA-0156,LG-KA-0156,1790,1427,363,79.8
DOC-KL-0157,LG-KL-0157,210,107,103,51.2
DOC-MP-0158,LG-MP-0158,2260,1927,333,85.3
DOC-MH-0159,LG-MH-0159,1389,1042,347,75.1
DOC-MN-0160,LG-MN-0160,264,168,96,63.7
DOC-ML-0161,LG-ML-0161,896,570,326,63.6
DOC-MZ-0162,LG-MZ-0162,318,266,52,83.8
DOC-NL-0163,LG-NL-0163,541,339,202,62.8
DOC-OD-0164,LG-OD-0164,528,427,101,81.0
DOC-PB-0165,LG-PB-0165,559,231,328,41.4
DOC-RJ-0166,LG-RJ-0166,1033,621,412,60.1
DOC-SK-0167,LG-SK-0167,310,261,49,84.4
DOC-TN-0168,LG-TN-0168,1651,1140,511,69.1
DOC-TS-0169,LG-TS-0169,313,252,61,80.6
DOC-TR-0170,LG-TR-0170,1010,814,196,80.6
DOC-UP-0171,LG-UP-0171,399,250,149,62.8
DOC-UK-0172,LG-UK-0172,1213,1210,3,99.8
DOC-WB-0173,LG-WB-0173,150,132,18,88.0
DOC-AN-0174,LG-AN-0174,1296,1219,77,94.1
DOC-CH-0175,LG-CH-0175,2206,1632,574,74.0
DOC-DH-0176,LG-DH-0176,2356,1511,845,64.1
DOC-DL-0177,LG-DL-0177,1627,810,817,49.8
DOC-JK-0178,LG-JK-0178,857,703,154,82.1
DOC-LA-0179,LG-LA-0179,1225,857,368,70.0
DOC-LD-0180,LG-LD-0180,855,851,4,99.6
DOC-PY-0181,LG-PY-0181,1647,1511,136,91.8
DOC-AP-0182,LG-AP-0182,1653,1563,90,94.6
DOC-AR-0183,LG-AR-0183,483,429,54,89.0
DOC-AS-0184,LG-AS-0184,378,363,15,96.3
DOC-BR-0185,LG-BR-0185,420,363,57,86.5
DOC-CG-0186,LG-CG-0186,80,77,3,96.7
DOC-GA-0187,LG-GA-0187,471,354,117,75.4
DOC-GJ-0188,LG-GJ-0188,506,279,227,55.2
DOC-HR-0189,LG-HR-0189,1187,985,202,83.0
DOC-HP-0190,LG-HP-0190,997,986,11,99.0
DOC-JH-0191,LG-JH-0191,1534,1291,243,84.2
DOC-KA-0192,LG-KA-0192,1049,1005,44,95.9
DOC-KL-0193,LG-KL-0193,1153,994,159,86.2
DOC-MP-0194,LG-MP-0194,1786,1157,629,64.8
DOC-MH-0195,LG-MH-0195,458,382,76,83.6
DOC-MN-0196,LG-MN-0196,903,639,264,70.8
DOC-ML-0197,LG-ML-0197,192,152,40,79.3
DOC-MZ-0198,LG-MZ-0198,352,325,27,92.4
DOC-NL-0199,LG-NL-0199,1565,943,622,60.3
DOC-OD-0200,LG-OD-0200,236,179,57,76.0
DOC-PB-0201,LG-PB-0201,630,360,270,57.1
DOC-RJ-0202,LG-RJ-0202,363,224,139,61.9
DOC-SK-0203,LG-SK-0203,2273,2196,77,96.6
DOC-TN-0204,LG-TN-0204,649,589,60,90.8
DOC-TS-0205,LG-TS-0205,139,104,35,75.2
DOC-TR-0206,LG-TR-0206,1454,1432,22,98.5
DOC-UP-0207,LG-UP-0207,716,533,183,74.5
DOC-UK-0208,LG-UK-0208,699,645,54,92.4
DOC-WB-0209,LG-WB-0209,600,461,139,77.0
DOC-AN-0210,LG-AN-0210,1206,1111,95,92.2
DOC-CH-0211,LG-CH-0211,890,669,221,75.2
DOC-DH-0212,LG-DH-0212,1613,1153,460,71.5
DOC-DL-0213,LG-DL-0213,2134,2054,80,96.3
DOC-JK-0214,LG-JK-0214,552,516,36,93.5
DOC-LA-0215,LG-LA-0215,1003,679,324,67.8
DOC-LD-0216,LG-LD-0216,380,357,23,94.0
DOC-PY-0217,LG-PY-0217,335,252,83,75.3
DOC-AP-0218,LG-AP-0218,332,316,16,95.4
DOC-AR-0219,LG-AR-0219,980,952,28,97.2
DOC-AS-0220,LG-AS-0220,957,733,224,76.7
DOC-BR-0221,LG-BR-0221,1448,1096,352,75.7
DOC-CG-0222,LG-CG-0222,593,237,356,40.0
DOC-GA-0223,LG-GA-0223,1694,1138,556,67.2
DOC-GJ-0224,LG-GJ-0224,545,511,34,93.8
DOC-HR-0225,LG-HR-0225,446,371,75,83.2
DOC-HP-0226,LG-HP-0226,1312,921,391,70.3
DOC-JH-0227,LG-JH-0227,303,297,6,98.3
DOC-KA-0228,LG-KA-0228,2752,1893,859,68.8
DOC-KL-0229,LG-KL-0229,953,882,71,92.6
DOC-MP-0230,LG-MP-0230,1932,1501,431,77.7
DOC-MH-0231,LG-MH-0231,808,714,94,88.4
DOC-MN-0232,LG-MN-0232,592,453,139,76.6
DOC-ML-0233,LG-ML-0233,936,770,166,82.4
DOC-MZ-0234,LG-MZ-0234,1209,1204,5,99.6
DOC-NL-0235,LG-NL-0235,181,176,5,97.5
DOC-OD-0236,LG-OD-0236,451,378,73,83.9
DOC-PB-0237,LG-PB-0237,726,499,227,68.8
DOC-RJ-0238,LG-RJ-0238,1626,1477,149,90.9
DOC-SK-0239,LG-SK-0239,2370,2117,253,89.4
DOC-TN-0240,LG-TN-0240,146,114,32,78.5
DOC-TS-0241,LG-TS-0241,454,360,94,79.5
DOC-TR-0242,LG-TR-0242,300,223,77,74.6
DOC-UP-0243,LG-UP-0243,602,576,26,95.8
DOC-UK-0244,LG-UK-0244,557,508,49,91.2
DOC-WB-0245,LG-WB-0245,871,383,488,44.0
DOC-AN-0246,LG-AN-0246,1536,1170,366,76.2
DOC-CH-0247,LG-CH-0247,874,693,181,79.4
DOC-DH-0248,LG-DH-0248,1366,916,450,67.1
DOC-DL-0249,LG-DL-0249,338,261,77,77.4
DOC-JK-0250,LG-JK-0250,363,346,17,95.4
DOC-LA-0251,LG-LA-0251,340,276,64,81.4
DOC-LD-0252,LG-LD-0252,287,211,76,73.6
DOC-PY-0253,LG-PY-0253,1011,854,157,84.5
DOC-AP-0254,LG-AP-0254,2194,2014,180,91.8
DOC-AR-0255,LG-AR-0255,1286,951,335,74.0
DOC-AS-0256,LG-AS-0256,949,731,218,77.1
DOC-BR-0257,LG-BR-0257,111,85,26,76.8
DOC-CG-0258,LG-CG-0258,379,334,45,88.2
DOC-GA-0259,LG-GA-0259,2204,1527,677,69.3
DOC-GJ-0260,LG-GJ-0260,873,353,520,40.4
DOC-HR-0261,LG-HR-0261,1395,1002,393,71.9
DOC-HP-0262,LG-HP-0262,1799,1430,369,79.5
DOC-JH-0263,LG-JH-0263,2072,1727,345,83.3
DOC-KA-0264,LG-KA-0264,1101,1014,87,92.2
DOC-KL-0265,LG-KL-0265,722,635,87,88.0
DOC-MP-0266,LG-MP-0266,902,825,77,91.6
DOC-MH-0267,LG-MH-0267,1504,1218,286,81.0
DOC-MN-0268,LG-MN-0268,673,489,184,72.7
DOC-ML-0269,LG-ML-0269,465,358,107,77.1
DOC-MZ-0270,LG-MZ-0270,1551,968,583,62.4
DOC-NL-0271,LG-NL-0271,700,470,230,67.3
DOC-OD-0272,LG-OD-0272,1010,917,93,90.8
DOC-PB-0273,LG-PB-0273,2073,2005,68,96.8
DOC-RJ-0274,LG-RJ-0274,412,273,139,66.4
DOC-SK-0275,LG-SK-0275,2622,2360,262,90.0
DOC-TN-0276,LG-TN-0276,361,247,114,68.6
DOC-TS-0277,LG-TS-0277,75,56,19,74.7
DOC-TR-0278,LG-TR-0278,1864,831,1033,44.6
DOC-UP-0279,LG-UP-0279,548,416,132,76.0
DOC-UK-0280,LG-UK-0280,283,266,17,94.1
DOC-WB-0281,LG-WB-0281,711,696,15,98.0
DOC-AN-0282,LG-AN-0282,1847,996,851,54.0
DOC-CH-0283,LG-CH-0283,1660,1538,122,92.7
DOC-DH-0284,LG-DH-0284,918,782,136,85.3
DOC-DL-0285,LG-DL-0285,655,631,24,96.5
DOC-JK-0286,LG-JK-0286,359,284,75,79.3
DOC-LA-0287,LG-LA-0287,527,493,34,93.6
DOC-LD-0288,LG-LD-0288,403,286,117,71.1
DOC-PY-0289,LG-PY-0289,326,305,21,93.6
DOC-AP-0290,LG-AP-0290,2166,1355,811,62.6
DOC-AR-0291,LG-AR-0291,962,834,128,86.8
DOC-AS-0292,LG-AS-0292,872,636,236,72.9
DOC-BR-0293,LG-BR-0293,880,600,280,68.2
DOC-CG-0294,LG-CG-0294,1682,1188,494,70.7
DOC-GA-0295,LG-GA-0295,1973,1907,66,96.7
DOC-GJ-0296,LG-GJ-0296,1091,976,115,89.5
DOC-HR-0297,LG-HR-0297,624,611,13,97.9
DOC-HP-0298,LG-HP-0298,1001,827,174,82.7
DOC-JH-0299,LG-JH-0299,1319,1049,270,79.6
DOC-KA-0300,LG-KA-0300,858,585,273,68.2
DOC-KL-0301,LG-KL-0301,1055,497,558,47.2
DOC-MP-0302,LG-MP-0302,345,272,73,79.0
DOC-MH-0303,LG-MH-0303,548,280,268,51.1
DOC-MN-0304,LG-MN-0304,223,131,92,58.8
DOC-ML-0305,LG-ML-0305,858,659,199,76.8
DOC-MZ-0306,LG-MZ-0306,1078,839,239,77.9
DOC-NL-0307,LG-NL-0307,1236,788,448,63.8
DOC-OD-0308,LG-OD-0308,270,261,9,97.0
DOC-PB-0309,LG-PB-0309,1123,991,132,88.3
DOC-RJ-0310,LG-RJ-0310,567,435,132,76.8
DOC-SK-0311,LG-SK-0311,680,516,164,76.0
DOC-TN-0312,LG-TN-0312,1110,1071,39,96.6
DOC-TS-0313,LG-TS-0313,949,712,237,75.1
DOC-TR-0314,LG-TR-0314,1493,1476,17,98.9
DOC-UP-0315,LG-UP-0315,805,656,149,81.6
DOC-UK-0316,LG-UK-0316,783,751,32,95.9
DOC-WB-0317,LG-WB-0317,1706,1558,148,91.4
DOC-AN-0318,LG-AN-0318,649,548,101,84.6
DOC-CH-0319,LG-CH-0319,236,194,42,82.5
DOC-DH-0320,LG-DH-0320,310,277,33,89.7
DOC-DL-0321,LG-DL-0321,1133,929,204,82.0
DOC-JK-0322,LG-JK-0322,1838,1212,626,66.0
DOC-LA-0323,LG-LA-0323,150,148,2,98.9
DOC-LD-0324,LG-LD-0324,774,591,183,76.4
DOC-PY-0325,LG-PY-0325,341,224,117,65.9
DOC-AP-0326,LG-AP-0326,650,486,164,74.8
DOC-AR-0327,LG-AR-0327,1775,1175,600,66.2
DOC-AS-0328,LG-AS-0328,280,269,11,96.1
DOC-BR-0329,LG-BR-0329,821,502,319,61.3
DOC-CG-0330,LG-CG-0330,303,276,27,91.3
DOC-GA-0331,LG-GA-0331,842,833,9,98.9
DOC-GJ-0332,LG-GJ-0332,466,340,126,73.1
DOC-HR-0333,LG-HR-0333,1680,1069,611,63.7
DOC-HP-0334,LG-HP-0334,288,270,18,93.8
DOC-JH-0335,LG-JH-0335,480,449,31,93.6
DOC-KA-0336,LG-KA-0336,1146,767,379,67.0
DOC-KL-0337,LG-KL-0337,569,460,109,81.0
DOC-MP-0338,LG-MP-0338,1396,884,512,63.4
DOC-MH-0339,LG-MH-0339,601,333,268,55.4
DOC-MN-0340,LG-MN-0340,1266,1094,172,86.4
DOC-ML-0341,LG-ML-0341,1124,890,234,79.2
DOC-MZ-0342,LG-MZ-0342,1008,722,286,71.7
DOC-NL-0343,LG-NL-0343,821,792,29,96.6
DOC-OD-0344,LG-OD-0344,2555,2198,357,86.0
DOC-PB-0345,LG-PB-0345,213,133,80,62.5
DOC-RJ-0346,LG-RJ-0346,770,611,159,79.4
DOC-SK-0347,LG-SK-0347,923,788,135,85.4
DOC-TN-0348,LG-TN-0348,793,550,243,69.5
DOC-TS-0349,LG-TS-0349,559,546,13,97.8
DOC-TR-0350,LG-TR-0350,1215,1068,147,87.9
DOC-UP-0351,LG-UP-0351,86,56,30,65.1
DOC-UK-0352,LG-UK-0352,290,221,69,76.5
DOC-WB-0353,LG-WB-0353,696,328,368,47.1
DOC-AN-0354,LG-AN-0354,122,97,25,80.0
DOC-CH-0355,LG-CH-0355,1803,1401,402,77.7
DOC-DH-0356,LG-DH-0356,667,456,211,68.5
DOC-DL-0357,LG-DL-0357,1531,1352,179,88.3
DOC-JK-0358,LG-JK-0358,272,208,64,76.7
DOC-LA-0359,LG-LA-0359,1769,1630,139,92.2
DOC-LD-0360,LG-LD-0360,697,683,14,98.1
DOC-PY-0361,LG-PY-0361,2175,1637,538,75.3
DOC-AP-0362,LG-AP-0362,699,666,33,95.4
DOC-AR-0363,LG-AR-0363,570,443,127,77.9
DOC-AS-0364,LG-AS-0364,379,363,16,95.9
DOC-BR-0365,LG-BR-0365,1007,956,51,95.0
DOC-CG-0366,LG-CG-0366,496,276,220,55.7
DOC-GA-0367,LG-GA-0367,2086,1754,332,84.1
DOC-GJ-0368,LG-GJ-0368,109,104,5,95.7
DOC-HR-0369,LG-HR-0369,1547,1483,64,95.9
DOC-HP-0370,LG-HP-0370,1004,875,129,87.2
DOC-JH-0371,LG-JH-0371,275,240,35,87.4
DOC-KA-0372,LG-KA-0372,323,288,35,89.2
DOC-KL-0373,LG-KL-0373,1230,1135,95,92.3
DOC-MP-0374,LG-MP-0374,2416,1521,895,63.0
DOC-MH-0375,LG-MH-0375,919,596,323,64.9
DOC-MN-0376,LG-MN-0376,1809,1381,428,76.4
DOC-ML-0377,LG-ML-0377,912,811,101,88.9
DOC-MZ-0378,LG-MZ-0378,159,148,11,93.1
DOC-NL-0379,LG-NL-0379,651,451,200,69.4
DOC-OD-0380,LG-OD-0380,512,386,126,75.5
DOC-PB-0381,LG-PB-0381,1728,1302,426,75.4
DOC-RJ-0382,LG-RJ-0382,1057,716,341,67.8
DOC-SK-0383,LG-SK-0383,389,259,130,66.7
DOC-TN-0384,LG-TN-0384,845,727,118,86.1
DOC-TS-0385,LG-TS-0385,261,209,52,80.1
DOC-TR-0386,LG-TR-0386,1327,977,350,73.7
DOC-UP-0387,LG-UP-0387,1115,997,118,89.5
DOC-UK-0388,LG-UK-0388,1502,1256,246,83.7
DOC-WB-0389,LG-WB-0389,1055,809,246,76.7
DOC-AN-0390,LG-AN-0390,140,132,8,95.0
DOC-CH-0391,LG-CH-0391,2182,1934,248,88.6
DOC-DH-0392,LG-DH-0392,785,514,271,65.5
DOC-DL-0393,LG-DL-0393,112,100,12,89.6
DOC-JK-0394,LG-JK-0394,1028,807,221,78.5
DOC-LA-0395,LG-LA-0395,962,922,40,95.9
DOC-LD-0396,LG-LD-0396,1071,920,151,85.9
DOC-PY-0397,LG-PY-0397,336,282,54,83.9
DOC-AP-0398,LG-AP-0398,472,436,36,92.5
DOC-AR-0399,LG-AR-0399,206,175,31,85.2
DOC-AS-0400,LG-AS-0400,137,121,16,88.4
DOC-BR-0401,LG-BR-0401,1041,645,396,62.1
DOC-CG-0402,LG-CG-0402,774,554,220,71.7
DOC-GA-0403,LG-GA-0403,317,270,47,85.4
DOC-GJ-0404,LG-GJ-0404,450,295,155,65.6
DOC-HR-0405,LG-HR-0405,632,479,153,75.8
DOC-HP-0406,LG-HP-0406,911,826,85,90.7
DOC-JH-0407,LG-JH-0407,256,227,29,88.8
DOC-KA-0408,LG-KA-0408,923,595,328,64.6
DOC-KL-0409,LG-KL-0409,346,242,104,70.0
DOC-MP-0410,LG-MP-0410,1215,1171,44,96.4
DOC-MH-0411,LG-MH-0411,502,444,58,88.6
DOC-MN-0412,LG-MN-0412,318,281,37,88.6
DOC-ML-0413,LG-ML-0413,1575,888,687,56.4
DOC-MZ-0414,LG-MZ-0414,1118,731,387,65.4
DOC-NL-0415,LG-NL-0415,549,329,220,60.0
DOC-OD-0416,LG-OD-0416,1658,1051,607,63.4
DOC-PB-0417,LG-PB-0417,413,331,82,80.3
DOC-RJ-0418,LG-RJ-0418,1230,965,265,78.5
DOC-SK-0419,LG-SK-0419,179,119,60,66.6
DOC-TN-0420,LG-TN-0420,1384,1139,245,82.4
DOC-TS-0421,LG-TS-0421,563,391,172,69.5
DOC-TR-0422,LG-TR-0422,147,129,18,88.1
DOC-UP-0423,LG-UP-0423,664,380,284,57.3
DOC-UK-0424,LG-UK-0424,584,393,191,67.4
DOC-WB-0425,LG-WB-0425,2304,2030,274,88.1
DOC-AN-0426,LG-AN-0426,1896,1166,730,61.5
DOC-CH-0427,LG-CH-0427,700,407,293,58.2
DOC-DH-0428,LG-DH-0428,683,415,268,60.9
DOC-DL-0429,LG-DL-0429,1693,1506,187,89.0
DOC-JK-0430,LG-JK-0430,593,427,166,72.2
DOC-LA-0431,LG-LA-0431,229,198,31,86.8
DOC-LD-0432,LG-LD-0432,147,138,9,94.1
DOC-PY-0433,LG-PY-0433,2345,2145,200,91.5
DOC-AP-0434,LG-AP-0434,3098,2664,434,86.0
DOC-AR-0435,LG-AR-0435,1375,1105,270,80.4
DOC-AS-0436,LG-AS-0436,1737,1644,93,94.7
DOC-BR-0437,LG-BR-0437,866,743,123,85.8
DOC-CG-0438,LG-CG-0438,962,857,105,89.2
DOC-GA-0439,LG-GA-0439,971,957,14,98.6
DOC-GJ-0440,LG-GJ-0440,99,75,24,76.6
DOC-HR-0441,LG-HR-0441,280,219,61,78.5
DOC-HP-0442,LG-HP-0442,422,355,67,84.2
DOC-JH-0443,LG-JH-0443,665,420,245,63.2
DOC-KA-0444,LG-KA-0444,867,685,182,79.0
DOC-KL-0445,LG-KL-0445,695,508,187,73.1
DOC-MP-0446,LG-MP-0446,1373,1312,61,95.6
DOC-MH-0447,LG-MH-0447,134,122,12,91.7
DOC-MN-0448,LG-MN-0448,678,440,238,65.0
DOC-ML-0449,LG-ML-0449,1334,1152,182,86.4
DOC-MZ-0450,LG-MZ-0450,1137,485,652,42.7
DOC-NL-0451,LG-NL-0451,559,450,109,80.6
DOC-OD-0452,LG-OD-0452,1057,942,115,89.1
DOC-PB-0453,LG-PB-0453,889,860,29,96.8
DOC-RJ-0454,LG-RJ-0454,254,215,39,85.0
DOC-SK-0455,LG-SK-0455,1568,1257,311,80.2
DOC-TN-0456,LG-TN-0456,76,31,45,41.2
DOC-TS-0457,LG-TS-0457,851,761,90,89.4
DOC-TR-0458,LG-TR-0458,1347,1266,81,94.0
DOC-UP-0459,LG-UP-0459,818,615,203,75.3
DOC-UK-0460,LG-UK-0460,955,666,289,69.8
DOC-WB-0461,LG-WB-0461,1007,788,219,78.3
DOC-AN-0462,LG-AN-0462,316,245,71,77.8
DOC-CH-0463,LG-CH-0463,1214,1071,143,88.3
DOC-DH-0464,LG-DH-0464,440,296,144,67.5
DOC-DL-0465,LG-DL-0465,2366,2292,74,96.9
DOC-JK-0466,LG-JK-0466,700,528,172,75.5
DOC-LA-0467,LG-LA-0467,116,89,27,76.7
