history_id,project_id,prediction_date,delay_probability,risk_score,risk_category,expected_delay_days,highest_risk_stage,model_version
HIS-MP-0122,LG-MP-0122,2024-02-01,0.77,77.0,HIGH,256,Notification,v1.0.0
HIS-MH-0123,LG-MH-0123,2024-02-01,0.45,45.0,MEDIUM,16,Objection/Hearing,v1.0.0
HIS-MN-0124,LG-MN-0124,2024-02-01,0.94,94.0,CRITICAL,473,R&R,v1.0.0
HIS-ML-0125,LG-ML-0125,2024-02-01,0.1,10.0,LOW,1,Notification,v1.0.0
HIS-MZ-0126,LG-MZ-0126,2024-02-01,0.16,16.0,LOW,12,Objection/Hearing,v1.0.0
HIS-NL-0127,LG-NL-0127,2024-02-01,0.91,91.0,CRITICAL,423,Objection/Hearing,v1.0.0
HIS-OD-0128,LG-OD-0128,2024-02-01,0.14,14.0,LOW,1,R&R,v1.0.0
HIS-PB-0129,LG-PB-0129,2024-02-01,0.44,44.0,MEDIUM,8,Notification,v1.0.0
HIS-RJ-0130,LG-RJ-0130,2024-02-01,0.17,17.0,LOW,7,Approval,v1.0.0
HIS-SK-0131,LG-SK-0131,2024-02-01,0.13,13.0,LOW,8,Approval,v1.0.0
HIS-TN-0132,LG-TN-0132,2024-02-01,0.27,27.0,LOW,9,Compensation,v1.0.0
HIS-TS-0133,LG-TS-0133,2024-02-01,0.77,77.0,HIGH,245,Compensation,v1.0.0
HIS-TR-0134,LG-TR-0134,2024-02-01,0.65,65.0,HIGH,164,Compensation,v1.0.0
HIS-UP-0135,LG-UP-0135,2024-02-01,0.42,42.0,MEDIUM,23,Land Identification,v1.0.0
HIS-UK-0136,LG-UK-0136,2024-02-01,0.16,16.0,LOW,8,Documentation,v1.0.0
HIS-WB-0137,LG-WB-0137,2024-02-01,0.52,52.0,MEDIUM,103,R&R,v1.0.0
HIS-AN-0138,LG-AN-0138,2024-02-01,0.4,40.0,MEDIUM,84,Notification,v1.0.0
HIS-CH-0139,LG-CH-0139,2024-02-01,0.46,46.0,MEDIUM,44,Compensation,v1.0.0
HIS-DH-0140,LG-DH-0140,2024-02-01,0.54,54.0,MEDIUM,15,Documentation,v1.0.0
HIS-DL-0141,LG-DL-0141,2024-02-01,0.18,18.0,LOW,12,R&R,v1.0.0
HIS-JK-0142,LG-JK-0142,2024-02-01,0.2,20.0,LOW,0,Objection/Hearing,v1.0.0
HIS-LA-0143,LG-LA-0143,2024-02-01,0.13,13.0,LOW,0,Land Identification,v1.0.0
HIS-LD-0144,LG-LD-0144,2024-02-01,0.85,85.0,CRITICAL,419,Notification,v1.0.0
HIS-PY-0145,LG-PY-0145,2024-02-01,0.07,7.0,LOW,3,Notification,v1.0.0
HIS-AP-0146,LG-AP-0146,2024-02-01,0.98,98.0,CRITICAL,280,Compensation,v1.0.0
HIS-AR-0147,LG-AR-0147,2024-02-01,0.96,96.0,CRITICAL,592,Documentation,v1.0.0
HIS-AS-0148,LG-AS-0148,2024-02-01,0.37,37.0,MEDIUM,16,Final Handover,v1.0.0
HIS-BR-0149,LG-BR-0149,2024-02-01,0.55,55.0,MEDIUM,66,Survey,v1.0.0
HIS-CG-0150,LG-CG-0150,2024-02-01,0.37,37.0,MEDIUM,98,Final Handover,v1.0.0
HIS-GA-0151,LG-GA-0151,2024-02-01,0.76,76.0,HIGH,250,Legal Resolution,v1.0.0
HIS-GJ-0152,LG-GJ-0152,2024-02-01,0.49,49.0,MEDIUM,6,Objection/Hearing,v1.0.0
HIS-HR-0153,LG-HR-0153,2024-02-01,0.66,66.0,HIGH,171,Compensation,v1.0.0
HIS-HP-0154,LG-HP-0154,2024-02-01,0.61,61.0,HIGH,133,R&R,v1.0.0
HIS-JH-0155,LG-JH-0155,2024-02-01,0.2,20.0,LOW,5,Final Handover,v1.0.0
HIS-KA-0156,LG-KA-0156,2024-02-01,0.37,37.0,MEDIUM,11,Possession,v1.0.0
HIS-KL-0157,LG-KL-0157,2024-02-01,0.95,95.0,CRITICAL,513,Possession,v1.0.0
HIS-MP-0158,LG-MP-0158,2024-02-01,0.32,32.0,MEDIUM,4,Approval,v1.0.0
HIS-MH-0159,LG-MH-0159,2024-02-01,0.34,34.0,MEDIUM,84,Objection/Hearing,v1.0.0
HIS-MN-0160,LG-MN-0160,2024-02-01,0.82,82.0,CRITICAL,313,R&R,v1.0.0
HIS-ML-0161,LG-ML-0161,2024-02-01,0.62,62.0,HIGH,260,Approval,v1.0.0
HIS-MZ-0162,LG-MZ-0162,2024-02-01,0.52,52.0,MEDIUM,7,Legal Resolution,v1.0.0
HIS-NL-0163,LG-NL-0163,2024-02-01,0.77,77.0,HIGH,124,Possession,v1.0.0
HIS-OD-0164,LG-OD-0164,2024-02-01,0.36,36.0,MEDIUM,14,Notification,v1.0.0
HIS-PB-0165,LG-PB-0165,2024-02-01,0.91,91.0,CRITICAL,384,Compensation,v1.0.0
HIS-RJ-0166,LG-RJ-0166,2024-02-01,0.65,65.0,HIGH,158,Objection/Hearing,v1.0.0
HIS-SK-0167,LG-SK-0167,2024-02-01,0.58,58.0,MEDIUM,9,Land Identification,v1.0.0
HIS-TN-0168,LG-TN-0168,2024-02-01,0.77,77.0,HIGH,253,Notification,v1.0.0
HIS-TS-0169,LG-TS-0169,2024-02-01,0.54,54.0,MEDIUM,95,Land Identification,v1.0.0
HIS-TR-0170,LG-TR-0170,2024-02-01,0.47,47.0,MEDIUM,129,Land Identification,v1.0.0
HIS-UP-0171,LG-UP-0171,2024-02-01,0.71,71.0,HIGH,174,Possession,v1.0.0
HIS-UK-0172,LG-UK-0172,2024-02-01,0.29,29.0,LOW,1,Survey,v1.0.0
HIS-WB-0173,LG-WB-0173,2024-02-01,0.15,15.0,LOW,12,Documentation,v1.0.0
HIS-AN-0174,LG-AN-0174,2024-02-01,0.27,27.0,LOW,8,Compensation,v1.0.0
HIS-CH-0175,LG-CH-0175,2024-02-01,0.66,66.0,HIGH,183,Compensation,v1.0.0
HIS-DH-0176,LG-DH-0176,2024-02-01,0.74,74.0,HIGH,140,Approval,v1.0.0
HIS-DL-0177,LG-DL-0177,2024-02-01,0.82,82.0,CRITICAL,526,Legal Resolution,v1.0.0
HIS-JK-0178,LG-JK-0178,2024-02-01,0.43,43.0,MEDIUM,129,Notification,v1.0.0
HIS-LA-0179,LG-LA-0179,2024-02-01,0.63,63.0,HIGH,221,Documentation,v1.0.0
HIS-LD-0180,LG-LD-0180,2024-02-01,0.14,14.0,LOW,9,Land Identification,v1.0.0
HIS-PY-0181,LG-PY-0181,2024-02-01,0.27,27.0,LOW,8,Compensation,v1.0.0
HIS-AP-0182,LG-AP-0182,2024-02-01,0.12,12.0,LOW,3,Survey,v1.0.0
HIS-AR-0183,LG-AR-0183,2024-02-01,0.5,50.0,MEDIUM,87,Objection/Hearing,v1.0.0
HIS-AS-0184,LG-AS-0184,2024-02-01,0.25,25.0,LOW,13,Documentation,v1.0.0
HIS-BR-0185,LG-BR-0185,2024-02-01,0.36,36.0,MEDIUM,2,Notification,v1.0.0
HIS-CG-0186,LG-CG-0186,2024-02-01,0.13,13.0,LOW,13,Survey,v1.0.0
HIS-GA-0187,LG-GA-0187,2024-02-01,0.7,70.0,HIGH,170,Notification,v1.0.0
HIS-GJ-0188,LG-GJ-0188,2024-02-01,0.97,97.0,CRITICAL,254,Final Handover,v1.0.0
HIS-HR-0189,LG-HR-0189,2024-02-01,0.37,37.0,MEDIUM,113,Land Identification,v1.0.0
HIS-HP-0190,LG-HP-0190,2024-02-01,0.19,19.0,LOW,8,Objection/Hearing,v1.0.0
HIS-JH-0191,LG-JH-0191,2024-02-01,0.36,36.0,MEDIUM,4,R&R,v1.0.0
HIS-KA-0192,LG-KA-0192,2024-02-01,0.26,26.0,LOW,13,Possession,v1.0.0
HIS-KL-0193,LG-KL-0193,2024-02-01,0.54,54.0,MEDIUM,5,Approval,v1.0.0
HIS-MP-0194,LG-MP-0194,2024-02-01,0.7,70.0,HIGH,235,Final Handover,v1.0.0
HIS-MH-0195,LG-MH-0195,2024-02-01,0.55,55.0,MEDIUM,8,Notification,v1.0.0
HIS-MN-0196,LG-MN-0196,2024-02-01,0.94,94.0,CRITICAL,574,Survey,v1.0.0
HIS-ML-0197,LG-ML-0197,2024-02-01,0.33,33.0,MEDIUM,53,Possession,v1.0.0
HIS-MZ-0198,LG-MZ-0198,2024-02-01,0.09,9.0,LOW,9,Possession,v1.0.0
HIS-NL-0199,LG-NL-0199,2024-02-01,0.71,71.0,HIGH,172,Possession,v1.0.0
HIS-OD-0200,LG-OD-0200,2024-02-01,0.56,56.0,MEDIUM,9,Notification,v1.0.0
HIS-PB-0201,LG-PB-0201,2024-02-01,0.98,98.0,CRITICAL,370,Land Identification,v1.0.0
HIS-RJ-0202,LG-RJ-0202,2024-02-01,0.9,90.0,CRITICAL,479,Compensation,v1.0.0
HIS-SK-0203,LG-SK-0203,2024-02-01,0.27,27.0,LOW,10,Documentation,v1.0.0
HIS-TN-0204,LG-TN-0204,2024-02-01,0.08,8.0,LOW,15,Possession,v1.0.0
HIS-TS-0205,LG-TS-0205,2024-02-01,0.77,77.0,HIGH,203,Compensation,v1.0.0
HIS-TR-0206,LG-TR-0206,2024-02-01,0.18,18.0,LOW,12,Land Identification,v1.0.0
HIS-UP-0207,LG-UP-0207,2024-02-01,0.69,69.0,HIGH,220,Documentation,v1.0.0
HIS-UK-0208,LG-UK-0208,2024-02-01,0.14,14.0,LOW,5,Survey,v1.0.0
HIS-WB-0209,LG-WB-0209,2024-02-01,0.57,57.0,MEDIUM,19,Legal Resolution,v1.0.0
HIS-AN-0210,LG-AN-0210,2024-02-01,0.13,13.0,LOW,9,Approval,v1.0.0
HIS-CH-0211,LG-CH-0211,2024-02-01,0.71,71.0,HIGH,204,Objection/Hearing,v1.0.0
HIS-DH-0212,LG-DH-0212,2024-02-01,0.76,76.0,HIGH,246,Compensation,v1.0.0
HIS-DL-0213,LG-DL-0213,2024-02-01,0.24,24.0,LOW,10,R&R,v1.0.0
HIS-JK-0214,LG-JK-0214,2024-02-01,0.26,26.0,LOW,1,Land Identification,v1.0.0
HIS-LA-0215,LG-LA-0215,2024-02-01,0.66,66.0,HIGH,128,Final Handover,v1.0.0
HIS-LD-0216,LG-LD-0216,2024-02-01,0.24,24.0,LOW,9,Legal Resolution,v1.0.0
HIS-PY-0217,LG-PY-0217,2024-02-01,0.65,65.0,HIGH,171,Objection/Hearing,v1.0.0
HIS-AP-0218,LG-AP-0218,2024-02-01,0.08,8.0,LOW,1,Notification,v1.0.0
HIS-AR-0219,LG-AR-0219,2024-02-01,0.07,7.0,LOW,14,Final Handover,v1.0.0
HIS-AS-0220,LG-AS-0220,2024-02-01,0.55,55.0,MEDIUM,12,Objection/Hearing,v1.0.0
HIS-BR-0221,LG-BR-0221,2024-02-01,0.72,72.0,HIGH,149,Possession,v1.0.0
HIS-CG-0222,LG-CG-0222,2024-02-01,0.84,84.0,CRITICAL,350,Documentation,v1.0.0
HIS-GA-0223,LG-GA-0223,2024-02-01,0.69,69.0,HIGH,217,Land Identification,v1.0.0
HIS-GJ-0224,LG-GJ-0224,2024-02-01,0.27,27.0,LOW,13,Survey,v1.0.0
HIS-HR-0225,LG-HR-0225,2024-02-01,0.33,33.0,MEDIUM,108,Approval,v1.0.0
HIS-HP-0226,LG-HP-0226,2024-02-01,0.64,64.0,HIGH,194,Objection/Hearing,v1.0.0
HIS-JH-0227,LG-JH-0227,2024-02-01,0.21,21.0,LOW,4,Notification,v1.0.0
HIS-KA-0228,LG-KA-0228,2024-02-01,0.62,62.0,HIGH,149,Legal Resolution,v1.0.0
HIS-KL-0229,LG-KL-0229,2024-02-01,0.29,29.0,LOW,11,Compensation,v1.0.0
HIS-MP-0230,LG-MP-0230,2024-02-01,0.41,41.0,MEDIUM,14,Approval,v1.0.0
HIS-MH-0231,LG-MH-0231,2024-02-01,0.43,43.0,MEDIUM,118,Final Handover,v1.0.0
HIS-MN-0232,LG-MN-0232,2024-02-01,0.33,33.0,MEDIUM,1,Approval,v1.0.0
HIS-ML-0233,LG-ML-0233,2024-02-01,0.59,59.0,MEDIUM,12,Possession,v1.0.0
HIS-MZ-0234,LG-MZ-0234,2024-02-01,0.17,17.0,LOW,11,Notification,v1.0.0
HIS-NL-0235,LG-NL-0235,2024-02-01,0.29,29.0,LOW,14,Legal Resolution,v1.0.0
HIS-OD-0236,LG-OD-0236,2024-02-01,0.55,55.0,MEDIUM,63,Notification,v1.0.0
HIS-PB-0237,LG-PB-0237,2024-02-01,0.61,61.0,HIGH,160,Compensation,v1.0.0
HIS-RJ-0238,LG-RJ-0238,2024-02-01,0.2,20.0,LOW,15,Documentation,v1.0.0
HIS-SK-0239,LG-SK-0239,2024-02-01,0.09,9.0,LOW,5,Final Handover,v1.0.0
HIS-TN-0240,LG-TN-0240,2024-02-01,0.38,38.0,MEDIUM,10,Land Identification,v1.0.0
HIS-TS-0241,LG-TS-0241,2024-02-01,0.77,77.0,HIGH,148,Documentation,v1.0.0
HIS-TR-0242,LG-TR-0242,2024-02-01,0.69,69.0,HIGH,121,Possession,v1.0.0
HIS-UP-0243,LG-UP-0243,2024-02-01,0.26,26.0,LOW,14,Compensation,v1.0.0
HIS-UK-0244,LG-UK-0244,2024-02-01,0.21,21.0,LOW,2,Objection/Hearing,v1.0.0
HIS-WB-0245,LG-WB-0245,2024-02-01,0.86,86.0,CRITICAL,365,Approval,v1.0.0
HIS-AN-0246,LG-AN-0246,2024-02-01,0.79,79.0,HIGH,193,Possession,v1.0.0
HIS-CH-0247,LG-CH-0247,2024-02-01,0.41,41.0,MEDIUM,94,Objection/Hearing,v1.0.0
HIS-DH-0248,LG-DH-0248,2024-02-01,0.77,77.0,HIGH,164,Objection/Hearing,v1.0.0
HIS-DL-0249,LG-DL-0249,2024-02-01,0.36,36.0,MEDIUM,60,Objection/Hearing,v1.0.0
HIS-JK-0250,LG-JK-0250,2024-02-01,0.2,20.0,LOW,6,Final Handover,v1.0.0
HIS-LA-0251,LG-LA-0251,2024-02-01,0.52,52.0,MEDIUM,6,Final Handover,v1.0.0
HIS-LD-0252,LG-LD-0252,2024-02-01,0.89,89.0,CRITICAL,534,Legal Resolution,v1.0.0
HIS-PY-0253,LG-PY-0253,2024-02-01,0.53,53.0,MEDIUM,3,Documentation,v1.0.0
HIS-AP-0254,LG-AP-0254,2024-02-01,0.21,21.0,LOW,13,Land Identification,v1.0.0
HIS-AR-0255,LG-AR-0255,2024-02-01,0.66,66.0,HIGH,252,Objection/Hearing,v1.0.0
HIS-AS-0256,LG-AS-0256,2024-02-01,0.56,56.0,MEDIUM,4,Land Identification,v1.0.0
