stakeholder_id,project_id,objections_received,objections_resolved,pending_objections,public_hearing_status,stakeholder_response_index
STK-GJ-0152,LG-GJ-0152,95,69,26,HELD,73.2
STK-HR-0153,LG-HR-0153,37,16,21,PENDING,45.5
STK-HP-0154,LG-HP-0154,111,70,41,HELD,63.5
STK-JH-0155,LG-JH-0155,64,54,10,HELD,85.6
STK-KA-0156,LG-KA-0156,51,39,12,HELD,76.8
STK-KL-0157,LG-KL-0157,42,16,26,PENDING,38.1
STK-MP-0158,LG-MP-0158,14,10,4,HELD,75.5
STK-MH-0159,LG-MH-0159,102,75,27,HELD,73.8
STK-MN-0160,LG-MN-0160,75,32,43,PENDING,43.7
STK-ML-0161,LG-ML-0161,30,19,11,HELD,63.6
STK-MZ-0162,LG-MZ-0162,51,40,11,HELD,79.4
STK-NL-0163,LG-NL-0163,80,50,30,HELD,62.7
STK-OD-0164,LG-OD-0164,50,38,12,HELD,77.7
STK-PB-0165,LG-PB-0165,88,38,50,PENDING,44.2
STK-RJ-0166,LG-RJ-0166,34,15,19,PENDING,46.5
STK-SK-0167,LG-SK-0167,65,44,21,HELD,68.9
STK-TN-0168,LG-TN-0168,24,12,12,HELD,52.7
STK-TS-0169,LG-TS-0169,22,16,6,HELD,77.0
STK-TR-0170,LG-TR-0170,40,26,14,HELD,66.6
STK-UP-0171,LG-UP-0171,54,32,22,HELD,60.7
STK-UK-0172,LG-UK-0172,6,5,1,HELD,85.7
STK-WB-0173,LG-WB-0173,16,13,3,HELD,85.5
STK-AN-0174,LG-AN-0174,53,45,8,HELD,85.9
STK-CH-0175,LG-CH-0175,75,41,34,HELD,55.3
STK-DH-0176,LG-DH-0176,114,59,55,HELD,52.1
STK-DL-0177,LG-DL-0177,63,13,50,PENDING,21.4
STK-JK-0178,LG-JK-0178,21,15,6,HELD,72.5
STK-LA-0179,LG-LA-0179,109,66,43,HELD,60.7
STK-LD-0180,LG-LD-0180,118,109,9,HELD,93.0
STK-PY-0181,LG-PY-0181,26,22,4,HELD,85.3
STK-AP-0182,LG-AP-0182,44,39,5,HELD,90.5
STK-AR-0183,LG-AR-0183,49,38,11,HELD,79.2
STK-AS-0184,LG-AS-0184,75,67,8,HELD,89.5
STK-BR-0185,LG-BR-0185,63,47,16,HELD,76.1
STK-CG-0186,LG-CG-0186,94,75,19,HELD,80.3
STK-GA-0187,LG-GA-0187,54,29,25,HELD,53.9
STK-GJ-0188,LG-GJ-0188,81,28,53,PENDING,34.6
STK-HR-0189,LG-HR-0189,22,15,7,HELD,69.8
STK-HP-0190,LG-HP-0190,98,88,10,HELD,90.6
STK-JH-0191,LG-JH-0191,67,44,23,HELD,66.7
STK-KA-0192,LG-KA-0192,98,90,8,HELD,92.8
STK-KL-0193,LG-KL-0193,48,35,13,HELD,73.6
STK-MP-0194,LG-MP-0194,41,22,19,HELD,56.0
STK-MH-0195,LG-MH-0195,98,65,33,HELD,67.3
STK-MN-0196,LG-MN-0196,72,16,56,PENDING,23.0
STK-ML-0197,LG-ML-0197,102,67,35,HELD,66.2
STK-MZ-0198,LG-MZ-0198,61,56,5,HELD,91.9
STK-NL-0199,LG-NL-0199,98,44,54,PENDING,45.5
STK-OD-0200,LG-OD-0200,70,55,15,HELD,78.7
STK-PB-0201,LG-PB-0201,85,31,54,PENDING,37.1
STK-RJ-0202,LG-RJ-0202,115,27,88,PENDING,23.8
STK-SK-0203,LG-SK-0203,61,59,2,HELD,97.6
STK-TN-0204,LG-TN-0204,28,22,6,HELD,80.5
STK-TS-0205,LG-TS-0205,104,67,37,HELD,64.7
STK-TR-0206,LG-TR-0206,61,53,8,HELD,87.9
STK-UP-0207,LG-UP-0207,63,40,23,HELD,63.8
STK-UK-0208,LG-UK-0208,47,44,3,HELD,94.5
STK-WB-0209,LG-WB-0209,89,61,28,HELD,68.8
STK-AN-0210,LG-AN-0210,58,54,4,HELD,93.3
STK-CH-0211,LG-CH-0211,83,39,44,PENDING,47.7
STK-DH-0212,LG-DH-0212,29,16,13,HELD,57.3
STK-DL-0213,LG-DL-0213,55,47,8,HELD,86.2
STK-JK-0214,LG-JK-0214,31,27,4,HELD,89.2
STK-LA-0215,LG-LA-0215,52,31,21,HELD,60.0
STK-LD-0216,LG-LD-0216,31,27,4,HELD,89.7
STK-PY-0217,LG-PY-0217,90,46,44,HELD,51.2
STK-AP-0218,LG-AP-0218,55,44,11,HELD,81.0
STK-AR-0219,LG-AR-0219,34,32,2,HELD,96.3
STK-AS-0220,LG-AS-0220,106,73,33,HELD,69.2
STK-BR-0221,LG-BR-0221,110,64,46,HELD,58.3
STK-CG-0222,LG-CG-0222,60,19,41,PENDING,33.3
STK-GA-0223,LG-GA-0223,65,38,27,HELD,59.0
STK-GJ-0224,LG-GJ-0224,63,52,11,HELD,82.7
STK-HR-0225,LG-HR-0225,71,52,19,HELD,73.5
STK-HP-0226,LG-HP-0226,12,6,6,HELD,53.4
STK-JH-0227,LG-JH-0227,105,96,9,HELD,92.1
STK-KA-0228,LG-KA-0228,43,26,17,HELD,61.8
STK-KL-0229,LG-KL-0229,39,36,3,HELD,93.7
STK-MP-0230,LG-MP-0230,9,6,3,HELD,77.5
STK-MH-0231,LG-MH-0231,104,74,30,HELD,72.0
STK-MN-0232,LG-MN-0232,62,46,16,HELD,74.7
STK-ML-0233,LG-ML-0233,47,36,11,HELD,76.7
STK-MZ-0234,LG-MZ-0234,9,8,1,HELD,93.9
STK-NL-0235,LG-NL-0235,14,11,3,HELD,84.2
STK-OD-0236,LG-OD-0236,92,70,22,HELD,77.0
STK-PB-0237,LG-PB-0237,5,3,2,HELD,60.8
STK-RJ-0238,LG-RJ-0238,58,46,12,HELD,80.8
STK-SK-0239,LG-SK-0239,41,40,1,HELD,99.4
STK-TN-0240,LG-TN-0240,53,40,13,HELD,76.2
STK-TS-0241,LG-TS-0241,102,60,42,HELD,58.8
STK-TR-0242,LG-TR-0242,98,55,43,HELD,56.6
STK-UP-0243,LG-UP-0243,64,59,5,HELD,93.4
STK-UK-0244,LG-UK-0244,118,113,5,HELD,95.9
STK-WB-0245,LG-WB-0245,11,3,8,PENDING,34.5
STK-AN-0246,LG-AN-0246,40,21,19,HELD,54.2
STK-CH-0247,LG-CH-0247,90,61,29,HELD,68.5
STK-DH-0248,LG-DH-0248,19,9,10,PENDING,48.2
STK-DL-0249,LG-DL-0249,65,46,19,HELD,71.1
STK-JK-0250,LG-JK-0250,7,5,2,HELD,81.8
STK-LA-0251,LG-LA-0251,61,42,19,HELD,70.2
STK-LD-0252,LG-LD-0252,28,10,18,PENDING,36.0
STK-PY-0253,LG-PY-0253,79,57,22,HELD,72.4
STK-AP-0254,LG-AP-0254,42,34,8,HELD,83.3
STK-AR-0255,LG-AR-0255,25,13,12,HELD,52.0
STK-AS-0256,LG-AS-0256,21,14,7,HELD,69.6
STK-BR-0257,LG-BR-0257,16,12,4,HELD,75.0
STK-CG-0258,LG-CG-0258,51,50,1,HELD,99.3
STK-GA-0259,LG-GA-0259,63,32,31,HELD,52.2
STK-GJ-0260,LG-GJ-0260,119,35,84,PENDING,29.9
STK-HR-0261,LG-HR-0261,37,21,16,HELD,57.1
STK-HP-0262,LG-HP-0262,38,28,10,HELD,74.9
STK-JH-0263,LG-JH-0263,76,50,26,HELD,67.0
STK-KA-0264,LG-KA-0264,49,46,3,HELD,95.3
STK-KL-0265,LG-KL-0265,67,50,17,HELD,75.4
STK-MP-0266,LG-MP-0266,39,32,7,HELD,84.5
STK-MH-0267,LG-MH-0267,77,56,21,HELD,73.2
STK-MN-0268,LG-MN-0268,36,20,16,HELD,57.9
STK-ML-0269,LG-ML-0269,55,34,21,HELD,62.9
STK-MZ-0270,LG-MZ-0270,40,23,17,HELD,59.7
STK-NL-0271,LG-NL-0271,94,60,34,HELD,64.3
STK-OD-0272,LG-OD-0272,115,95,20,HELD,83.2
STK-PB-0273,LG-PB-0273,5,4,1,HELD,89.1
STK-RJ-0274,LG-RJ-0274,55,26,29,PENDING,48.5
STK-SK-0275,LG-SK-0275,96,88,8,HELD,92.0
STK-TN-0276,LG-TN-0276,38,23,15,HELD,61.5
STK-TS-0277,LG-TS-0277,37,17,20,PENDING,46.2
STK-TR-0278,LG-TR-0278,60,14,46,PENDING,23.5
STK-UP-0279,LG-UP-0279,10,4,6,PENDING,49.6
STK-UK-0280,LG-UK-0280,14,13,1,HELD,93.3
STK-WB-0281,LG-WB-0281,98,90,8,HELD,92.6
STK-AN-0282,LG-AN-0282,101,42,59,PENDING,41.6
STK-CH-0283,LG-CH-0283,10,8,2,HELD,88.5
STK-DH-0284,LG-DH-0284,64,44,20,HELD,69.4
STK-DL-0285,LG-DL-0285,15,13,2,HELD,89.1
STK-JK-0286,LG-JK-0286,6,3,3,HELD,57.4
STK-LA-0287,LG-LA-0287,79,65,14,HELD,82.3
STK-LD-0288,LG-LD-0288,78,42,36,HELD,54.7
STK-PY-0289,LG-PY-0289,97,81,16,HELD,84.4
STK-AP-0290,LG-AP-0290,50,23,27,PENDING,47.0
STK-AR-0291,LG-AR-0291,110,85,25,HELD,77.8
STK-AS-0292,LG-AS-0292,69,33,36,PENDING,49.0
STK-BR-0293,LG-BR-0293,48,25,23,HELD,52.2
STK-CG-0294,LG-CG-0294,94,34,60,PENDING,37.0
STK-GA-0295,LG-GA-0295,101,91,10,HELD,90.4
STK-GJ-0296,LG-GJ-0296,43,38,5,HELD,89.0
STK-HR-0297,LG-HR-0297,116,102,14,HELD,88.5
STK-HP-0298,LG-HP-0298,52,37,15,HELD,71.8
STK-JH-0299,LG-JH-0299,62,47,15,HELD,76.1
STK-KA-0300,LG-KA-0300,76,34,42,PENDING,45.9
STK-KL-0301,LG-KL-0301,60,18,42,PENDING,31.1
STK-MP-0302,LG-MP-0302,119,61,58,HELD,51.5
STK-MH-0303,LG-MH-0303,102,21,81,PENDING,20.7
STK-MN-0304,LG-MN-0304,39,7,32,PENDING,20.0
STK-ML-0305,LG-ML-0305,89,60,29,HELD,68.2
STK-MZ-0306,LG-MZ-0306,109,66,43,HELD,60.7
STK-NL-0307,LG-NL-0307,30,17,13,HELD,59.4
STK-OD-0308,LG-OD-0308,5,4,1,HELD,91.4
STK-PB-0309,LG-PB-0309,93,66,27,HELD,71.3
STK-RJ-0310,LG-RJ-0310,85,54,31,HELD,64.2
STK-SK-0311,LG-SK-0311,54,37,17,HELD,69.4
STK-TN-0312,LG-TN-0312,36,30,6,HELD,83.9
STK-TS-0313,LG-TS-0313,48,34,14,HELD,72.6
STK-TR-0314,LG-TR-0314,99,79,20,HELD,80.1
STK-UP-0315,LG-UP-0315,30,19,11,HELD,65.4
STK-UK-0316,LG-UK-0316,73,72,1,HELD,100.0
STK-WB-0317,LG-WB-0317,70,69,1,HELD,99.4
STK-AN-0318,LG-AN-0318,37,29,8,HELD,78.4
STK-CH-0319,LG-CH-0319,34,24,10,HELD,71.6
STK-DH-0320,LG-DH-0320,110,108,2,HELD,98.2
STK-DL-0321,LG-DL-0321,22,15,7,HELD,69.7
STK-JK-0322,LG-JK-0322,73,33,40,PENDING,45.6
STK-LA-0323,LG-LA-0323,46,38,8,HELD,84.7
STK-LD-0324,LG-LD-0324,110,70,40,HELD,63.8
STK-PY-0325,LG-PY-0325,94,45,49,PENDING,48.6
STK-AP-0326,LG-AP-0326,8,3,5,PENDING,39.2
STK-AR-0327,LG-AR-0327,112,37,75,PENDING,33.7
STK-AS-0328,LG-AS-0328,81,65,16,HELD,81.0
STK-BR-0329,LG-BR-0329,74,35,39,PENDING,48.3
STK-CG-0330,LG-CG-0330,37,30,7,HELD,81.3
STK-GA-0331,LG-GA-0331,35,32,3,HELD,92.8
STK-GJ-0332,LG-GJ-0332,8,2,6,PENDING,27.9
STK-HR-0333,LG-HR-0333,69,32,37,PENDING,46.4
STK-HP-0334,LG-HP-0334,59,49,10,HELD,83.4
STK-JH-0335,LG-JH-0335,54,43,11,HELD,80.1
STK-KA-0336,LG-KA-0336,94,55,39,HELD,58.9
STK-KL-0337,LG-KL-0337,44,29,15,HELD,67.8
STK-MP-0338,LG-MP-0338,28,16,12,HELD,60.5
STK-MH-0339,LG-MH-0339,66,15,51,PENDING,24.2
STK-MN-0340,LG-MN-0340,83,61,22,HELD,74.1
STK-ML-0341,LG-ML-0341,51,37,14,HELD,74.3
STK-MZ-0342,LG-MZ-0342,91,22,69,PENDING,24.9
STK-NL-0343,LG-NL-0343,90,77,13,HELD,86.5
STK-OD-0344,LG-OD-0344,78,53,25,HELD,68.4
STK-PB-0345,LG-PB-0345,92,48,44,HELD,52.9
STK-RJ-0346,LG-RJ-0346,43,30,13,HELD,70.0
STK-SK-0347,LG-SK-0347,94,65,29,HELD,69.9
STK-TN-0348,LG-TN-0348,85,27,58,PENDING,31.8
STK-TS-0349,LG-TS-0349,7,6,1,HELD,93.1
STK-TR-0350,LG-TR-0350,101,76,25,HELD,75.5
STK-UP-0351,LG-UP-0351,10,5,5,HELD,55.1
STK-UK-0352,LG-UK-0352,21,14,7,HELD,67.1
STK-WB-0353,LG-WB-0353,110,39,71,PENDING,35.8
STK-AN-0354,LG-AN-0354,98,67,31,HELD,68.4
STK-CH-0355,LG-CH-0355,95,63,32,HELD,66.9
STK-DH-0356,LG-DH-0356,26,11,15,PENDING,43.7
STK-DL-0357,LG-DL-0357,82,60,22,HELD,74.2
STK-JK-0358,LG-JK-0358,85,66,19,HELD,77.8
STK-LA-0359,LG-LA-0359,20,17,3,HELD,87.1
STK-LD-0360,LG-LD-0360,55,52,3,HELD,94.9
STK-PY-0361,LG-PY-0361,49,29,20,HELD,59.8
STK-AP-0362,LG-AP-0362,65,55,10,HELD,85.0
STK-AR-0363,LG-AR-0363,59,40,19,HELD,68.0
STK-AS-0364,LG-AS-0364,47,42,5,HELD,89.4
STK-BR-0365,LG-BR-0365,17,14,3,HELD,82.6
STK-CG-0366,LG-CG-0366,77,16,61,PENDING,21.7
STK-GA-0367,LG-GA-0367,114,83,31,HELD,73.6
STK-GJ-0368,LG-GJ-0368,95,79,16,HELD,84.2
STK-HR-0369,LG-HR-0369,33,31,2,HELD,94.9
STK-HP-0370,LG-HP-0370,82,64,18,HELD,79.2
STK-JH-0371,LG-JH-0371,22,16,6,HELD,76.6
STK-KA-0372,LG-KA-0372,54,52,2,HELD,97.7
STK-KL-0373,LG-KL-0373,84,77,7,HELD,92.1
STK-MP-0374,LG-MP-0374,46,29,17,HELD,64.5
STK-MH-0375,LG-MH-0375,16,8,8,HELD,55.7
STK-MN-0376,LG-MN-0376,20,12,8,HELD,62.1
STK-ML-0377,LG-ML-0377,57,55,2,HELD,96.6
STK-MZ-0378,LG-MZ-0378,16,15,1,HELD,96.6
STK-NL-0379,LG-NL-0379,51,31,20,HELD,61.5
STK-OD-0380,LG-OD-0380,101,74,27,HELD,73.5
STK-PB-0381,LG-PB-0381,108,84,24,HELD,77.8
STK-RJ-0382,LG-RJ-0382,68,43,25,HELD,64.2
STK-SK-0383,LG-SK-0383,114,49,65,PENDING,43.5
STK-TN-0384,LG-TN-0384,64,42,22,HELD,66.6
STK-TS-0385,LG-TS-0385,32,24,8,HELD,76.1
STK-TR-0386,LG-TR-0386,90,42,48,PENDING,46.7
STK-UP-0387,LG-UP-0387,24,17,7,HELD,73.6
STK-UK-0388,LG-UK-0388,109,73,36,HELD,67.8
STK-WB-0389,LG-WB-0389,84,56,28,HELD,67.7
STK-AN-0390,LG-AN-0390,20,19,1,HELD,97.0
STK-CH-0391,LG-CH-0391,26,20,6,HELD,78.6
STK-DH-0392,LG-DH-0392,102,31,71,PENDING,30.9
STK-DL-0393,LG-DL-0393,73,55,18,HELD,76.0
STK-JK-0394,LG-JK-0394,67,33,34,HELD,50.2
STK-LA-0395,LG-LA-0395,71,57,14,HELD,80.6
STK-LD-0396,LG-LD-0396,29,19,10,HELD,68.0
STK-PY-0397,LG-PY-0397,9,6,3,HELD,74.1
STK-AP-0398,LG-AP-0398,120,98,22,HELD,82.4
STK-AR-0399,LG-AR-0399,62,42,20,HELD,68.0
STK-AS-0400,LG-AS-0400,45,36,9,HELD,80.8
STK-BR-0401,LG-BR-0401,93,44,49,PENDING,47.8
STK-CG-0402,LG-CG-0402,89,42,47,PENDING,48.0
STK-GA-0403,LG-GA-0403,44,28,16,HELD,65.2
STK-GJ-0404,LG-GJ-0404,119,74,45,HELD,62.4
STK-HR-0405,LG-HR-0405,82,61,21,HELD,74.7
STK-HP-0406,LG-HP-0406,26,22,4,HELD,88.1
STK-JH-0407,LG-JH-0407,117,104,13,HELD,89.1
STK-KA-0408,LG-KA-0408,37,22,15,HELD,60.5
STK-KL-0409,LG-KL-0409,117,75,42,HELD,64.5
STK-MP-0410,LG-MP-0410,64,61,3,HELD,95.9
STK-MH-0411,LG-MH-0411,16,13,3,HELD,87.0
STK-MN-0412,LG-MN-0412,44,29,15,HELD,67.6
STK-ML-0413,LG-ML-0413,36,10,26,PENDING,30.3
STK-MZ-0414,LG-MZ-0414,71,43,28,HELD,61.4
STK-NL-0415,LG-NL-0415,56,27,29,PENDING,49.9
STK-OD-0416,LG-OD-0416,64,32,32,HELD,50.8
STK-PB-0417,LG-PB-0417,120,86,34,HELD,71.9
STK-RJ-0418,LG-RJ-0418,94,60,34,HELD,64.3
STK-SK-0419,LG-SK-0419,9,3,6,PENDING,42.5
STK-TN-0420,LG-TN-0420,108,82,26,HELD,76.1
STK-TS-0421,LG-TS-0421,15,8,7,HELD,56.2
STK-TR-0422,LG-TR-0422,38,27,11,HELD,73.6
STK-UP-0423,LG-UP-0423,75,29,46,PENDING,39.1
STK-UK-0424,LG-UK-0424,21,6,15,PENDING,29.5
STK-WB-0425,LG-WB-0425,14,13,1,HELD,97.8
STK-AN-0426,LG-AN-0426,88,52,36,HELD,59.7
STK-CH-0427,LG-CH-0427,7,1,6,PENDING,23.1
STK-DH-0428,LG-DH-0428,111,59,52,HELD,53.6
STK-DL-0429,LG-DL-0429,6,4,2,HELD,75.8
