approval_id,project_id,approval_type,status,submission_date,approval_date,delay_days
APP-KA-0120,LG-KA-0120,Wildlife,PENDING,2021-02-14,,135
APP-KL-0121,LG-KL-0121,Environmental,APPROVED,2024-06-11,2024-01-01,12
APP-MP-0122,LG-MP-0122,Forest,APPROVED,2021-04-30,2024-01-01,12
APP-MH-0123,LG-MH-0123,Forest,APPROVED,2024-03-08,2024-01-01,4
APP-MN-0124,LG-MN-0124,Revenue,PENDING,2023-01-18,,52
APP-ML-0125,LG-ML-0125,Forest,APPROVED,2021-09-18,2024-01-01,3
APP-MZ-0126,LG-MZ-0126,Forest,APPROVED,2023-07-04,2024-01-01,13
APP-NL-0127,LG-NL-0127,Wildlife,PENDING,2022-06-19,,120
APP-OD-0128,LG-OD-0128,Environmental,APPROVED,2024-01-12,2024-01-01,9
APP-PB-0129,LG-PB-0129,Forest,PENDING,2023-03-26,,137
APP-RJ-0130,LG-RJ-0130,Wildlife,APPROVED,2024-02-08,2024-01-01,1
APP-SK-0131,LG-SK-0131,Environmental,APPROVED,2022-01-30,2024-01-01,12
APP-TN-0132,LG-TN-0132,Wildlife,APPROVED,2021-11-03,2024-01-01,8
APP-TS-0133,LG-TS-0133,Forest,APPROVED,2022-11-10,2024-01-01,4
APP-TR-0134,LG-TR-0134,Environmental,PENDING,2023-09-20,,61
APP-UP-0135,LG-UP-0135,Forest,APPROVED,2022-05-11,2024-01-01,7
APP-UK-0136,LG-UK-0136,Revenue,APPROVED,2024-08-18,2024-01-01,14
APP-WB-0137,LG-WB-0137,Forest,PENDING,2024-08-18,,49
APP-AN-0138,LG-AN-0138,Forest,PENDING,2023-05-08,,67
APP-CH-0139,LG-CH-0139,Revenue,APPROVED,2022-11-10,2024-01-01,13
APP-DH-0140,LG-DH-0140,Forest,APPROVED,2021-06-15,2024-01-01,13
APP-DL-0141,LG-DL-0141,Forest,APPROVED,2022-01-26,2024-01-01,2
APP-JK-0142,LG-JK-0142,Environmental,APPROVED,2022-01-21,2024-01-01,11
APP-LA-0143,LG-LA-0143,Revenue,APPROVED,2024-11-13,2024-01-01,4
APP-LD-0144,LG-LD-0144,Environmental,REJECTED,2023-12-08,2024-01-01,3
APP-PY-0145,LG-PY-0145,Environmental,APPROVED,2023-08-09,2024-01-01,4
APP-AP-0146,LG-AP-0146,Environmental,PENDING,2023-03-31,,83
APP-AR-0147,LG-AR-0147,Environmental,PENDING,2023-09-17,,85
APP-AS-0148,LG-AS-0148,Wildlife,PENDING,2021-11-18,,134
APP-BR-0149,LG-BR-0149,Wildlife,PENDING,2023-04-07,,72
APP-CG-0150,LG-CG-0150,Wildlife,APPROVED,2022-08-21,2024-01-01,6
APP-GA-0151,LG-GA-0151,Forest,APPROVED,2023-07-26,2024-01-01,4
APP-GJ-0152,LG-GJ-0152,Revenue,APPROVED,2022-08-26,2024-01-01,4
APP-HR-0153,LG-HR-0153,Revenue,PENDING,2024-10-12,,117
APP-HP-0154,LG-HP-0154,Forest,APPROVED,2022-04-05,2024-01-01,14
APP-JH-0155,LG-JH-0155,Environmental,APPROVED,2021-06-02,2024-01-01,10
APP-KA-0156,LG-KA-0156,Revenue,PENDING,2024-02-01,,72
APP-KL-0157,LG-KL-0157,Wildlife,REJECTED,2022-05-15,2024-01-01,1
APP-MP-0158,LG-MP-0158,Environmental,PENDING,2024-10-04,,41
APP-MH-0159,LG-MH-0159,Environmental,APPROVED,2021-02-04,2024-01-01,9
APP-MN-0160,LG-MN-0160,Wildlife,PENDING,2022-08-28,,98
APP-ML-0161,LG-ML-0161,Revenue,APPROVED,2024-06-17,2024-01-01,3
APP-MZ-0162,LG-MZ-0162,Revenue,PENDING,2022-11-04,,137
APP-NL-0163,LG-NL-0163,Wildlife,PENDING,2021-06-17,,128
APP-OD-0164,LG-OD-0164,Forest,APPROVED,2021-10-02,2024-01-01,15
APP-PB-0165,LG-PB-0165,Forest,REJECTED,2023-08-20,2024-01-01,12
APP-RJ-0166,LG-RJ-0166,Environmental,PENDING,2023-09-25,,114
APP-SK-0167,LG-SK-0167,Wildlife,PENDING,2021-09-19,,107
APP-TN-0168,LG-TN-0168,Wildlife,PENDING,2021-12-10,,135
APP-TS-0169,LG-TS-0169,Environmental,PENDING,2024-10-21,,84
APP-TR-0170,LG-TR-0170,Revenue,PENDING,2024-03-29,,108
APP-UP-0171,LG-UP-0171,Environmental,PENDING,2022-12-07,,50
APP-UK-0172,LG-UK-0172,Wildlife,APPROVED,2024-06-01,2024-01-01,14
APP-WB-0173,LG-WB-0173,Environmental,APPROVED,2024-10-12,2024-01-01,2
APP-AN-0174,LG-AN-0174,Revenue,APPROVED,2024-03-23,2024-01-01,14
APP-CH-0175,LG-CH-0175,Revenue,APPROVED,2024-07-21,2024-01-01,2
APP-DH-0176,LG-DH-0176,Environmental,PENDING,2022-04-26,,127
APP-DL-0177,LG-DL-0177,Wildlife,REJECTED,2022-01-10,2024-01-01,5
APP-JK-0178,LG-JK-0178,Forest,PENDING,2022-01-19,,103
APP-LA-0179,LG-LA-0179,Environmental,PENDING,2023-08-27,,57
APP-LD-0180,LG-LD-0180,Wildlife,APPROVED,2023-04-24,2024-01-01,14
APP-PY-0181,LG-PY-0181,Wildlife,APPROVED,2021-05-27,2024-01-01,13
APP-AP-0182,LG-AP-0182,Environmental,APPROVED,2021-07-15,2024-01-01,12
APP-AR-0183,LG-AR-0183,Revenue,PENDING,2023-09-03,,146
APP-AS-0184,LG-AS-0184,Forest,APPROVED,2022-12-06,2024-01-01,0
APP-BR-0185,LG-BR-0185,Environmental,PENDING,2021-06-12,,111
APP-CG-0186,LG-CG-0186,Revenue,APPROVED,2022-08-01,2024-01-01,14
APP-GA-0187,LG-GA-0187,Forest,PENDING,2023-02-21,,90
APP-GJ-0188,LG-GJ-0188,Wildlife,PENDING,2022-03-23,,118
APP-HR-0189,LG-HR-0189,Revenue,PENDING,2021-05-03,,122
APP-HP-0190,LG-HP-0190,Environmental,APPROVED,2023-08-18,2024-01-01,12
APP-JH-0191,LG-JH-0191,Forest,APPROVED,2024-10-31,2024-01-01,3
APP-KA-0192,LG-KA-0192,Revenue,APPROVED,2021-05-26,2024-01-01,1
APP-KL-0193,LG-KL-0193,Wildlife,PENDING,2024-03-13,,94
APP-MP-0194,LG-MP-0194,Environmental,APPROVED,2023-06-01,2024-01-01,1
APP-MH-0195,LG-MH-0195,Wildlife,APPROVED,2024-02-08,2024-01-01,6
APP-MN-0196,LG-MN-0196,Environmental,PENDING,2021-04-25,,69
APP-ML-0197,LG-ML-0197,Wildlife,APPROVED,2024-03-24,2024-01-01,4
APP-MZ-0198,LG-MZ-0198,Wildlife,APPROVED,2021-07-03,2024-01-01,4
APP-NL-0199,LG-NL-0199,Wildlife,PENDING,2021-10-30,,109
APP-OD-0200,LG-OD-0200,Forest,APPROVED,2021-04-19,2024-01-01,12
APP-PB-0201,LG-PB-0201,Revenue,REJECTED,2022-05-22,2024-01-01,1
APP-RJ-0202,LG-RJ-0202,Forest,REJECTED,2023-12-03,2024-01-01,6
APP-SK-0203,LG-SK-0203,Wildlife,APPROVED,2022-10-13,2024-01-01,9
APP-TN-0204,LG-TN-0204,Wildlife,APPROVED,2024-06-17,2024-01-01,11
APP-TS-0205,LG-TS-0205,Wildlife,APPROVED,2022-04-01,2024-01-01,12
APP-TR-0206,LG-TR-0206,Forest,APPROVED,2023-12-03,2024-01-01,9
APP-UP-0207,LG-UP-0207,Environmental,PENDING,2023-08-08,,52
APP-UK-0208,LG-UK-0208,Environmental,APPROVED,2021-07-06,2024-01-01,5
APP-WB-0209,LG-WB-0209,Forest,PENDING,2022-08-15,,105
APP-AN-0210,LG-AN-0210,Environmental,APPROVED,2021-04-11,2024-01-01,3
APP-CH-0211,LG-CH-0211,Forest,APPROVED,2023-01-25,2024-01-01,6
APP-DH-0212,LG-DH-0212,Forest,APPROVED,2024-05-31,2024-01-01,9
APP-DL-0213,LG-DL-0213,Revenue,APPROVED,2024-07-29,2024-01-01,10
APP-JK-0214,LG-JK-0214,Revenue,APPROVED,2024-08-15,2024-01-01,0
APP-LA-0215,LG-LA-0215,Wildlife,APPROVED,2023-12-31,2024-01-01,7
APP-LD-0216,LG-LD-0216,Environmental,APPROVED,2023-11-03,2024-01-01,4
APP-PY-0217,LG-PY-0217,Revenue,APPROVED,2023-08-15,2024-01-01,14
APP-AP-0218,LG-AP-0218,Environmental,APPROVED,2024-03-21,2024-01-01,13
APP-AR-0219,LG-AR-0219,Wildlife,APPROVED,2023-12-29,2024-01-01,15
APP-AS-0220,LG-AS-0220,Revenue,APPROVED,2023-07-18,2024-01-01,2
APP-BR-0221,LG-BR-0221,Revenue,APPROVED,2023-06-02,2024-01-01,3
APP-CG-0222,LG-CG-0222,Revenue,REJECTED,2024-04-04,2024-01-01,9
APP-GA-0223,LG-GA-0223,Forest,APPROVED,2021-01-02,2024-01-01,5
APP-GJ-0224,LG-GJ-0224,Wildlife,APPROVED,2024-08-20,2024-01-01,5
APP-HR-0225,LG-HR-0225,Revenue,APPROVED,2024-12-29,2024-01-01,14
APP-HP-0226,LG-HP-0226,Revenue,APPROVED,2024-01-01,2024-01-01,8
APP-JH-0227,LG-JH-0227,Forest,APPROVED,2022-06-01,2024-01-01,8
APP-KA-0228,LG-KA-0228,Wildlife,APPROVED,2023-04-26,2024-01-01,15
APP-KL-0229,LG-KL-0229,Revenue,APPROVED,2021-01-25,2024-01-01,10
APP-MP-0230,LG-MP-0230,Revenue,APPROVED,2023-12-01,2024-01-01,6
APP-MH-0231,LG-MH-0231,Revenue,PENDING,2024-08-19,,50
APP-MN-0232,LG-MN-0232,Revenue,PENDING,2024-06-03,,129
APP-ML-0233,LG-ML-0233,Environmental,APPROVED,2021-01-08,2024-01-01,11
APP-MZ-0234,LG-MZ-0234,Forest,APPROVED,2024-08-19,2024-01-01,4
APP-NL-0235,LG-NL-0235,Forest,APPROVED,2021-02-03,2024-01-01,7
APP-OD-0236,LG-OD-0236,Revenue,APPROVED,2021-07-19,2024-01-01,3
APP-PB-0237,LG-PB-0237,Environmental,APPROVED,2021-12-11,2024-01-01,0
APP-RJ-0238,LG-RJ-0238,Revenue,APPROVED,2024-08-03,2024-01-01,11
APP-SK-0239,LG-SK-0239,Environmental,APPROVED,2024-09-12,2024-01-01,11
APP-TN-0240,LG-TN-0240,Wildlife,APPROVED,2023-09-21,2024-01-01,6
APP-TS-0241,LG-TS-0241,Wildlife,PENDING,2023-07-27,,51
APP-TR-0242,LG-TR-0242,Environmental,PENDING,2023-08-28,,90
APP-UP-0243,LG-UP-0243,Environmental,APPROVED,2022-03-23,2024-01-01,14
APP-UK-0244,LG-UK-0244,Environmental,APPROVED,2023-12-24,2024-01-01,11
APP-WB-0245,LG-WB-0245,Wildlife,PENDING,2021-10-11,,65
APP-AN-0246,LG-AN-0246,Environmental,PENDING,2023-01-24,,51
APP-CH-0247,LG-CH-0247,Wildlife,PENDING,2023-05-11,,105
APP-DH-0248,LG-DH-0248,Forest,PENDING,2022-08-14,,60
APP-DL-0249,LG-DL-0249,Revenue,APPROVED,2021-10-30,2024-01-01,9
APP-JK-0250,LG-JK-0250,Revenue,APPROVED,2024-02-03,2024-01-01,6
APP-LA-0251,LG-LA-0251,Wildlife,PENDING,2023-01-10,,132
APP-LD-0252,LG-LD-0252,Forest,PENDING,2023-12-12,,55
APP-PY-0253,LG-PY-0253,Environmental,APPROVED,2022-06-22,2024-01-01,11
APP-AP-0254,LG-AP-0254,Environmental,APPROVED,2022-06-16,2024-01-01,9
APP-AR-0255,LG-AR-0255,Wildlife,PENDING,2024-11-03,,73
APP-AS-0256,LG-AS-0256,Forest,APPROVED,2023-09-10,2024-01-01,9
APP-BR-0257,LG-BR-0257,Revenue,APPROVED,2024-09-13,2024-01-01,0
APP-CG-0258,LG-CG-0258,Forest,APPROVED,2021-05-20,2024-01-01,15
APP-GA-0259,LG-GA-0259,Wildlife,PENDING,2021-08-20,,66
APP-GJ-0260,LG-GJ-0260,Environmental,PENDING,2023-09-02,,124
APP-HR-0261,LG-HR-0261,Environmental,APPROVED,2022-07-25,2024-01-01,3
APP-HP-0262,LG-HP-0262,Wildlife,PENDING,2023-02-23,,94
APP-JH-0263,LG-JH-0263,Wildlife,PENDING,2023-06-26,,90
APP-KA-0264,LG-KA-0264,Revenue,APPROVED,2024-04-24,2024-01-01,13
APP-KL-0265,LG-KL-0265,Environmental,PENDING,2024-01-08,,133
APP-MP-0266,LG-MP-0266,Environmental,APPROVED,2024-01-03,2024-01-01,10
APP-MH-0267,LG-MH-0267,Revenue,APPROVED,2024-09-20,2024-01-01,13
APP-MN-0268,LG-MN-0268,Forest,PENDING,2022-10-15,,33
APP-ML-0269,LG-ML-0269,Revenue,APPROVED,2022-07-23,2024-01-01,2
APP-MZ-0270,LG-MZ-0270,Forest,PENDING,2023-10-14,,57
APP-NL-0271,LG-NL-0271,Revenue,PENDING,2022-07-23,,111
APP-OD-0272,LG-OD-0272,Environmental,APPROVED,2022-09-09,2024-01-01,8
APP-PB-0273,LG-PB-0273,Wildlife,APPROVED,2023-11-03,2024-01-01,4
APP-RJ-0274,LG-RJ-0274,Revenue,APPROVED,2024-05-01,2024-01-01,5
APP-SK-0275,LG-SK-0275,Environmental,APPROVED,2023-08-06,2024-01-01,0
APP-TN-0276,LG-TN-0276,Environmental,PENDING,2022-08-13,,67
APP-TS-0277,LG-TS-0277,Environmental,PENDING,2022-03-11,,30
APP-TR-0278,LG-TR-0278,Revenue,PENDING,2023-10-07,,148
APP-UP-0279,LG-UP-0279,Environmental,APPROVED,2024-02-13,2024-01-01,15
APP-UK-0280,LG-UK-0280,Forest,APPROVED,2022-08-05,2024-01-01,13
APP-WB-0281,LG-WB-0281,Wildlife,APPROVED,2022-10-25,2024-01-01,10
APP-AN-0282,LG-AN-0282,Revenue,PENDING,2024-01-26,,112
APP-CH-0283,LG-CH-0283,Wildlife,APPROVED,2023-11-16,2024-01-01,2
APP-DH-0284,LG-DH-0284,Wildlife,APPROVED,2023-09-06,2024-01-01,3
APP-DL-0285,LG-DL-0285,Forest,APPROVED,2023-03-16,2024-01-01,5
APP-JK-0286,LG-JK-0286,Forest,APPROVED,2023-08-01,2024-01-01,4
APP-LA-0287,LG-LA-0287,Environmental,APPROVED,2024-01-09,2024-01-01,14
APP-LD-0288,LG-LD-0288,Environmental,APPROVED,2023-10-13,2024-01-01,13
APP-PY-0289,LG-PY-0289,Forest,APPROVED,2021-02-12,2024-01-01,9
APP-AP-0290,LG-AP-0290,Environmental,APPROVED,2024-11-15,2024-01-01,0
APP-AR-0291,LG-AR-0291,Environmental,APPROVED,2022-04-04,2024-01-01,3
APP-AS-0292,LG-AS-0292,Revenue,PENDING,2023-10-18,,66
APP-BR-0293,LG-BR-0293,Environmental,PENDING,2021-10-10,,40
APP-CG-0294,LG-CG-0294,Revenue,REJECTED,2024-07-17,2024-01-01,4
APP-GA-0295,LG-GA-0295,Revenue,APPROVED,2021-06-22,2024-01-01,10
APP-GJ-0296,LG-GJ-0296,Forest,APPROVED,2023-02-03,2024-01-01,11
APP-HR-0297,LG-HR-0297,Wildlife,APPROVED,2023-07-20,2024-01-01,12
APP-HP-0298,LG-HP-0298,Environmental,APPROVED,2024-12-27,2024-01-01,3
APP-JH-0299,LG-JH-0299,Revenue,PENDING,2024-04-22,,102
APP-KA-0300,LG-KA-0300,Environmental,APPROVED,2021-07-02,2024-01-01,9
APP-KL-0301,LG-KL-0301,Environmental,REJECTED,2022-01-04,2024-01-01,10
APP-MP-0302,LG-MP-0302,Forest,PENDING,2022-06-08,,82
APP-MH-0303,LG-MH-0303,Environmental,PENDING,2023-02-28,,61
APP-MN-0304,LG-MN-0304,Environmental,REJECTED,2024-01-12,2024-01-01,15
APP-ML-0305,LG-ML-0305,Revenue,PENDING,2021-05-24,,61
APP-MZ-0306,LG-MZ-0306,Environmental,PENDING,2021-01-20,,75
APP-NL-0307,LG-NL-0307,Forest,APPROVED,2022-07-30,2024-01-01,0
APP-OD-0308,LG-OD-0308,Revenue,APPROVED,2024-03-03,2024-01-01,14
APP-PB-0309,LG-PB-0309,Environmental,APPROVED,2023-10-12,2024-01-01,7
APP-RJ-0310,LG-RJ-0310,Wildlife,APPROVED,2024-04-28,2024-01-01,3
APP-SK-0311,LG-SK-0311,Environmental,APPROVED,2021-04-23,2024-01-01,14
APP-TN-0312,LG-TN-0312,Wildlife,APPROVED,2022-01-30,2024-01-01,5
APP-TS-0313,LG-TS-0313,Forest,APPROVED,2024-05-20,2024-01-01,2
APP-TR-0314,LG-TR-0314,Forest,APPROVED,2021-11-29,2024-01-01,15
APP-UP-0315,LG-UP-0315,Forest,APPROVED,2021-03-03,2024-01-01,5
APP-UK-0316,LG-UK-0316,Forest,APPROVED,2023-07-24,2024-01-01,6
APP-WB-0317,LG-WB-0317,Environmental,APPROVED,2022-11-03,2024-01-01,5
APP-AN-0318,LG-AN-0318,Forest,APPROVED,2023-10-11,2024-01-01,11
APP-CH-0319,LG-CH-0319,Environmental,APPROVED,2023-08-16,2024-01-01,8
APP-DH-0320,LG-DH-0320,Wildlife,APPROVED,2022-07-17,2024-01-01,12
APP-DL-0321,LG-DL-0321,Environmental,PENDING,2023-11-23,,77
APP-JK-0322,LG-JK-0322,Wildlife,APPROVED,2023-04-07,2024-01-01,2
APP-LA-0323,LG-LA-0323,Environmental,APPROVED,2023-09-28,2024-01-01,5
APP-LD-0324,LG-LD-0324,Wildlife,APPROVED,2021-09-24,2024-01-01,2
