comp_id,project_id,beneficiaries_total,beneficiaries_paid,beneficiaries_pending,amount_sanctioned_cr,amount_disbursed_cr,disbursement_percentage
CMP-AN-0030,LG-AN-0030,1154,993,161,1837.86,1582.87,86.1
CMP-CH-0031,LG-CH-0031,166,160,6,150.75,146.06,96.9
CMP-DH-0032,LG-DH-0032,319,173,146,193.29,105.16,54.4
CMP-DL-0033,LG-DL-0033,870,621,249,518.37,370.46,71.5
CMP-JK-0034,LG-JK-0034,104,94,10,98.37,89.63,91.1
CMP-LA-0035,LG-LA-0035,433,265,168,181.26,111.22,61.4
CMP-LD-0036,LG-LD-0036,740,195,545,399.51,105.62,26.4
CMP-PY-0037,LG-PY-0037,1407,862,545,961.56,589.52,61.3
CMP-AP-0038,LG-AP-0038,260,191,69,230.07,169.36,73.6
CMP-AR-0039,LG-AR-0039,265,258,7,111.42,108.83,97.7
CMP-AS-0040,LG-AS-0040,2325,1799,526,891.39,690.09,77.4
CMP-BR-0041,LG-BR-0041,1107,572,535,1313.97,679.43,51.7
CMP-CG-0042,LG-CG-0042,160,34,126,301.59,65.27,21.6
CMP-GA-0043,LG-GA-0043,1973,896,1077,1639.35,744.79,45.4
CMP-GJ-0044,LG-GJ-0044,1026,905,121,1379.01,1216.83,88.2
CMP-HR-0045,LG-HR-0045,1020,542,478,756.75,402.23,53.2
CMP-HP-0046,LG-HP-0046,1283,850,433,518.46,343.81,66.3
CMP-JH-0047,LG-JH-0047,1068,181,887,820.41,139.58,17.0
CMP-KA-0048,LG-KA-0048,2035,928,1107,1715.49,782.37,45.6
CMP-KL-0049,LG-KL-0049,1766,1641,125,774.15,719.63,93.0
CMP-MP-0050,LG-MP-0050,704,367,337,423.12,220.72,52.2
CMP-MH-0051,LG-MH-0051,1339,1323,16,380.61,376.11,98.8
CMP-MN-0052,LG-MN-0052,442,259,183,632.04,370.66,58.6
CMP-ML-0053,LG-ML-0053,2059,1277,782,1658.46,1029.09,62.1
CMP-MZ-0054,LG-MZ-0054,532,386,146,983.58,714.96,72.7
CMP-NL-0055,LG-NL-0055,455,321,134,435.87,307.98,70.7
CMP-OD-0056,LG-OD-0056,1725,1047,678,821.97,499.13,60.7
CMP-PB-0057,LG-PB-0057,1820,1736,84,1209.93,1154.18,95.4
CMP-RJ-0058,LG-RJ-0058,1096,804,292,584.01,428.51,73.4
CMP-SK-0059,LG-SK-0059,1183,1094,89,1239.21,1146.64,92.5
CMP-TN-0060,LG-TN-0060,1737,577,1160,645.9,214.87,33.3
CMP-TS-0061,LG-TS-0061,458,388,70,270.78,229.53,84.8
CMP-TR-0062,LG-TR-0062,1792,1534,258,856.65,733.78,85.7
CMP-UP-0063,LG-UP-0063,739,553,186,1137.03,852.21,75.0
CMP-UK-0064,LG-UK-0064,166,72,94,161.25,70.04,43.4
CMP-WB-0065,LG-WB-0065,1977,1442,535,1470.51,1072.89,73.0
CMP-AN-0066,LG-AN-0066,445,295,150,424.05,281.14,66.3
CMP-CH-0067,LG-CH-0067,138,57,81,132.51,55.45,41.8
CMP-DH-0068,LG-DH-0068,1818,422,1396,720.57,167.41,23.2
CMP-DL-0069,LG-DL-0069,1629,1267,362,1246.44,970.21,77.8
CMP-JK-0070,LG-JK-0070,1460,990,470,833.97,565.58,67.8
CMP-LA-0071,LG-LA-0071,356,269,87,369.84,280.09,75.7
CMP-LD-0072,LG-LD-0072,141,63,78,379.56,170.71,45.0
CMP-PY-0073,LG-PY-0073,980,769,211,899.82,706.14,78.5
CMP-AP-0074,LG-AP-0074,1068,783,285,1665.78,1222.28,73.4
CMP-AR-0075,LG-AR-0075,1843,1550,293,1519.89,1278.94,84.1
CMP-AS-0076,LG-AS-0076,2446,848,1598,1129.86,391.83,34.7
CMP-BR-0077,LG-BR-0077,1004,198,806,918.42,181.28,19.7
CMP-CG-0078,LG-CG-0078,926,865,61,1874.64,1753.15,93.5
CMP-GA-0079,LG-GA-0079,50,38,12,66.45,51.68,77.8
CMP-GJ-0080,LG-GJ-0080,1525,1144,381,554.52,416.17,75.1
CMP-HR-0081,LG-HR-0081,1748,1262,486,1682.34,1215.25,72.2
CMP-HP-0082,LG-HP-0082,251,125,126,258.57,129.02,49.9
CMP-JH-0083,LG-JH-0083,1599,904,695,2419.14,1367.9,56.5
CMP-KA-0084,LG-KA-0084,492,248,244,742.98,375.06,50.5
CMP-KL-0085,LG-KL-0085,1963,1926,37,1483.89,1456.35,98.1
CMP-MP-0086,LG-MP-0086,598,473,125,709.65,561.7,79.2
CMP-MH-0087,LG-MH-0087,1028,846,182,1810.77,1491.88,82.4
CMP-MN-0088,LG-MN-0088,526,137,389,220.98,57.72,26.1
CMP-ML-0089,LG-ML-0089,1420,693,727,1611.18,786.33,48.8
CMP-MZ-0090,LG-MZ-0090,416,168,248,443.28,179.06,40.4
CMP-NL-0091,LG-NL-0091,463,100,363,401.01,87.32,21.8
CMP-OD-0092,LG-OD-0092,2527,2498,29,2175.0,2150.26,98.9
CMP-PB-0093,LG-PB-0093,956,465,491,790.68,384.64,48.6
CMP-RJ-0094,LG-RJ-0094,1098,885,213,581.64,469.25,80.7
CMP-SK-0095,LG-SK-0095,351,318,33,461.1,418.76,90.8
CMP-TN-0096,LG-TN-0096,787,542,245,788.19,543.15,68.9
CMP-TS-0097,LG-TS-0097,1362,961,401,1545.45,1091.18,70.6
CMP-TR-0098,LG-TR-0098,223,222,1,142.65,142.45,99.9
CMP-UP-0099,LG-UP-0099,1259,1088,171,1462.95,1265.15,86.5
CMP-UK-0100,LG-UK-0100,1997,1488,509,1080.66,805.34,74.5
CMP-WB-0101,LG-WB-0101,745,548,197,892.71,656.95,73.6
CMP-AN-0102,LG-AN-0102,912,574,338,1101.36,693.49,63.0
CMP-CH-0103,LG-CH-0103,532,157,375,756.39,223.42,29.5
CMP-DH-0104,LG-DH-0104,561,230,331,1212.21,497.49,41.0
CMP-DL-0105,LG-DL-0105,543,419,124,528.9,408.96,77.3
CMP-JK-0106,LG-JK-0106,741,502,239,885.84,600.98,67.8
CMP-LA-0107,LG-LA-0107,1489,591,898,1419.96,564.37,39.7
CMP-LD-0108,LG-LD-0108,1393,1149,244,1222.86,1008.72,82.5
CMP-PY-0109,LG-PY-0109,67,57,10,75.75,65.19,86.1
CMP-AP-0110,LG-AP-0110,693,301,392,1264.86,550.22,43.5
CMP-AR-0111,LG-AR-0111,1065,743,322,1820.67,1271.22,69.8
CMP-AS-0112,LG-AS-0112,1117,846,271,744.39,563.9,75.8
CMP-BR-0113,LG-BR-0113,984,856,128,975.96,849.65,87.1
CMP-CG-0114,LG-CG-0114,1470,1122,348,1092.75,834.18,76.3
CMP-GA-0115,LG-GA-0115,565,423,142,385.44,289.24,75.0
CMP-GJ-0116,LG-GJ-0116,987,455,532,1027.38,473.91,46.1
CMP-HR-0117,LG-HR-0117,688,339,349,1733.97,855.06,49.3
CMP-HP-0118,LG-HP-0118,451,394,57,335.16,293.15,87.5
CMP-JH-0119,LG-JH-0119,1248,980,268,925.35,726.8,78.5
CMP-KA-0120,LG-KA-0120,1980,414,1566,1237.53,259.05,20.9
CMP-KL-0121,LG-KL-0121,269,188,81,550.5,384.89,69.9
CMP-MP-0122,LG-MP-0122,462,239,223,418.02,216.5,51.8
CMP-MH-0123,LG-MH-0123,1879,1432,447,532.32,405.96,76.3
CMP-MN-0124,LG-MN-0124,85,22,63,89.94,23.57,26.2
CMP-ML-0125,LG-ML-0125,1736,1476,260,1402.53,1192.53,85.0
CMP-MZ-0126,LG-MZ-0126,1876,1653,223,1259.16,1109.89,88.1
CMP-NL-0127,LG-NL-0127,164,28,136,214.77,37.0,17.2
CMP-OD-0128,LG-OD-0128,108,96,12,103.56,92.4,89.2
CMP-PB-0129,LG-PB-0129,263,218,45,432.63,358.64,82.9
CMP-RJ-0130,LG-RJ-0130,1733,1573,160,1438.47,1306.23,90.8
CMP-SK-0131,LG-SK-0131,1672,1527,145,891.84,814.7,91.4
CMP-TN-0132,LG-TN-0132,1701,1595,106,1146.39,1075.53,93.8
CMP-TS-0133,LG-TS-0133,888,366,522,586.47,241.81,41.2
CMP-TR-0134,LG-TR-0134,582,358,224,1501.38,926.05,61.7
CMP-UP-0135,LG-UP-0135,1560,1199,361,703.68,541.0,76.9
CMP-UK-0136,LG-UK-0136,2537,2461,76,1353.06,1312.64,97.0
CMP-WB-0137,LG-WB-0137,81,57,24,62.55,44.19,70.7
CMP-AN-0138,LG-AN-0138,1630,1299,331,1800.27,1435.44,79.7
CMP-CH-0139,LG-CH-0139,826,633,193,1563.9,1199.69,76.7
CMP-DH-0140,LG-DH-0140,2724,2114,610,878.85,682.17,77.6
CMP-DL-0141,LG-DL-0141,1300,1105,195,1306.92,1111.69,85.1
CMP-JK-0142,LG-JK-0142,2661,2623,38,2159.01,2128.86,98.6
CMP-LA-0143,LG-LA-0143,516,472,44,1380.57,1265.5,91.7
CMP-LD-0144,LG-LD-0144,130,33,97,132.3,34.05,25.7
CMP-PY-0145,LG-PY-0145,1994,1938,56,2338.35,2272.82,97.2
CMP-AP-0146,LG-AP-0146,844,195,649,854.76,197.92,23.2
CMP-AR-0147,LG-AR-0147,1665,306,1359,1866.45,343.21,18.4
CMP-AS-0148,LG-AS-0148,1689,1256,433,598.41,445.13,74.4
CMP-BR-0149,LG-BR-0149,465,354,111,881.01,670.82,76.1
CMP-CG-0150,LG-CG-0150,323,234,89,170.13,123.31,72.5
CMP-GA-0151,LG-GA-0151,2444,1561,883,2007.99,1283.2,63.9
CMP-GJ-0152,LG-GJ-0152,2754,1863,891,1130.85,765.22,67.7
CMP-HR-0153,LG-HR-0153,1542,941,601,1920.72,1172.31,61.0
CMP-HP-0154,LG-HP-0154,656,354,302,731.13,395.04,54.0
CMP-JH-0155,LG-JH-0155,2279,1996,283,748.86,656.05,87.6
CMP-KA-0156,LG-KA-0156,1678,1353,325,941.49,759.6,80.7
CMP-KL-0157,LG-KL-0157,202,71,131,251.7,89.29,35.5
CMP-MP-0158,LG-MP-0158,2420,1676,744,1817.58,1258.92,69.3
CMP-MH-0159,LG-MH-0159,1521,1024,497,1295.22,872.54,67.4
CMP-MN-0160,LG-MN-0160,215,41,174,383.37,74.08,19.3
CMP-ML-0161,LG-ML-0161,935,419,516,392.97,176.28,44.9
CMP-MZ-0162,LG-MZ-0162,253,179,74,146.79,104.39,71.1
CMP-NL-0163,LG-NL-0163,534,328,206,355.2,218.33,61.5
CMP-OD-0164,LG-OD-0164,474,356,118,789.12,593.48,75.2
CMP-PB-0165,LG-PB-0165,562,232,330,549.18,227.62,41.4
CMP-RJ-0166,LG-RJ-0166,1085,674,411,511.11,317.8,62.2
CMP-SK-0167,LG-SK-0167,252,171,81,146.19,99.73,68.2
CMP-TN-0168,LG-TN-0168,2073,1006,1067,1546.14,750.91,48.6
CMP-TS-0169,LG-TS-0169,248,187,61,188.37,142.11,75.4
CMP-TR-0170,LG-TR-0170,1196,901,295,370.5,279.34,75.4
CMP-UP-0171,LG-UP-0171,391,195,196,507.75,253.64,50.0
CMP-UK-0172,LG-UK-0172,1603,1454,149,972.87,883.02,90.8
CMP-WB-0173,LG-WB-0173,111,98,13,56.58,50.12,88.6
CMP-AN-0174,LG-AN-0174,1322,1158,164,958.17,839.6,87.6
CMP-CH-0175,LG-CH-0175,2416,1099,1317,1008.3,458.87,45.5
CMP-DH-0176,LG-DH-0176,2168,1340,828,1527.0,943.97,61.8
CMP-DL-0177,LG-DL-0177,1490,632,858,1185.48,503.59,42.5
CMP-JK-0178,LG-JK-0178,1091,760,331,906.78,632.41,69.7
CMP-LA-0179,LG-LA-0179,1510,670,840,1252.65,556.37,44.4
CMP-LD-0180,LG-LD-0180,751,736,15,419.31,410.97,98.0
CMP-PY-0181,LG-PY-0181,1839,1657,182,1191.84,1074.5,90.2
CMP-AP-0182,LG-AP-0182,2190,2150,40,883.26,867.19,98.2
CMP-AR-0183,LG-AR-0183,607,500,107,709.17,584.48,82.4
CMP-AS-0184,LG-AS-0184,466,433,33,703.65,654.58,93.0
CMP-BR-0185,LG-BR-0185,433,302,131,245.91,171.62,69.8
CMP-CG-0186,LG-CG-0186,33,31,2,38.07,36.44,95.7
CMP-GA-0187,LG-GA-0187,459,197,262,272.1,117.14,43.0
CMP-GJ-0188,LG-GJ-0188,586,129,457,643.02,141.97,22.1
CMP-HR-0189,LG-HR-0189,1046,712,334,1480.08,1007.61,68.1
CMP-HP-0190,LG-HP-0190,1022,996,26,938.64,914.89,97.5
CMP-JH-0191,LG-JH-0191,1621,1232,389,1006.11,764.94,76.0
CMP-KA-0192,LG-KA-0192,1246,1231,15,718.32,709.81,98.8
CMP-KL-0193,LG-KL-0193,1422,975,447,1216.98,834.58,68.6
CMP-MP-0194,LG-MP-0194,1673,804,869,802.29,385.79,48.1
CMP-MH-0195,LG-MH-0195,392,299,93,202.41,154.67,76.4
CMP-MN-0196,LG-MN-0196,860,215,645,1066.05,266.85,25.0
CMP-ML-0197,LG-ML-0197,166,115,51,104.43,72.52,69.4
CMP-MZ-0198,LG-MZ-0198,347,316,31,511.5,466.51,91.2
CMP-NL-0199,LG-NL-0199,2035,1231,804,541.74,327.77,60.5
CMP-OD-0200,LG-OD-0200,239,200,39,543.54,456.05,83.9
CMP-PB-0201,LG-PB-0201,628,151,477,438.96,106.0,24.1
CMP-RJ-0202,LG-RJ-0202,366,122,244,211.65,70.63,33.4
CMP-SK-0203,LG-SK-0203,2933,2727,206,2478.84,2305.18,93.0
CMP-TN-0204,LG-TN-0204,775,724,51,1679.82,1570.73,93.5
CMP-TS-0205,LG-TS-0205,127,82,45,59.16,38.28,64.7
CMP-TR-0206,LG-TR-0206,1498,1375,123,1030.23,946.3,91.9
CMP-UP-0207,LG-UP-0207,924,473,451,714.75,366.61,51.3
CMP-UK-0208,LG-UK-0208,611,560,51,586.59,538.14,91.7
CMP-WB-0209,LG-WB-0209,669,450,219,1608.33,1083.23,67.4
CMP-AN-0210,LG-AN-0210,1216,1043,173,1999.68,1716.24,85.8
CMP-CH-0211,LG-CH-0211,1177,712,465,1626.57,984.18,60.5
CMP-DH-0212,LG-DH-0212,1540,715,825,1482.03,689.02,46.5
CMP-DL-0213,LG-DL-0213,2408,2278,130,1025.28,970.01,94.6
CMP-JK-0214,LG-JK-0214,519,453,66,844.41,737.43,87.3
CMP-LA-0215,LG-LA-0215,1339,726,613,2514.69,1364.84,54.3
CMP-LD-0216,LG-LD-0216,327,301,26,318.45,293.74,92.2
CMP-PY-0217,LG-PY-0217,275,117,158,768.24,327.1,42.6
CMP-AP-0218,LG-AP-0218,342,294,48,197.22,169.74,86.1
CMP-AR-0219,LG-AR-0219,906,895,11,1275.21,1260.44,98.8
CMP-AS-0220,LG-AS-0220,939,622,317,888.24,588.97,66.3
CMP-BR-0221,LG-BR-0221,1638,833,805,718.5,365.6,50.9
CMP-CG-0222,LG-CG-0222,750,255,495,354.75,120.91,34.1
CMP-GA-0223,LG-GA-0223,2269,1373,896,2062.62,1248.27,60.5
CMP-GJ-0224,LG-GJ-0224,512,490,22,149.28,143.04,95.8
CMP-HR-0225,LG-HR-0225,426,311,115,467.76,342.48,73.2
CMP-HP-0226,LG-HP-0226,1355,700,655,1271.31,657.54,51.7
CMP-JH-0227,LG-JH-0227,281,250,31,699.75,624.28,89.2
CMP-KA-0228,LG-KA-0228,2880,1323,1557,2228.67,1024.04,45.9
CMP-KL-0229,LG-KL-0229,1122,1087,35,1154.88,1119.77,97.0
CMP-MP-0230,LG-MP-0230,1894,1492,402,1393.74,1098.34,78.8
CMP-MH-0231,LG-MH-0231,728,614,114,616.17,519.7,84.3
CMP-MN-0232,LG-MN-0232,704,548,156,202.23,157.56,77.9
CMP-ML-0233,LG-ML-0233,905,758,147,1632.54,1368.04,83.8
CMP-MZ-0234,LG-MZ-0234,1583,1477,106,832.62,776.98,93.3
CMP-NL-0235,LG-NL-0235,160,137,23,137.4,117.95,85.8
CMP-OD-0236,LG-OD-0236,569,389,180,485.04,331.83,68.4
CMP-PB-0237,LG-PB-0237,904,486,418,532.71,286.79,53.8
CMP-RJ-0238,LG-RJ-0238,1771,1625,146,599.55,550.12,91.8
CMP-SK-0239,LG-SK-0239,2570,2204,366,1332.87,1143.55,85.8
CMP-TN-0240,LG-TN-0240,106,70,36,112.53,74.74,66.4
CMP-TS-0241,LG-TS-0241,459,256,203,224.31,125.17,55.8
CMP-TR-0242,LG-TR-0242,280,131,149,274.08,128.76,47.0
CMP-UP-0243,LG-UP-0243,598,534,64,289.71,259.11,89.4
CMP-UK-0244,LG-UK-0244,534,488,46,979.14,894.82,91.4
CMP-WB-0245,LG-WB-0245,837,185,652,657.99,145.8,22.2
CMP-AN-0246,LG-AN-0246,1628,1035,593,852.93,542.75,63.6
CMP-CH-0247,LG-CH-0247,900,701,199,266.55,207.63,77.9
CMP-DH-0248,LG-DH-0248,1296,533,763,953.64,392.74,41.2
CMP-DL-0249,LG-DL-0249,404,306,98,249.36,189.01,75.8
CMP-JK-0250,LG-JK-0250,352,300,52,239.73,204.66,85.4
CMP-LA-0251,LG-LA-0251,308,244,64,528.6,419.28,79.3
CMP-LD-0252,LG-LD-0252,324,55,269,160.02,27.18,17.0
CMP-PY-0253,LG-PY-0253,1217,946,271,1110.36,863.98,77.8
CMP-AP-0254,LG-AP-0254,2525,2168,357,2031.63,1744.72,85.9
CMP-AR-0255,LG-AR-0255,1613,754,859,964.26,451.14,46.8
CMP-AS-0256,LG-AS-0256,1205,949,256,371.4,292.74,78.8
CMP-BR-0257,LG-BR-0257,70,46,24,38.34,25.38,66.2
CMP-CG-0258,LG-CG-0258,332,310,22,193.26,181.03,93.7
CMP-GA-0259,LG-GA-0259,2478,1185,1293,1375.53,658.29,47.9
CMP-GJ-0260,LG-GJ-0260,790,205,585,552.87,143.87,26.0
CMP-HR-0261,LG-HR-0261,1796,1062,734,1385.37,819.44,59.1
CMP-HP-0262,LG-HP-0262,1945,1391,554,486.06,347.72,71.5
CMP-JH-0263,LG-JH-0263,2705,1776,929,1497.69,983.34,65.7
CMP-KA-0264,LG-KA-0264,964,940,24,780.12,761.04,97.6
CMP-KL-0265,LG-KL-0265,818,607,211,1170.93,869.04,74.2
CMP-MP-0266,LG-MP-0266,975,867,108,999.96,889.74,89.0
CMP-MH-0267,LG-MH-0267,1772,1222,550,1782.06,1229.65,69.0
CMP-MN-0268,LG-MN-0268,620,389,231,590.19,370.51,62.8
CMP-ML-0269,LG-ML-0269,544,241,303,573.09,254.45,44.4
CMP-MZ-0270,LG-MZ-0270,1390,638,752,1321.56,607.28,46.0
CMP-NL-0271,LG-NL-0271,708,449,259,1101.9,698.87,63.4
CMP-OD-0272,LG-OD-0272,1120,1090,30,1034.04,1006.54,97.3
CMP-PB-0273,LG-PB-0273,1968,1797,171,1640.88,1498.34,91.3
CMP-RJ-0274,LG-RJ-0274,333,199,134,398.61,238.43,59.8
CMP-SK-0275,LG-SK-0275,2683,2562,121,1773.9,1694.41,95.5
CMP-TN-0276,LG-TN-0276,289,143,146,539.31,267.24,49.6
CMP-TS-0277,LG-TS-0277,31,17,14,60.33,34.82,57.7
CMP-TR-0278,LG-TR-0278,1946,804,1142,1091.79,451.31,41.3
CMP-UP-0279,LG-UP-0279,501,282,219,712.95,402.36,56.4
CMP-UK-0280,LG-UK-0280,308,269,39,170.34,149.09,87.5
CMP-WB-0281,LG-WB-0281,883,761,122,405.03,349.2,86.2
CMP-AN-0282,LG-AN-0282,2211,584,1627,1919.28,507.49,26.4
CMP-CH-0283,LG-CH-0283,1909,1750,159,719.64,659.78,91.7
CMP-DH-0284,LG-DH-0284,1184,1002,182,830.91,703.65,84.7
CMP-DL-0285,LG-DL-0285,608,554,54,1188.78,1084.69,91.2
CMP-JK-0286,LG-JK-0286,414,255,159,515.28,318.03,61.7
CMP-LA-0287,LG-LA-0287,497,444,53,333.63,298.64,89.5
CMP-LD-0288,LG-LD-0288,340,186,154,511.83,280.97,54.9
CMP-PY-0289,LG-PY-0289,289,277,12,202.95,194.62,95.9
CMP-AP-0290,LG-AP-0290,2039,1155,884,1487.46,843.04,56.7
CMP-AR-0291,LG-AR-0291,1224,1038,186,858.54,728.67,84.9
CMP-AS-0292,LG-AS-0292,1007,427,580,1363.74,579.35,42.5
CMP-BR-0293,LG-BR-0293,829,417,412,1065.15,536.15,50.3
CMP-CG-0294,LG-CG-0294,1707,665,1042,1854.66,722.8,39.0
CMP-GA-0295,LG-GA-0295,2232,2009,223,889.5,800.7,90.0
CMP-GJ-0296,LG-GJ-0296,1198,1109,89,1356.33,1256.13,92.6
CMP-HR-0297,LG-HR-0297,691,661,30,941.76,901.03,95.7
CMP-HP-0298,LG-HP-0298,1244,1049,195,1197.18,1009.95,84.4
CMP-JH-0299,LG-JH-0299,1419,1188,231,2182.8,1827.8,83.7
CMP-KA-0300,LG-KA-0300,919,520,399,776.85,439.79,56.6
CMP-KL-0301,LG-KL-0301,1421,330,1091,1460.46,339.54,23.2
CMP-MP-0302,LG-MP-0302,322,141,181,128.61,56.4,43.9
CMP-MH-0303,LG-MH-0303,533,123,410,349.26,80.6,23.1
CMP-MN-0304,LG-MN-0304,222,85,137,261.75,100.67,38.5
CMP-ML-0305,LG-ML-0305,1126,820,306,1244.34,907.2,72.9
CMP-MZ-0306,LG-MZ-0306,962,484,478,1678.32,844.68,50.3
CMP-NL-0307,LG-NL-0307,1352,780,572,496.44,286.59,57.7
CMP-OD-0308,LG-OD-0308,221,207,14,366.9,344.23,93.8
CMP-PB-0309,LG-PB-0309,1326,1063,263,877.71,703.75,80.2
CMP-RJ-0310,LG-RJ-0310,700,443,257,510.24,323.37,63.4
CMP-SK-0311,LG-SK-0311,868,672,196,280.65,217.57,77.5
CMP-TN-0312,LG-TN-0312,1493,1271,222,1083.84,923.26,85.2
CMP-TS-0313,LG-TS-0313,890,644,246,291.99,211.33,72.4
CMP-TR-0314,LG-TR-0314,1730,1697,33,1031.73,1012.56,98.1
CMP-UP-0315,LG-UP-0315,1075,729,346,255.66,173.46,67.8
CMP-UK-0316,LG-UK-0316,986,957,29,976.68,948.77,97.1
CMP-WB-0317,LG-WB-0317,1590,1501,89,918.12,867.09,94.4
CMP-AN-0318,LG-AN-0318,609,466,143,879.51,673.91,76.6
CMP-CH-0319,LG-CH-0319,206,149,57,314.61,227.62,72.4
CMP-DH-0320,LG-DH-0320,317,298,19,478.95,450.5,94.1
CMP-DL-0321,LG-DL-0321,1095,832,263,889.86,676.76,76.1
CMP-JK-0322,LG-JK-0322,2139,1224,915,1179.6,675.47,57.3
CMP-LA-0323,LG-LA-0323,109,95,14,74.04,65.14,88.0
CMP-LD-0324,LG-LD-0324,996,475,521,1382.88,660.24,47.7
CMP-PY-0325,LG-PY-0325,396,228,168,903.69,522.25,57.8
CMP-AP-0326,LG-AP-0326,606,191,415,1634.16,516.14,31.6
CMP-AR-0327,LG-AR-0327,2009,498,1511,466.95,115.87,24.8
CMP-AS-0328,LG-AS-0328,237,202,35,87.48,74.81,85.5
CMP-BR-0329,LG-BR-0329,1092,622,470,597.9,340.8,57.0
CMP-CG-0330,LG-CG-0330,264,250,14,210.33,199.54,94.9
CMP-GA-0331,LG-GA-0331,752,641,111,429.63,366.32,85.3
CMP-GJ-0332,LG-GJ-0332,548,180,368,392.4,129.27,32.9
CMP-HR-0333,LG-HR-0333,2040,1081,959,1809.6,959.75,53.0
CMP-HP-0334,LG-HP-0334,298,291,7,306.3,299.98,97.9
CMP-JH-0335,LG-JH-0335,488,424,64,370.05,322.13,87.0
CMP-KA-0336,LG-KA-0336,1022,600,422,921.96,542.02,58.8
CMP-KL-0337,LG-KL-0337,538,448,90,243.3,202.76,83.3
CMP-MP-0338,LG-MP-0338,1607,645,962,572.01,229.72,40.2
CMP-MH-0339,LG-MH-0339,707,290,417,1219.8,501.93,41.1
CMP-MN-0340,LG-MN-0340,1697,1438,259,690.42,585.05,84.7
CMP-ML-0341,LG-ML-0341,1085,893,192,1121.85,924.18,82.4
CMP-MZ-0342,LG-MZ-0342,1014,412,602,470.07,191.38,40.7
CMP-NL-0343,LG-NL-0343,968,885,83,465.48,426.02,91.5
CMP-OD-0344,LG-OD-0344,2489,1974,515,1588.47,1260.43,79.3
CMP-PB-0345,LG-PB-0345,157,99,58,208.38,132.0,63.3
CMP-RJ-0346,LG-RJ-0346,961,666,295,845.07,585.75,69.3
CMP-SK-0347,LG-SK-0347,797,563,234,748.47,528.87,70.7
CMP-TN-0348,LG-TN-0348,1003,278,725,821.49,228.48,27.8
CMP-TS-0349,LG-TS-0349,662,608,54,667.8,614.08,92.0
CMP-TR-0350,LG-TR-0350,1188,941,247,477.18,378.29,79.3
CMP-UP-0351,LG-UP-0351,44,18,26,17.13,7.23,42.2
CMP-UK-0352,LG-UK-0352,291,201,90,383.85,265.61,69.2
CMP-WB-0353,LG-WB-0353,733,141,592,1650.51,318.5,19.3
CMP-AN-0354,LG-AN-0354,98,70,28,164.13,118.59,72.3
CMP-CH-0355,LG-CH-0355,1905,1524,381,1292.88,1034.79,80.0
CMP-DH-0356,LG-DH-0356,696,288,408,531.6,220.3,41.4
CMP-DL-0357,LG-DL-0357,1640,1393,247,2002.74,1701.51,85.0
CMP-JK-0358,LG-JK-0358,246,178,68,236.7,171.53,72.5
CMP-LA-0359,LG-LA-0359,2378,2059,319,547.47,474.15,86.6
CMP-LD-0360,LG-LD-0360,766,701,65,1158.3,1060.75,91.6
